"Model","Processor","Memory","Display","Input method","Stack","Programming languages","Computer algebra system","Character set","Connectivity","Power supply","Release year","Predecessors","Successors"
"
URL: /wiki/File:Hp_prime_apps.jpg
//upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Hp_prime_apps.jpg/50px-Hp_prime_apps.jpg
HP Prime G2 , URL: /wiki/HP_Prime_G2
","NXP , URL: /wiki/NXP
i.MX 6ULL , URL: /wiki/I.MX_6ULL
MCIMX6Y2 , URL: /w/index.php?title=NXP_MCIMX6Y2&action=edit&redlink=1
Cortex A7 , URL: /wiki/Cortex_A7
ARMv7 , URL: /wiki/ARMv7
","256 MB RAM, 512 MB flash","multi-touch , URL: /wiki/Multi-touch
TFT LCD , URL: /wiki/TFT_LCD
backlight , URL: /wiki/Backlight
","Algebraic , URL: /wiki/Algebraic_input
Entry RPN , URL: /wiki/Entry_RPN
","128 level , URL: /wiki/128-level_RPN
","PPL , URL: /wiki/HP_PPL
","Xcas , URL: /wiki/Xcas
Giac , URL: /wiki/Giac_(software)
","Unicode , URL: /wiki/Unicode
","USB , URL: /wiki/USB
Micro-AB , URL: /wiki/USB_Micro-AB
USB-OTG , URL: /wiki/USB-OTG
","Li-Ion , URL: /wiki/Li-Ion
","2018","HP Prime G1 , URL: /wiki/HP_Prime_G1
","None"
"
URL: /wiki/File:Hp_prime_apps.jpg
//upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Hp_prime_apps.jpg/50px-Hp_prime_apps.jpg
HP Prime G1 , URL: /wiki/HP_Prime_G1
","Samsung , URL: /wiki/Samsung
S3C2416XH-40 , URL: /wiki/Samsung_S3C2416XH-40
ARM926EJ , URL: /wiki/ARM926EJ
ARMv5 , URL: /w/index.php?title=ARMv5&action=edit&redlink=1
","32 MB RAM, 256 MB flash","multi-touch , URL: /wiki/Multi-touch
TFT LCD , URL: /wiki/TFT_LCD
backlight , URL: /wiki/Backlight
","Algebraic , URL: /wiki/Algebraic_input
Entry RPN , URL: /wiki/Entry_RPN
","128 level , URL: /wiki/128-level_RPN
","PPL , URL: /wiki/HP_PPL
","Xcas , URL: /wiki/Xcas
Giac , URL: /wiki/Giac_(software)
","Unicode , URL: /wiki/Unicode
","USB , URL: /wiki/USB
Micro-AB , URL: /wiki/USB_Micro-AB
USB-OTG , URL: /wiki/USB-OTG
","Li-Ion , URL: /wiki/Li-Ion
Samsung Galaxy S3 , URL: /wiki/Samsung_Galaxy_S3
","2013","HP 39gII , URL: /wiki/HP_39gII
HP 50g , URL: /wiki/HP_50g
","HP Prime G2 , URL: /wiki/HP_Prime_G2
"
"
URL: /wiki/File:Hp50.png
//upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Hp50.png/50px-Hp50.png
HP 50g , URL: /wiki/HP_50g
","Samsung , URL: /wiki/Samsung
S3C2410A , URL: /wiki/Samsung_S3C2410A
ARM920T , URL: /wiki/ARM920T
ARMv4T , URL: /w/index.php?title=ARMv4T&action=edit&redlink=1
","SD card , URL: /wiki/SD_card
","131×80 pixel monochrome LCD","Entry RPN , URL: /wiki/Entry_RPN
Algebraic , URL: /wiki/Algebraic_input
","Dynamic","RPL , URL: /wiki/RPL_(programming_language)
Algebraic RPL , URL: /wiki/Algebraic_RPL
","Erable , URL: /wiki/Erable
","RPL character set , URL: /wiki/RPL_character_set
euro sign , URL: /wiki/Euro_sign
","USB , URL: /wiki/USB
Mini-B , URL: /wiki/USB_Mini-B
IrDA , URL: /wiki/IrDA
RS-232 , URL: /wiki/RS-232
","AAA , URL: /wiki/AAA_battery
CR2032 , URL: /wiki/CR2032
","2006–2015[5][6][7]","hp 49g+ , URL: /wiki/Hp_49g%2B
","HP Prime , URL: /wiki/HP_Prime
"
"
URL: /wiki/File:HPIM2605.jpg
//upload.wikimedia.org/wikipedia/commons/thumb/c/cc/HPIM2605.jpg/50px-HPIM2605.jpg
hp 49g+ , URL: /wiki/Hp_49g%2B
","Samsung , URL: /wiki/Samsung
S3C2410X01 , URL: /wiki/Samsung_S3C2410X01
ARM920T , URL: /wiki/ARM920T
ARMv4T , URL: /w/index.php?title=ARMv4T&action=edit&redlink=1
","SD card , URL: /wiki/SD_card
","131×80 pixel monochrome LCD","Entry RPN , URL: /wiki/Entry_RPN
Algebraic , URL: /wiki/Algebraic_input
","Dynamic","RPL , URL: /wiki/RPL_(programming_language)
Algebraic RPL , URL: /wiki/Algebraic_RPL
","Erable , URL: /wiki/Erable
","RPL character set , URL: /wiki/RPL_character_set
euro sign , URL: /wiki/Euro_sign
","USB , URL: /wiki/USB
IrDA , URL: /wiki/IrDA
","AAA , URL: /wiki/AAA_battery
CR2032 , URL: /wiki/CR2032
","2003–2006","HP 49G , URL: /wiki/HP_49G
","HP 50g , URL: /wiki/HP_50g
"
"
URL: /wiki/File:Hp48gii.jpg
//upload.wikimedia.org/wikipedia/commons/thumb/7/79/Hp48gii.jpg/50px-Hp48gii.jpg
HP 48gII , URL: /wiki/HP_48gII
","Samsung , URL: /wiki/Samsung
S3C2410X01 , URL: /wiki/Samsung_S3C2410X01
ARM920T , URL: /wiki/ARM920T
ARMv4T , URL: /w/index.php?title=ARMv4T&action=edit&redlink=1
","128 KB RAM (256 KB RAM - 2007 model only), not flashable","131×64 pixel monochrome LCD","Entry RPN , URL: /wiki/Entry_RPN
Algebraic , URL: /wiki/Algebraic_input
","Dynamic","RPL , URL: /wiki/RPL_(programming_language)
Algebraic RPL , URL: /wiki/Algebraic_RPL
","Erable , URL: /wiki/Erable
","RPL character set , URL: /wiki/RPL_character_set
euro sign , URL: /wiki/Euro_sign
","USB , URL: /wiki/USB
IrDA , URL: /wiki/IrDA
RS-232 , URL: /wiki/RS-232
","AAA , URL: /wiki/AAA_battery
CR2032 , URL: /wiki/CR2032
","2003","HP 48G+ , URL: /wiki/HP_48G%2B
","HP 49g+ , URL: /wiki/HP_49g%2B
"
"
URL: /wiki/File:HP49G.jpg
//upload.wikimedia.org/wikipedia/commons/thumb/d/dc/HP49G.jpg/50px-HP49G.jpg
HP 49G , URL: /wiki/HP_49G
","Yorke , URL: /wiki/HP_Yorke
Saturn , URL: /wiki/HP_Saturn
1LT8 , URL: /wiki/HP_1LT8
","512 KB RAM, 2 MB flash","131×64 pixel monochrome LCD","Entry RPN , URL: /wiki/Entry_RPN
Algebraic , URL: /wiki/Algebraic_input
","Dynamic","RPL , URL: /wiki/RPL_(programming_language)
Algebraic RPL , URL: /wiki/Algebraic_RPL
","Erable , URL: /wiki/Erable
","RPL character set , URL: /wiki/RPL_character_set
euro sign , URL: /wiki/Euro_sign
","RS-232 , URL: /wiki/RS-232
","AAA , URL: /wiki/AAA_battery
","1999–2003","HP 48GX , URL: /wiki/HP_48GX
HP 48G+ , URL: /wiki/HP_48G%2B
","hp 49g+ , URL: /wiki/Hp_49g%2B
"
"HP 48G+ , URL: /wiki/HP_48G%2B
","Yorke , URL: /wiki/HP_Yorke
Saturn , URL: /wiki/HP_Saturn
1LT8 , URL: /wiki/HP_1LT8
","128 KB RAM, not flashable","131×64 pixel monochrome LCD","Entry RPN , URL: /wiki/Entry_RPN
","Dynamic","RPL , URL: /wiki/RPL_(programming_language)
","Rudimentary[8]","RPL character set , URL: /wiki/RPL_character_set
","RS-232 , URL: /wiki/RS-232
HP SIR , URL: /w/index.php?title=HP_SIR&action=edit&redlink=1
","AAA , URL: /wiki/AAA_battery
","1998–2003[11]","HP 48G , URL: /wiki/HP_48G
","HP 49G , URL: /wiki/HP_49G
"
"
URL: /wiki/File:HP48G.jpg
//upload.wikimedia.org/wikipedia/commons/thumb/9/95/HP48G.jpg/50px-HP48G.jpg
HP 48G , URL: /wiki/HP_48G
","Yorke , URL: /wiki/HP_Yorke
Saturn , URL: /wiki/HP_Saturn
1LT8 , URL: /wiki/HP_1LT8
","32 KB RAM, not flashable","131×64 pixel monochrome LCD","Entry RPN , URL: /wiki/Entry_RPN
","Dynamic","RPL , URL: /wiki/RPL_(programming_language)
","Rudimentary[8]","RPL character set , URL: /wiki/RPL_character_set
","RS-232 , URL: /wiki/RS-232
HP SIR , URL: /w/index.php?title=HP_SIR&action=edit&redlink=1
","AAA , URL: /wiki/AAA_battery
","1993–2003[11]","HP 48S , URL: /wiki/HP_48S
","HP 48G+ , URL: /wiki/HP_48G%2B
HP 49G , URL: /wiki/HP_49G
"
"
URL: /wiki/File:Hewlett-Packard_48GX_Scientific_Graphing_Calculator.jpg
//upload.wikimedia.org/wikipedia/commons/thumb/3/35/Hewlett-Packard_48GX_Scientific_Graphing_Calculator.jpg/50px-Hewlett-Packard_48GX_Scientific_Graphing_Calculator.jpg
HP 48GX , URL: /wiki/HP_48GX
","Yorke , URL: /wiki/HP_Yorke
Saturn , URL: /wiki/HP_Saturn
1LT8 , URL: /wiki/HP_1LT8
","128 KB RAM, expandable via 128 KB and 4 MB max. card slots, not flashable","131×64 pixel monochrome LCD","Entry RPN , URL: /wiki/Entry_RPN
","Dynamic","RPL , URL: /wiki/RPL_(programming_language)
","Rudimentary[8]","RPL character set , URL: /wiki/RPL_character_set
","RS-232 , URL: /wiki/RS-232
HP SIR , URL: /w/index.php?title=HP_SIR&action=edit&redlink=1
","AAA , URL: /wiki/AAA_battery
","1993–2003[11]","HP 48SX , URL: /wiki/HP_48SX
","HP 49G , URL: /wiki/HP_49G
"
