"Name","Developer","Initial release","Free , URL: /wiki/Free_software
server , URL: /wiki/Server_(computing)
","Free , URL: /wiki/Free_software
client , URL: /wiki/Client_(computing)
","collaborative development environment , URL: /wiki/Collaborative_development_environment
","Notes"
"Assembla , URL: /wiki/Assembla
","Assembla, Inc","2005","No","Unknown","Unknown",""
"Azure DevOps Services , URL: /wiki/Azure_DevOps_Services
","Microsoft , URL: /wiki/Microsoft
","2012[1]","No","No","Azure DevOps Services Microsoft Visual Studio","open source , URL: /wiki/Open_source
"
"Bitbucket , URL: /wiki/Bitbucket
","Atlassian , URL: /wiki/Atlassian
","2008","No","No","BitBucket , URL: https://www.atlassian.com/software/bitbucket/features
JIRA , URL: https://www.atlassian.com/software/jira/features
Confluence , URL: https://www.atlassian.com/software/confluence/features
","Denies service to Cuba, Iran, North Korea, Sudan, Syria[3]"
"Buddy , URL: /wiki/Buddy_(software)
","Buddy, LLC.","2015","No","No","Unknown","Cloud version free for 1 project with no limit on size. Self-hosted version free up to 10 users with Fair Source license[4] applied."
"CloudForge , URL: /wiki/CloudForge
","CollabNet , URL: /wiki/CollabNet
","2012","No","Unknown","Unknown",""
"Gitea , URL: /wiki/Gitea
","Gitea organization (open source community)[5]","2016","Yes","Yes","Unknown","Gitea , URL: /wiki/Gitea
Open Collective , URL: /w/index.php?title=Open_Collective&action=edit&redlink=1
"
"GForge , URL: /wiki/GForge
","The GForge Group,Inc.[6]","2006","Partial","Yes","Cloud version – free up to 5 users. On-premises version - free up to 5 users.","GForge , URL: /wiki/GForge
"
"GitHub , URL: /wiki/GitHub
","Microsoft/GitHub, Inc","2008-04","No","No","Unknown","Denies service to Crimea, North Korea, Sudan, Syria[7] List of government takedown requests"
"GitLab , URL: /wiki/GitLab
","GitLab Inc.","2011-09[8]","Partial[9]","Yes[10]","GitLab FOSS — free software GitLab Enterprise Edition (EE) — proprietary","Denies service to Crimea, Cuba, Iran, North Korea, Sudan, Syria[11]"
"GNU Savannah , URL: /wiki/GNU_Savannah
","Free Software Foundation , URL: /wiki/Free_Software_Foundation
","2001-01","Yes","Yes","Savane , URL: /wiki/Savane_(software)
","GPL compatible , URL: /wiki/GPL_compatibility
"
"Helix TeamHub , URL: /wiki/Perforce#Other_products
","Perforce Software , URL: /wiki/Perforce_Software
","1995","No","No","Cloud version – free up to 5 users. On-premises version requires a license.","Free cloud version has no limits on projects within 5gb storage limit. On-premises version has DevOps pipeline technology and free replicas."
"Launchpad , URL: /wiki/Launchpad_(website)
","Canonical , URL: /wiki/Canonical_(company)
","2004","Yes","No","Launchpad","Bazaar , URL: /wiki/GNU_Bazaar
"
"OSDN , URL: /wiki/OSDN
","OSDN K.K.","2002–04","Unknown","Yes","Unknown","Ad-supported , URL: /wiki/Online_advertising
"
"Ourproject.org , URL: /wiki/Ourproject.org
","Comunes Collective , URL: /wiki/Comunes_Collective
","2002","Yes","Yes","FusionForge , URL: /wiki/FusionForge
","free software , URL: /wiki/Free_software
free culture , URL: /wiki/Free_culture_movement
free content , URL: /wiki/Free_content
"
"OW2 Consortium , URL: /wiki/OW2_Consortium
","OW2 Consortium","Unknown","Unknown","No","Unknown","middleware , URL: /wiki/Middleware
"
"Phabricator , URL: /wiki/Phabricator
","Phacility, Inc","2010","Yes","Yes","Unknown","End of life.[16]"
"SEUL , URL: /wiki/Simple_End_User_Linux
","Unknown","1997-05","Unknown","No","Unknown",""
"SourceForge , URL: /wiki/SourceForge
","BizX LLC","1999-11","Yes[17][18]","Yes","Apache Allura , URL: /wiki/Apache_Allura
","Ad-supported , URL: /wiki/Online_advertising
export restrictions , URL: /wiki/Export_Administration_Regulations
"
"ProgramOnChain , URL: https://programonchain.com/
","Bitcoin Association, Raja Zuberi","2020","Yes","Unknown","No","Provides an option of uploading repository data to the BSV blockchain."
"Name","Manager","Established","Server side: all free software","Client side: all-free JS code","Developed or used CDE","Notes"
