"Assembler","Developer","FOSS , URL: /wiki/Free_and_open-source_software
","License , URL: /wiki/Software_license
","Instruction set , URL: /wiki/Instruction_set
","platform , URL: /wiki/Computing_platform
"
"Multics , URL: /wiki/Multics
","","Yes","MIT , URL: /wiki/MIT_License
","GE-645 , URL: /wiki/GE-645
Honeywell 6180 , URL: /wiki/Honeywell_6180
","GE-645 , URL: /wiki/GE-645
Honeywell 6180 , URL: /wiki/Honeywell_6180
"
"Autocoder , URL: /wiki/Autocoder
","IBM , URL: /wiki/IBM
","","Free","IBM 705 , URL: /wiki/IBM_705
",""
"Autocoder , URL: /wiki/Autocoder
","IBM , URL: /wiki/IBM
","","Free","IBM 1410 , URL: /wiki/IBM_1410
7010 , URL: /wiki/IBM_7010
","IBM 1410 Processor Operating System (1410-PR-155)"
"7070/7074 Autocoder","IBM , URL: /wiki/IBM
","","Free","IBM 7070 , URL: /wiki/IBM_7070
IBM 7072 , URL: /wiki/IBM_7072
7074 , URL: /wiki/IBM_7074
",""
"7080 Autocoder III","IBM , URL: /wiki/IBM
","","Free","IBM 7080 , URL: /wiki/IBM_7080
","IBM 7058 Processor"
"COMPASS , URL: /wiki/COMPASS
","Control Data Corporation , URL: /wiki/Control_Data_Corporation
","","Free","CDC , URL: /wiki/Control_Data_Corporation
lower 3000 series , URL: /wiki/CDC_3000_series#Lower_3000_series
","CDC , URL: /wiki/Control_Data_Corporation
SCOPE , URL: /wiki/CDC_SCOPE
"
"COMPASS , URL: /wiki/COMPASS
","Control Data Corporation , URL: /wiki/Control_Data_Corporation
","","Free","CDC , URL: /wiki/Control_Data_Corporation
upper 3000 series , URL: /wiki/CDC_3000_series#Upper_3000_series
","CDC , URL: /wiki/Control_Data_Corporation
SCOPE , URL: /wiki/CDC_SCOPE
"
"COMPASS , URL: /wiki/COMPASS
","Control Data Corporation , URL: /wiki/Control_Data_Corporation
","","Free","CDC , URL: /wiki/Control_Data_Corporation
6000 series , URL: /wiki/CDC_6000_series
7600 , URL: /wiki/CDC_7600
Cyber , URL: /wiki/CDC_Cyber
","CDC , URL: /wiki/Control_Data_Corporation
Kronos , URL: /wiki/CDC_Kronos
NOS , URL: /wiki/NOS_(software)
SCOPE , URL: /wiki/CDC_SCOPE
"
"Fortran Assembly Program , URL: /wiki/FORTRAN_Assembly_Program#FORTRAN_assembly_program
","","","Free","IBM 709 , URL: /wiki/IBM_709
704x , URL: /wiki/IBM_7040
709x , URL: /wiki/IBM_7090
","Fortran Monitor System , URL: /wiki/History_of_IBM_mainframe_operating_systems#FORTRAN_Monitor_System
IBSYS , URL: /wiki/IBM_7090/94_IBSYS
"
"GCOS Macro Assembly Program (GMAP)","","","Free","GE-600 series , URL: /wiki/GE-600_series
Honeywell 6000 series , URL: /wiki/Honeywell_6000_series
","GCOS , URL: /wiki/General_Comprehensive_Operating_System
"
"Macro Assembly Program , URL: /wiki/IBM_7090/94_IBSYS
","","","Free","IBM 709 , URL: /wiki/IBM_709
704x , URL: /wiki/IBM_7040
709x , URL: /wiki/IBM_7090
","IBSYS , URL: /wiki/IBM_7090/94_IBSYS
"
