"Implementation","SSL 2.0 , URL: /wiki/Transport_Layer_Security
","SSL 3.0 , URL: /wiki/Transport_Layer_Security
","TLS 1.0 , URL: /wiki/Transport_Layer_Security
","TLS 1.1 , URL: /wiki/Transport_Layer_Security
","TLS 1.2 , URL: /wiki/Transport_Layer_Security
","TLS 1.3 , URL: /wiki/Transport_Layer_Security
","DTLS 1.0 , URL: /wiki/Datagram_Transport_Layer_Security
","DTLS 1.2 , URL: /wiki/Datagram_Transport_Layer_Security
"
"Botan , URL: /wiki/Botan_(programming_library)
","No","No[36]","Yes","Yes","Yes","","Yes","Yes"
"BoringSSL , URL: /wiki/BoringSSL
","","","Yes","Yes","Yes","Yes","Yes","Yes"
"Bouncy Castle , URL: /wiki/Bouncy_Castle_(cryptography)
","No","No","Yes","Yes","Yes","Yes (draft version)","Yes","Yes"
"BSAFE , URL: /wiki/BSAFE
","No","Disabled by default","No[a]","No[a]","Yes","Yes","No","No"
"cryptlib , URL: /wiki/Cryptlib
","No","Disabled by default at compile time","Yes","Yes","Yes","","No","No"
"GnuTLS , URL: /wiki/GnuTLS
","No[b]","Disabled by default[38]","Yes","Yes","Yes","Yes[39]","Yes","Yes"
"JSSE , URL: /wiki/Java_Secure_Socket_Extension
","No[b]","Disabled by default[40]","Disabled by default[41]","Disabled by default[41]","Yes","Yes","Yes","Yes"
"LibreSSL , URL: /wiki/LibreSSL
","No[42]","No[43]","Yes","Yes","Yes","Yes","Yes","Yes[44]"
"MatrixSSL , URL: /wiki/MatrixSSL
","No","Disabled by default at compile time[45]","Yes","Yes","Yes","Yes","Yes","Yes"
"Mbed TLS , URL: /wiki/Mbed_TLS
","No","No[46]","No[46]","No[46]","Yes","Yes (experimental)","Yes[47]","Yes[47]"
"NSS , URL: /wiki/Network_Security_Services
","No[c]","Disabled by default[48]","Yes","Yes[49]","Yes[50]","Yes[51]","Yes[49]","Yes[52]"
"OpenSSL , URL: /wiki/OpenSSL
","No[53]","Disabled by default","Yes","Yes[54]","Yes[54]","Yes","Yes","Yes[55]"
"s2n , URL: /wiki/S2n
","No","Disabled by default","Yes","Yes","Yes","Yes","No","No"
"SChannel , URL: /wiki/SChannel
","Disabled by default in MSIE 7","Enabled by default","Enabled by default in MSIE 7","No","No","","No","No"
"SChannel , URL: /wiki/SChannel
","Disabled by default","Enabled by default","Yes","No","No","","No","No"
"SChannel , URL: /wiki/SChannel
","Disabled by default","Enabled by default","Yes","Disabled by default (KB4019276)","Disabled by default (KB4019276)","","No","No"
"SChannel , URL: /wiki/SChannel
","Disabled by default","Disabled by default in MSIE 11","Yes","Enabled by default in MSIE 11","Enabled by default in MSIE 11","","Yes[60]","No[60]"
"SChannel , URL: /wiki/SChannel
","Disabled by default","Enabled by default","Yes","Disabled by default","Disabled by default","","Yes","No"
"SChannel , URL: /wiki/SChannel
","Disabled by default","Disabled by default in MSIE 11","Yes","Yes","Yes","","Yes","No"
"SChannel , URL: /wiki/SChannel
","No","Disabled by default","Yes","Yes","Yes","","Yes","Yes"
"Secure Transport , URL: /wiki/MacOS
","Yes","Yes","Yes","No","No","","No","No"
"Secure Transport OS X 10.8-10.10, iOS 5-8","No[d]","Yes","Yes","Yes[d]","Yes[d]","","Yes[d]","No"
"Secure Transport OS X 10.11, iOS 9","No","No[d]","Yes","Yes","Yes","","Yes","Unknown"
"Secure Transport OS X 10.13, iOS 11","No","No[d]","Yes","Yes","Yes","Yes (draft version)[62]","Yes","Unknown"
"wolfSSL , URL: /wiki/WolfSSL
","No","Disabled by default[63]","Disabled by default[64]","Yes","Yes","Yes","Yes","Yes"
"Erlang , URL: /wiki/Erlang_(programming_language)
","No [e]","No [f]","Disabled by default [e]","Disabled by default [e]","Yes","Partially [g]","Disabled by default [e]","Yes"
"Implementation","SSL 2.0 , URL: /wiki/Transport_Layer_Security
","SSL 3.0 , URL: /wiki/Transport_Layer_Security
","TLS 1.0 , URL: /wiki/Transport_Layer_Security
","TLS 1.1 , URL: /wiki/Transport_Layer_Security
","TLS 1.2 , URL: /wiki/Transport_Layer_Security
","TLS 1.3 , URL: /wiki/Transport_Layer_Security
","DTLS 1.0 , URL: /wiki/Datagram_Transport_Layer_Security
","DTLS 1.2 , URL: /wiki/Datagram_Transport_Layer_Security
"
