"Name","Architecture","License","Autorouter , URL: /wiki/Routing_(EDA)
","Comment"
"Electric , URL: /wiki/Electric_(software)
","*BSD , URL: /wiki/FreeBSD
Java , URL: /wiki/Java_(programming_language)
","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
","Yes","VLSI , URL: /wiki/Very-large-scale_integration
PCB , URL: /wiki/Printed_circuit_board
"
"FreePCB , URL: /wiki/FreePCB
","w32 , URL: /wiki/Microsoft_Windows
","GPL","Yes","printed circuit board , URL: /wiki/Printed_circuit_board
Microsoft Windows , URL: /wiki/Microsoft_Windows
metric , URL: /wiki/Metric_system
US customary units , URL: /wiki/US_customary_units
Gerber format , URL: /wiki/Gerber_format
FreeRouting , URL: /w/index.php?title=FreeRouting&action=edit&redlink=1
Specctra , URL: /wiki/Specctra
"
"Fritzing , URL: /wiki/Fritzing
","Windows , URL: /wiki/Microsoft_Windows
Mac , URL: /wiki/Mac_OS_X
Linux , URL: /wiki/Linux
","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
","Yes","Arduino , URL: /wiki/Arduino
Raspberry Pi , URL: /wiki/Raspberry_Pi
"
"gEDA , URL: /wiki/GEDA
","*BSD , URL: /wiki/FreeBSD
Linux , URL: /wiki/Linux
Mac , URL: /wiki/Mac_OS_X
","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","Yes","schematic, simulation, PCB editor, gerber view"
"Gnucap , URL: /wiki/Gnucap
","any (C++98)","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","No","Mixed-signal circuit simulator"
"Icarus Verilog , URL: /wiki/Icarus_Verilog
","*BSD , URL: /wiki/FreeBSD
Linux , URL: /wiki/Linux
Mac , URL: /wiki/Mac_OS_X
","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","No","Verilog , URL: /wiki/Verilog
"
"KiCad , URL: /wiki/KiCad
","Linux , URL: /wiki/Linux
Mac , URL: /wiki/Mac_OS_X
Windows , URL: /wiki/Microsoft_Windows
","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
","FreeRouting","Full package for schematic and board design, etc. Design rule checking. User-defined symbols and footprints. Gerber/ drill file creation. Graphic interface. Active user community."
"KTechLab , URL: /wiki/KTechLab
","Linux , URL: /wiki/Linux
","GPL","No","KTechLab is a schematic capture and simulator. It is specifically geared toward mixed signal simulation of analog components and small digital processors."
"Magic , URL: /wiki/Magic_(software)
","Linux","BSD license","No","very-large-scale integration , URL: /wiki/Very-large-scale_integration
"
"Ngspice , URL: /wiki/Ngspice
","Linux , URL: /wiki/Linux
Solaris , URL: /wiki/Solaris_(operating_system)
Mac , URL: /wiki/Mac_OS_X
NetBSD , URL: /wiki/NetBSD
FreeBSD , URL: /wiki/FreeBSD
w32 , URL: /wiki/Microsoft_Windows
","BSD-3-Clause , URL: /wiki/BSD_licenses
","No","SPICE , URL: /wiki/SPICE
"
"Oregano , URL: /wiki/Oregano_(software)
","","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","No","Schematic capture + spice simulation"
"Quite Universal Circuit Simulator , URL: /wiki/Quite_Universal_Circuit_Simulator
","Linux , URL: /wiki/Linux
Solaris , URL: /wiki/Solaris_(operating_system)
Mac , URL: /wiki/Mac_OS_X
NetBSD , URL: /wiki/NetBSD
FreeBSD , URL: /wiki/FreeBSD
w32 , URL: /wiki/Microsoft_Windows
","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","No","Schematic capture , URL: /wiki/Schematic_capture
"
"pcb-rnd , URL: /wiki/Pcb-rnd
","*BSD , URL: /wiki/FreeBSD
Linux , URL: /wiki/Linux
Mac , URL: /wiki/Mac_OS_X
w32 , URL: /wiki/Microsoft_Windows
","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","Yes","DRC , URL: /wiki/Design_rule_checking
"
"Verilator , URL: /wiki/Verilator
","Posix","LGPL-3.0-only , URL: /wiki/GNU_Lesser_General_Public_License
Artistic-2.0 , URL: /wiki/Artistic_License
","No","SystemC , URL: /wiki/SystemC
ModelSim , URL: /wiki/ModelSim
"
"XCircuit , URL: /wiki/XCircuit
","Unix , URL: /wiki/Unix
","GPL","No","Used to produce netlists and publish high-quality drawings."
