"Common Name","Family","Primary Use","Radio Tech","Downstream , URL: /wiki/Downstream_(networking)
","Upstream , URL: /wiki/Upstream_(networking)
","Notes"
"HSPA+ , URL: /wiki/HSPA%2B
","3GPP , URL: /wiki/3GPP
","Mobile Internet","CDMA , URL: /wiki/Code_Division_Multiple_Access
TDMA , URL: /wiki/Time_Division_Multiple_Access
FDD , URL: /wiki/Frequency_division_duplex
MIMO , URL: /wiki/MIMO
","21 42 84 672","5.8 11.5 22 168","HSPA+ is widely deployed , URL: /wiki/List_of_HSPA%2B_networks
HSPA+ , URL: /wiki/HSPA%2B
"
"LTE , URL: /wiki/LTE_(telecommunication)
","3GPP , URL: /wiki/3GPP
","Mobile Internet","OFDMA , URL: /wiki/OFDMA
TDMA , URL: /wiki/Time-division_multiple_access
MIMO , URL: /wiki/MIMO
SC-FDMA , URL: /wiki/SC-FDMA
for LTE-FDD , URL: /wiki/Frequency_division_duplex
for LTE-TDD , URL: /wiki/Time_division_duplex
","100 Cat3 150 Cat4 300 Cat5 25065 Cat17 1658 Cat19 (in 20 MHz FDD) [8]","50 Cat3/4 75 Cat5 2119 Cat17 13563 Cat19 (in 20 MHz FDD)[8]","LTE-Advanced Pro , URL: /wiki/LTE-Advanced_Pro
"
"WiMax rel 1 , URL: /wiki/WiMAX
","802.16 , URL: /wiki/802.16
","WirelessMAN","MIMO , URL: /wiki/MIMO
SOFDMA , URL: /wiki/Orthogonal_frequency-division_multiple_access
","37 (10 MHz TDD)","17 (10 MHz TDD)","With 2x2 MIMO.[9]"
"WiMax rel 1.5 , URL: /wiki/WiMAX
","802.16-2009 , URL: /wiki/802.16-2009
","WirelessMAN","MIMO , URL: /wiki/MIMO
SOFDMA , URL: /wiki/Orthogonal_frequency-division_multiple_access
","83 (20 MHz TDD) 141 (2x20 MHz FDD)","46 (20 MHz TDD) 138 (2x20 MHz FDD)","With 2x2 MIMO.Enhanced with 20 MHz channels in 802.16-2009[9]"
"WiMAX rel 2.0 , URL: /wiki/WiMax
","802.16m , URL: /wiki/802.16m
","WirelessMAN","MIMO , URL: /wiki/MIMO
SOFDMA , URL: /wiki/Orthogonal_frequency-division_multiple_access
","2x2 MIMO 110 (20 MHz TDD) 183 (2x20 MHz FDD) 4x4 MIMO 219 (20 MHz TDD) 365 (2x20 MHz FDD)","2x2 MIMO 70 (20 MHz TDD) 188 (2x20 MHz FDD) 4x4 MIMO 140 (20 MHz TDD) 376 (2x20 MHz FDD)","Also, low mobility users can aggregate multiple channels to get a download throughput of up to 1 Gbit/s[9]"
"Flash-OFDM , URL: /wiki/Flash-OFDM
","Flash-OFDM","Mobile Internet mobility up to 200 mph (350 km/h)","Flash-OFDM , URL: /wiki/Flash-OFDM
","5.3 10.6 15.9","1.8 3.6 5.4","Mobile range 30 km (18 miles) Extended range 55 km (34 miles)"
"HIPERMAN , URL: /wiki/HIPERMAN
","HIPERMAN","Mobile Internet","OFDM , URL: /wiki/OFDM
","56.9","56.9",""
"Wi-Fi , URL: /wiki/Wi-Fi
","11ax , URL: /wiki/IEEE_802.11ax
","Wireless LAN","OFDM , URL: /wiki/OFDM
OFDMA , URL: /wiki/OFDMA
CSMA , URL: /wiki/Carrier_sense_multiple_access
MIMO , URL: /wiki/MIMO
MU-MIMO , URL: /wiki/MU-MIMO
Half Duplex , URL: /wiki/Half_Duplex
","Wi-Fi 6 , URL: /wiki/Wi-Fi_6
","Wi-Fi 6 , URL: /wiki/Wi-Fi_6
","Antenna, RF front end enhancements and minor protocol timer tweaks have helped deploy long range P2P networks compromising on radial coverage, throughput and/or spectra efficiency (310 km & 382 km)"
"iBurst , URL: /wiki/IBurst
","802.20 , URL: /wiki/IEEE_802.20
","Mobile Internet","HC-SDMA , URL: /wiki/HC-SDMA
TDD , URL: /wiki/Time-division_duplex
MIMO , URL: /wiki/MIMO
","95","36","Cell Radius: 3–12 km Speed: 250 km/h Spectral Efficiency: 13 bits/s/Hz/cell Spectrum Reuse Factor: ""1"""
"EDGE Evolution , URL: /wiki/Enhanced_Data_Rates_for_GSM_Evolution#EDGE_Evolution
","GSM , URL: /wiki/GSM
","Mobile Internet","TDMA , URL: /wiki/Time-division_multiple_access
FDD , URL: /wiki/Frequency-division_duplex
","1.6","0.5","3GPP , URL: /wiki/3GPP
"
"UMTS , URL: /wiki/UMTS
HSPA , URL: /wiki/High_Speed_Packet_Access
HSDPA , URL: /wiki/HSDPA
HSUPA , URL: /wiki/HSUPA
","3GPP , URL: /wiki/3GPP
","Mobile Internet","CDMA , URL: /wiki/Code_Division_Multiple_Access
FDD , URL: /wiki/Frequency-division_duplex
MIMO , URL: /wiki/MIMO
","0.384 14.4","0.384 5.76","HSDPA is widely deployed , URL: /wiki/List_of_HSDPA_networks
"
"UMTS-TDD , URL: /wiki/UMTS-TDD
","3GPP , URL: /wiki/3GPP
","Mobile Internet","CDMA , URL: /wiki/Code_Division_Multiple_Access
TDD , URL: /wiki/Time-division_duplex
","16","16","IPWireless , URL: http://www.ipwireless.com/technology/
HSDPA , URL: /wiki/HSDPA
HSUPA , URL: /wiki/HSUPA
"
"EV-DO , URL: /wiki/EV-DO
","3GPP2 , URL: /wiki/3GPP2
","Mobile Internet","CDMA , URL: /wiki/Code_Division_Multiple_Access
FDD , URL: /wiki/Frequency_division_duplex
","2.45 3.1 4.9xN","0.15 1.8 1.8xN","Rev B note: N is the number of 1.25 MHz carriers used. EV-DO is not designed for voice, and requires a fallback to 1xRTT when a voice call is placed or received."
