"null","null","null","null","null","null","null"
"","405 nm (blue-violet laser)","405 or 650 nm","650 nm (red laser)","null","null","null"
"","0.85","0.65","0.85 or 0.6","0.6","null","null"
"100 GB","25(50)/128 GB[a]","15/30 GB[a]","1.4/2.6 GB (8 cm DVD), 4.7/8.5 GB (12 cm DVD), 25/50 GB (12 cm BD)","4.7/8.5 GB","null","null"
"128 Mbit/s","53.95 Mbit/s","36.55 Mbit/s","Unknown","11.08 Mbit/s","null","null"
"","48.0 Mbit/s","30.24 Mbit/s","27 Mbit/s","10.08 Mbit/s","null","null"
"","40.0 Mbit/s","29.4 Mbit/s","Unknown","9.8 Mbit/s","null","null"
"H.265/MPEG-H Part 2","H.264/MPEG-4 AVC / VC-1 / MPEG-2","China's AVS / H.264/MPEG-4 AVC / VC-1 / MPEG-2","H.264/MPEG-4 AVC","H.264/MPEG-4 AVC MPEG-2","MPEG-1 / MPEG-2","null"
"TBD","Mandatory 640 kbit/s","Mandatory 504 kbit/s [2]","Mandatory 64-640 kbit/s","Mandatory 448 kbit/s","null","null"
"TBD","Mandatory 1.5 Mbit/s","Unknown","N/A","Optional 1.5 Mbit/s","null","null"
"TBD","Optional 1.7 Mbit/s","Mandatory 3.0 Mbit/s","N/A","N/A","null","null"
"TBD","Optional 6.0 Mbit/s","Optional 3.0 Mbit/s","Unknown","N/A","N/A","null"
"TBD","Mandatory","Optional","null","null","null","null"
"TBD","Optional 18 Mbit/s","Mandatory 18 Mbit/s","N/A","N/A","null","null"
"TBD","Optional 24.5 Mbit/s","Optional 18 Mbit/s","Unknown","N/A","N/A","null"
"TBD","Mandatory for Bonus View players[c]","Mandatory","Unknown","Unknown","N/A","null"
"TBD","Mandatory for Bonus View players[c]","Mandatory","Unknown","Unknown","Optional","null"
"TBD","BDMV and Blu-ray Disc Java","Standard Content and Advanced Content","CETC","Rudimentary","null","null"
"TBD","Mandatory for BD-Live players","Mandatory","Unknown","N/A","null","null"
"4K UHD 3840×2160","1920×1080p","720×480 (NTSC) 720×576 (PAL)","null","null","null","null"
"HFR 60p","24/25/30p, 50/60i[3][g]","24/25/30p, 50/60i","24/25/30p, 50/60i","Unknown","24/25/30p[g] 50/60i","null"
"HDR10 / HDR10+ / SL-HDR2 / Dolby Vision","SDR","","","","",""
"Rec. 2020","","","","","",""
"","AACS-128bit / BD+ / ROM-Mark","AACS-128bit","AACS-128bit / DKAA","None (Not intended for prerecorded content)","CSS 40-bit","null"
"","Three region codes[f]","None","Unknown","None","8 regions (6 commercial)","null"
"TBD","Mandatory","Optional","null","null","null","null"
