"Card family","Standards organizations","Varieties","Entry date","Maximum commercially available capacity","Picture[1]","Main features"
"CompactFlash , URL: /wiki/CompactFlash
","SanDisk , URL: /wiki/SanDisk
","I","1994","GB , URL: /wiki/Gigabyte
","
URL: /wiki/File:Compactflash-512mb.png
//upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Compactflash-512mb.png/134px-Compactflash-512mb.png
","GB , URL: /wiki/Gigabyte
PB , URL: /wiki/Petabyte
"
"CompactFlash , URL: /wiki/CompactFlash
","SanDisk , URL: /wiki/SanDisk
","II","1994","GB , URL: /wiki/Gigabyte
","
URL: /wiki/File:Compactflash-512mb.png
//upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Compactflash-512mb.png/134px-Compactflash-512mb.png
",""
"CFexpress , URL: /wiki/CFexpress
","CompactFlash Association , URL: /wiki/CompactFlash_Association
","1.0","2017","1 TB","
URL: /wiki/File:Delkin_CFexpress.png
//upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Delkin_CFexpress.png/93px-Delkin_CFexpress.png
","CFexpress Type B: XQD form factor (38.5x29.8x3.8mm), PCIe 3.0 x2 (1.97 GB/s), NVMe"
"CFexpress , URL: /wiki/CFexpress
","CompactFlash Association , URL: /wiki/CompactFlash_Association
","2.0","2019","?","","CFexpress Type A: 20x28x2.8mm, PCIe 3.0 x1 (1.0 GB/s), NVMe [3] CFexpress Type C: 54x74x4.8mm, PCIe 3.0 x4 (4.0 GB/s), NVMe [3]"
"CFexpress , URL: /wiki/CFexpress
","CompactFlash Association , URL: /wiki/CompactFlash_Association
","-","-","-","-","PCIe 3.0 x8 (8,0 GB/s), NVMe"
"SmartMedia , URL: /wiki/SmartMedia
","Toshiba , URL: /wiki/Toshiba
","3.3/5 V","1995","128 MB","
URL: /wiki/File:Smartmedia_card.jpg
//upload.wikimedia.org/wikipedia/commons/thumb/4/46/Smartmedia_card.jpg/115px-Smartmedia_card.jpg
","wear leveling , URL: /wiki/Wear_leveling
"
"MultiMediaCard , URL: /wiki/MultiMediaCard
","Siemens AG , URL: /wiki/Siemens_AG
SanDisk , URL: /wiki/SanDisk
","MMC , URL: /wiki/MultiMediaCard
","1997","16 GB","
URL: /wiki/File:MMC.png
//upload.wikimedia.org/wikipedia/commons/thumb/7/78/MMC.png/75px-MMC.png
","Slim and small (24×32×1.4 mm), up to 16 GB"
"MultiMediaCard , URL: /wiki/MultiMediaCard
","Siemens AG , URL: /wiki/Siemens_AG
SanDisk , URL: /wiki/SanDisk
","RS-MMC/MMC Mobile","2003/2005","16 GB","
URL: /wiki/File:RS-MMC.png
//upload.wikimedia.org/wikipedia/commons/thumb/5/58/RS-MMC.png/75px-RS-MMC.png
","Compact (24×18×1.4 mm), up to 16 GB"
"MultiMediaCard , URL: /wiki/MultiMediaCard
","Siemens AG , URL: /wiki/Siemens_AG
SanDisk , URL: /wiki/SanDisk
","MMCplus","2005","16 GB","
URL: /wiki/File:MMCplus.jpg
//upload.wikimedia.org/wikipedia/commons/thumb/1/18/MMCplus.jpg/85px-MMCplus.jpg
","Compact (24×32×1.4 mm), swifter, optional DRM, up to 16 GB"
"MultiMediaCard , URL: /wiki/MultiMediaCard
","Siemens AG , URL: /wiki/Siemens_AG
SanDisk , URL: /wiki/SanDisk
","MMCmicro","2005","4 GB","
URL: /wiki/File:Mmc-micro.PNG
//upload.wikimedia.org/wikipedia/commons/2/25/Mmc-micro.PNG
","Subcompact (14×12×1.1 mm), optional DRM, 16 MB to 4 GB"
"Secure Digital , URL: /wiki/Secure_Digital
","SanDisk , URL: /wiki/SanDisk
Panasonic , URL: /wiki/Panasonic
Toshiba , URL: /wiki/Toshiba
Kodak , URL: /wiki/Kodak
SD Association , URL: /wiki/SD_Association
","SD , URL: /wiki/Secure_Digital
","1999","4 GB","
URL: /wiki/File:Secure_Digital_Kingston_512MB.png
//upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Secure_Digital_Kingston_512MB.png/75px-Secure_Digital_Kingston_512MB.png
","Article , URL: /wiki/Secure_digital#SDSC_cards_above_1_GB
"
"Secure Digital , URL: /wiki/Secure_Digital
","SanDisk , URL: /wiki/SanDisk
Panasonic , URL: /wiki/Panasonic
Toshiba , URL: /wiki/Toshiba
Kodak , URL: /wiki/Kodak
SD Association , URL: /wiki/SD_Association
","miniSD , URL: /wiki/Secure_Digital#Physical_size
","2003","4 GB","
URL: /wiki/File:MiniSD_Card_256MB.png
//upload.wikimedia.org/wikipedia/commons/thumb/7/77/MiniSD_Card_256MB.png/62px-MiniSD_Card_256MB.png
","Article , URL: /wiki/Secure_digital#SDSC_cards_above_1_GB
"
"Secure Digital , URL: /wiki/Secure_Digital
","SanDisk , URL: /wiki/SanDisk
Panasonic , URL: /wiki/Panasonic
Toshiba , URL: /wiki/Toshiba
Kodak , URL: /wiki/Kodak
SD Association , URL: /wiki/SD_Association
","microSD , URL: /wiki/Secure_Digital#Physical_size
","2005","4 GB","
URL: /wiki/File:MicroSD_card.jpg
//upload.wikimedia.org/wikipedia/commons/thumb/6/6c/MicroSD_card.jpg/47px-MicroSD_card.jpg
","Article , URL: /wiki/Secure_digital#SDSC_cards_above_1_GB
"
"Secure Digital , URL: /wiki/Secure_Digital
","SanDisk , URL: /wiki/SanDisk
Panasonic , URL: /wiki/Panasonic
Toshiba , URL: /wiki/Toshiba
Kodak , URL: /wiki/Kodak
SD Association , URL: /wiki/SD_Association
","SDHC , URL: /wiki/SDHC
","2006","32 GB","
URL: /wiki/File:SDHC_memory_card_8GB.png
//upload.wikimedia.org/wikipedia/commons/thumb/7/75/SDHC_memory_card_8GB.png/75px-SDHC_memory_card_8GB.png
","Same build as SD but greater capacity and transfer speed, 4 GB to 32 GB (not compatible with older host devices)."
