"Name","Microsoft Office (.doc, .xls...)","Office Open XML , URL: /wiki/Office_Open_XML
","OpenDocument , URL: /wiki/OpenDocument
","Portable Document Format , URL: /wiki/Portable_Document_Format
"
"Ability Office , URL: /wiki/Ability_Office
","Yes","Yes","Yes","Export"
"Apache OpenOffice , URL: /wiki/Apache_OpenOffice
","Yes","Import-only","Native format","Export and Import with plugin"
"Discontinued - Breadbox Office , URL: /wiki/GEOS_(16-bit_operating_system)#Breadbox_Ensemble
","No","No","No","No"
"Calligra Suite , URL: /wiki/Calligra_Suite
","Import","Import","Native format","Export[40]"
"Collabora Online , URL: /wiki/Collabora_Online
","Yes","Yes","Native format","Yes"
"ConceptDraw Office , URL: /wiki/ConceptDraw_Office
","No","Export","No","Export"
"Feng Office Community Edition , URL: /wiki/Feng_Office_Community_Edition
","No","No","No","No"
"GNU TeXmacs , URL: /wiki/GNU_TeXmacs
","No","No","No","Export"
"Discontinued - GobeProductive , URL: /wiki/GobeProductive
","Yes","No","No","No"
"Google Workspace , URL: /wiki/Google_Workspace
","Yes","Yes","Yes","Yes"
"Hancom Office , URL: /wiki/Hancom_Office
","Yes","Yes","Yes","Yes"
"IBM Lotus Symphony , URL: /wiki/IBM_Lotus_Symphony
","?","?","?","?"
"iWork , URL: /wiki/IWork
","Yes","Import","No","Export"
"KOffice , URL: /wiki/KOffice
","Import","Import","Native format","Export[40]"
"LibreOffice , URL: /wiki/LibreOffice
","Yes","Yes","Native format","Yes"
"Lotus SmartSuite , URL: /wiki/Lotus_SmartSuite
","Yes","No","No","No"
"Microsoft Office , URL: /wiki/Microsoft_Office
","Partial[c]","Yes[41]","Partial[d]","Yes"
"Microsoft Works , URL: /wiki/Microsoft_Works
","Yes","Yes","No","No"
"NeoOffice , URL: /wiki/NeoOffice
","Yes","Yes","Yes","Import with plugin"
"OfficeSuite , URL: /wiki/OfficeSuite
","Yes","Yes","Yes","Yes"
"OnlyOffice , URL: /wiki/OnlyOffice
","Yes","Yes","Yes","Yes"
"OpenOffice.org , URL: /wiki/OpenOffice.org
","?","?","?","?"
"Polaris Office , URL: /wiki/Polaris_Office
","?","?","?","?"
"Siag Office , URL: /wiki/Siag_Office
","?","?","?","?"
"SoftMaker Office , URL: /wiki/SoftMaker_Office
","Yes","Yes","Yes","Yes"
"StarOffice , URL: /wiki/StarOffice
","Yes","With plugins","Native format","Import with plugin"
"Tiki Wiki CMS Groupware , URL: /wiki/Tiki_Wiki_CMS_Groupware
","search , URL: http://doc.tiki.org/Search+within+files
","search , URL: http://doc.tiki.org/Search+within+files
","search , URL: http://doc.tiki.org/Search+within+files
","Export , URL: http://doc.tiki.org/PDF
search , URL: http://doc.tiki.org/Search+within+files
"
"WordPerfect Office , URL: /wiki/WordPerfect_Office
","Yes","Yes","Yes","Some versions"
"WPS Office , URL: /wiki/WPS_Office
","Yes","Yes","With add-in[42][43]","Export in all versions. Import with subscription only."
"Zoho Office Suite , URL: /wiki/Zoho_Office_Suite
","Yes","Yes","Yes","Yes"
"Name","Microsoft Office (.doc, .xls)","Office Open XML , URL: /wiki/Office_Open_XML
","OpenDocument , URL: /wiki/OpenDocument
","Portable Document Format , URL: /wiki/Portable_Document_Format
"
