"Name","Developer","Status","First release","Latest release","Current version","Based on","License","Source , URL: /wiki/Source_code
"
"AbsoluteTelnet , URL: /wiki/AbsoluteTelnet
","Celestial Software (Brian Pence)","Active","1996","2016-10-12","10.16[1]","","Proprietary , URL: /wiki/Proprietary_software
","No"
"Bitvise , URL: /wiki/Bitvise
","Bitvise Limited","Active","2001","2020-05-22","8.43[2]","","Proprietary , URL: /wiki/Proprietary_software
","No"
"ConnectBot , URL: /wiki/ConnectBot
","Kenny Root / Jeffrey Sharkey","Active","2007-11","2019-11-12","1.9.6 [3]","Trilead SSH-2 for Java","Apache-2.0 , URL: /wiki/Apache_License
","Yes"
"Dropbear , URL: /wiki/Dropbear_(software)
","Matt Johnston","Active","2003-04-06","2020-06-26","2020.80","","MIT , URL: /wiki/MIT_License
","Yes"
"eSSH Client , URL: /wiki/ESSH_Client
","Ecode Software","Inactive","2002-07","","","","Proprietary , URL: /wiki/Proprietary_software
","No"
"lsh , URL: /wiki/Lsh
","Niels Möller","Active","1999-05-23","2013-06-26","2.1","","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","Yes"
"OpenSSH , URL: /wiki/OpenSSH
","OpenBSD , URL: /wiki/OpenBSD
","Active","1999-12-01","2021-03-03","8.5[4]","ossh","BSD , URL: /wiki/BSD_licenses
","Yes"
"PuTTY , URL: /wiki/PuTTY
","Simon Tatham , URL: /wiki/Simon_Tatham
","Active","1999-01-22","2021-07-17","0.76[5]","","MIT , URL: /wiki/MIT_License
","Yes"
"SecureCRT , URL: /wiki/SecureCRT
","VanDyke Software","Active","1998-06","2021-11-23","9.1.1[6]","","Proprietary , URL: /wiki/Proprietary_software
","No"
"Tera Term , URL: /wiki/Tera_Term
","TeraTerm Project","Active","2004","2018-08-31","4.100[7]","Tera Term Pro 2.3 (1994–1998)","BSD , URL: /wiki/BSD_licenses
","Yes"
"TN3270 Plus , URL: /wiki/TN3270_Plus
","SDI USA, Inc.","Active","2006","","","","Proprietary , URL: /wiki/Proprietary_software
","No"
"TtyEmulator , URL: /wiki/TtyEmulator
","FCS Software","Active","2002-05","2020-01-05","4.4.6.1[8]","","Proprietary , URL: /wiki/Proprietary_software
","No"
"wolfSSH , URL: /wiki/WolfSSH
","wolfSSL , URL: /wiki/WolfSSL
","Active","2016-07-20","2021-11-04","1.4.8","wolfCrypt , URL: /wiki/WolfCrypt
","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
","Yes"
"ZOC Terminal , URL: /wiki/ZOC_(software)
","EmTec, Innovative Software","Active","1995-07-01","2022-01-19","8.03.4[9]","","Proprietary , URL: /wiki/Proprietary_software
","No"
