"Flag","Country","IOC","FIFA","ISO","*"
"","Afghanistan , URL: /wiki/Afghanistan
","AFG","AFG","AFG","3OFI"
"","Åland , URL: /wiki/%C3%85land
","","","ALA","1--ï"
"","Albania , URL: /wiki/Albania
","ALB","ALB","ALB","3OFI"
"","Algeria , URL: /wiki/Algeria
","ALG","ALG","DZA","3OFï"
"","American Samoa , URL: /wiki/American_Samoa
","ASA","ASA","ASM","3OFï"
"","Andorra , URL: /wiki/Andorra
","AND","AND","AND","3OFI"
"","Angola , URL: /wiki/Angola
","ANG","ANG","AGO","3OFï"
"","Anguilla , URL: /wiki/Anguilla
","","AIA","AIA","2-FI"
"","Antarctica , URL: /wiki/Antarctica
","","","ATA","1--ï"
"","Antigua and Barbuda , URL: /wiki/Antigua_and_Barbuda
","ANT","ATG","ATG","3öFI"
"","Argentina , URL: /wiki/Argentina
","ARG","ARG","ARG","3OFI"
"","Armenia , URL: /wiki/Armenia
","ARM","ARM","ARM","3OFI"
"","Aruba , URL: /wiki/Aruba
","ARU","ARU","ABW","3OFï"
"","Australia , URL: /wiki/Australia
","AUS","AUS","AUS","3OFI"
"","Austria , URL: /wiki/Austria
","AUT","AUT","AUT","3OFI"
"","Azerbaijan , URL: /wiki/Azerbaijan
","AZE","AZE","AZE","3OFI"
"","The Bahamas , URL: /wiki/The_Bahamas
","BAH","BAH","BHS","3OFï"
"","Bahrain , URL: /wiki/Bahrain
","BRN","BHR","BHR","3öFI"
"","Bangladesh , URL: /wiki/Bangladesh
","BAN","BAN","BGD","3OFï"
"","Barbados , URL: /wiki/Barbados
","BAR","BRB","BRB","3öFI"
"","Belarus , URL: /wiki/Belarus
","BLR","BLR","BLR","3OFI"
"","Belgium , URL: /wiki/Belgium
","BEL","BEL","BEL","3OFI"
"","Belize , URL: /wiki/Belize
","BIZ","BLZ","BLZ","3öFI"
"","Benin , URL: /wiki/Benin
","BEN","BEN","BEN","3OFI"
"","Bermuda , URL: /wiki/Bermuda
","BER","BER","BMU","3OFï"
"","Bhutan , URL: /wiki/Bhutan
","BHU","BHU","BTN","3OFï"
"","Bolivia , URL: /wiki/Bolivia
","BOL","BOL","BOL","3OFI"
"","Caribbean Netherlands , URL: /wiki/Caribbean_Netherlands
","","","BES","1--ï"
"","Bosnia and Herzegovina , URL: /wiki/Bosnia_and_Herzegovina
","BIH","BIH","BIH","3OFI"
"","Botswana , URL: /wiki/Botswana
","BOT","BOT","BWA","3OFï"
"","Bouvet Island , URL: /wiki/Bouvet_Island
","","","BVT","1--ï"
"","Brazil , URL: /wiki/Brazil
","BRA","BRA","BRA","3OFI"
"","British Indian Ocean Territory , URL: /wiki/British_Indian_Ocean_Territory
","","","IOT","1--ï"
"","British Virgin Islands , URL: /wiki/British_Virgin_Islands
","IVB","VGB","VGB","3öFI"
"","Brunei , URL: /wiki/Brunei
","BRU","BRU","BRN","3OFï"
"","Bulgaria , URL: /wiki/Bulgaria
","BUL","BUL","BGR","3OFï"
