"Program","Operating systems , URL: /wiki/Operating_system
","License , URL: /wiki/Software_license
","Open source , URL: /wiki/Open-source_software
","Protocols , URL: /wiki/Communications_protocol
","Codecs , URL: /wiki/Codec
","Encryption , URL: /wiki/Encryption
","Other abilities","Latest release","Latest release"
"Acrobits Softphone , URL: /wiki/Acrobits_Softphone
","Android , URL: /wiki/Android_(operating_system)
iOS , URL: /wiki/IOS
","Proprietary , URL: /wiki/Proprietary_software
","No","SIP , URL: /wiki/Session_Initiation_Protocol
","G.711 , URL: /wiki/G.711
G.722 , URL: /wiki/G.722
iLBC , URL: /wiki/ILBC
GSM , URL: /wiki/GSM
G.729 , URL: /wiki/G.729
","TLS , URL: /wiki/Transport_Layer_Security
SRTP , URL: /wiki/Secure_Real-time_Transport_Protocol
ZRTP , URL: /wiki/ZRTP
","VOIP over Wi-Fi or 3G iOS only: push notifications, video, number rewriting, address book matching, sms for betamax providers and pennytel","Acrobits Softphone: 3.20 (Android), 5.2 (iOS)","Acrobits Softphone: 3.20 (Android), 5.2 (iOS)"
"CSipSimple , URL: /wiki/CSipSimple
","Android , URL: /wiki/Android_(operating_system)
","GPL , URL: /wiki/GNU_General_Public_License
","Yes","SIP , URL: /wiki/Session_Initiation_Protocol
","Opus , URL: /wiki/Opus_(audio_format)
AMR-WB , URL: /wiki/Adaptive_Multi-Rate_Wideband
G.722 , URL: /wiki/G.722
iSAC , URL: /wiki/Internet_Speech_Audio_Codec
iLBC , URL: /wiki/ILBC
Speex , URL: /wiki/Speex
SILK , URL: /wiki/SILK
Codec2 , URL: /wiki/Codec2
G.726 , URL: /wiki/G.726
G711 (PCMA & PCMU) , URL: /wiki/G.711
AMR , URL: /wiki/Adaptive_Multi-Rate_audio_codec
GSM , URL: /wiki/GSM
","SRTP , URL: /wiki/Secure_Real-time_Transport_Protocol
TLS , URL: /wiki/Transport_Layer_Security
ZRTP , URL: /wiki/ZRTP
","?","1.02.02","1.02.02"
"Google Duo , URL: /wiki/Google_Duo
","iOS, Android","Proprietary , URL: /wiki/Proprietary_software
freeware , URL: /wiki/Freeware
","No","WebRTC , URL: /wiki/WebRTC
","?","?","One-to-one voice and video calling.","Android","114.0 / November 26, 2020; 15 months ago (2020-11-26)"
"Google Duo , URL: /wiki/Google_Duo
","iOS, Android","Proprietary , URL: /wiki/Proprietary_software
freeware , URL: /wiki/Freeware
","No","WebRTC , URL: /wiki/WebRTC
","?","?","One-to-one voice and video calling.","iOS","114.0 / November 20, 2020; 15 months ago (2020-11-20)"
"iCall Mobile","iOS , URL: /wiki/IOS
","Proprietary , URL: /wiki/Proprietary_software
freeware , URL: /wiki/Freeware
","No","SIP , URL: /wiki/Session_Initiation_Protocol
AIM , URL: /wiki/AOL_Instant_Messenger
ICQ , URL: /wiki/ICQ
XMPP , URL: /wiki/Extensible_Messaging_and_Presence_Protocol
","Speex , URL: /wiki/Speex
CELT , URL: /wiki/CELT
WebM , URL: /wiki/WebM
","TLS , URL: /wiki/Transport_Layer_Security
ZRTP , URL: /wiki/ZRTP
","VoIP over Wi-Fi or 3G, SMS, voicemail","2.0.1; April 2012; 9 years ago (2012-04)","2.0.1; April 2012; 9 years ago (2012-04)"
"Jami , URL: /wiki/Jami_(software)
Savoir-faire Linux , URL: /wiki/Savoir-faire_Linux
","iOS , URL: /wiki/IOS
Android , URL: /wiki/Android_(operating_system)
","GPLv3 , URL: /wiki/GNU_General_Public_License
","Yes","SIP , URL: /wiki/Session_Initiation_Protocol
","Opus , URL: /wiki/Opus_(audio_format)
","SRTP , URL: /wiki/Secure_Real-time_Transport_Protocol
TLS , URL: /wiki/Transport_Layer_Security
","?","Version 202103261733 March 2021; 1 year ago (2021-03)","Version 202103261733 March 2021; 1 year ago (2021-03)"
"Jajah , URL: /wiki/Jajah
","Symbian, Windows Mobile (version unknown)","Proprietary , URL: /wiki/Proprietary_software
","No","?","?","?","web based service, Call back, no download[51]","?","?"
"Juphoon , URL: /wiki/Juphoon
","iOS , URL: /wiki/IOS
","Proprietary , URL: /wiki/Proprietary_software
","No","SIP , URL: /wiki/Session_Initiation_Protocol
","PCMA , URL: /wiki/A-law_algorithm
PCMU , URL: /wiki/PCMU
G.722 , URL: /wiki/G.722
iLBC , URL: /wiki/ILBC
iSAC , URL: /wiki/Internet_Speech_Audio_Codec
Opus , URL: /wiki/Opus_(audio_format)
H.264 , URL: /wiki/H.264
VP8 , URL: /wiki/VP8
H.263 , URL: /wiki/H.263
","TLS , URL: /wiki/Transport_Layer_Security
TCP , URL: /wiki/Transmission_Control_Protocol
SRTP , URL: /wiki/Secure_Real-time_Transport_Protocol
","JusTex Softphone over Wi-Fi or 3G, HD voice and video call, Multiparty call, conference.","3.0.1 (iOS); July 13, 2014; 7 years ago (2014-07-13); 3.0 (Android); July 9, 2014; 7 years ago (2014-07-09)","3.0.1 (iOS); July 13, 2014; 7 years ago (2014-07-13); 3.0 (Android); July 9, 2014; 7 years ago (2014-07-09)"
"Line , URL: /wiki/Line_(application)
","Android, iOS","Proprietary , URL: /wiki/Proprietary_software
","No","?","?","?","?","",""
"Line2 , URL: /wiki/Line2
","Android, iOS","Proprietary , URL: /wiki/Proprietary_software
freeware , URL: /wiki/Freeware
","No","SIP , URL: /wiki/Session_Initiation_Protocol
","?","?","Tri-mode calling (cellular, 3G/4G data, Wi-Fi), SMS over IP, visual voicemail, 20-person conference calls, auto-attendant, call-forwarding","1.0.4 Android, 3.2.1 iOS","1.0.4 Android, 3.2.1 iOS"
