"Name","Individual view","Family view","Pedigree view","Chronology view","Ancestor charts","Ancestor narrative reports","Ancestor pedigree reports","Descendant charts","Descendant narrative reports","Fan charts","Research Manager","DNA charts","Research Guidance","Mapping"
"Agelong Tree","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No"
"Ahnenblatt , URL: /wiki/Ahnenblatt
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"Ancestral Quest , URL: /wiki/Ancestral_Quest
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes"
"Ancestris","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"Brother's Keeper , URL: /wiki/Brother%27s_Keeper_(software)
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No"
"Family Historian , URL: /wiki/Family_Historian
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"Family Tree Builder , URL: /wiki/MyHeritage#Family_Tree_Builder
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"Family Tree Maker , URL: /wiki/Family_Tree_Maker
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes"
"GEDitCOM II , URL: /wiki/GEDitCOM
","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes"
"Genbox Family History , URL: /wiki/Genbox_Family_History
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No"
"GenealogyJ , URL: /wiki/GenealogyJ
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes"
"GenoPro , URL: /wiki/GenoPro
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","?","No","Yes"
"Gramps , URL: /wiki/Gramps_(software)
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes"
"Heredis , URL: /w/index.php?title=Heredis&action=edit&redlink=1
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"Kith and Kin Pro , URL: /wiki/Kith_and_Kin_Pro
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No"
"Legacy Family Tree , URL: /wiki/Legacy_Family_Tree
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"LifeLines , URL: /wiki/LifeLines
","Yes","Yes","Yes","?","?","?","?","?","?","?","?","?","No","?"
"MacFamilyTree , URL: /wiki/MacFamilyTree
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"Personal Ancestral File , URL: /wiki/Personal_Ancestral_File
","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","?","No","?"
"Reunion , URL: /wiki/Reunion_(genealogy_software)
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes"
"RootsMagic , URL: /wiki/RootsMagic
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"The Master Genealogist , URL: /wiki/The_Master_Genealogist
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","?","No","?"
