"Name","License","Cost","OS X , URL: /wiki/OS_X
","Unix-like , URL: /wiki/Unix-like
","Windows , URL: /wiki/Windows
","Audio","Images","Video","Transcoding , URL: /wiki/Transcoding
","Web Interface","DLNA , URL: /wiki/DLNA
","Multilingual , URL: /wiki/Multilingual
","Implementation","Subtitles[2]","Still Supported","Misc."
"360 Media Server , URL: /w/index.php?title=360_Media_Server&action=edit&redlink=1
","GPL","Free","No","Yes","Yes","Yes","No","No","Yes","Yes","Unknown","Unknown","Java","Unknown","No",""
"ALLMediaServer , URL: /w/index.php?title=ALLMediaServer&action=edit&redlink=1
","GPL","Trialware , URL: /wiki/Trialware
","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Delphi/Python","Yes","Yes",""
"ArkMS , URL: /w/index.php?title=ArkMS&action=edit&redlink=1
","Prop.","Non-free","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","Unknown","C++","Yes","Yes",""
"aVia Media Player , URL: /w/index.php?title=AVia_Media_Player&action=edit&redlink=1
","Prop.","Free","No","No","No","Yes","Yes","Yes","Yes","No","Yes","Unknown","Java","Unknown","Yes",""
"BRisa , URL: /w/index.php?title=BRisa&action=edit&redlink=1
","MIT","Free","Partial[4]","Partial[4]","No","Yes","Yes","Yes","Yes[5]","Yes","Unknown","Unknown","Python","Unknown","Unknown",""
"Coherence","MIT","Free","Partial[4]","Partial[4]","Partial[4]","Yes","Yes","Yes","Yes[6]","Yes[5]","Yes","Unknown","Python","Unknown","No",""
"DivX , URL: /w/index.php?title=DivX_(Media_Server)&action=edit&redlink=1
","Prop.","Free","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","C++","Unknown","Yes",""
"Elgato Eyeconnect , URL: /w/index.php?title=Elgato_Eyeconnect&action=edit&redlink=1
","Prop.","Non-free","Yes","No","No","Yes","Yes","Yes","No","No","Unknown","Yes","Unknown","Unknown","No",""
"Foobar2000 , URL: /wiki/Foobar2000
","Prop.","Free","No","No","Yes","Yes","No","No","Yes","No","Unknown","Unknown","C++","Unknown","Yes",""
"FUPPES , URL: /w/index.php?title=FUPPES&action=edit&redlink=1
","GPL","Free","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Partial","Unknown","C++","Unknown","No",""
"GeeXboX uShare , URL: /wiki/GeeXboX
","GPL","Free","No","Yes[8]","No","Yes","Yes","Yes","No","Yes","Yes","Unknown","C","Unknown","No",""
"Gmediaserver , URL: /w/index.php?title=Gmediaserver&action=edit&redlink=1
","GPL","Free","No","Yes","No","Yes","No","Yes","No","No","Unknown","Unknown","C","Unknown","No",""
"Home Media Center , URL: /w/index.php?title=Home_Media_Center&action=edit&redlink=1
","GPLv2","Free","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",".NET 4","Yes","Yes",""
