"Name","Developer","Predecessor","Initial release","Platform","Latest release","Latest release","License , URL: /wiki/Software_license
","USD , URL: /wiki/United_States_dollar
"
"Name","Developer","Predecessor","Initial release","Platform","Version","Date","License , URL: /wiki/Software_license
","USD , URL: /wiki/United_States_dollar
"
"Ability Office , URL: /wiki/Ability_Office
","Ability Plus Software , URL: /wiki/Ability_Plus_Software
","—","1995","Windows , URL: /wiki/Microsoft_Windows
","
URL: https://www.wikidata.org/wiki/Q321295?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-02","Proprietary , URL: /wiki/Proprietary_software
","starts at 39.99"
"Apache OpenOffice , URL: /wiki/Apache_OpenOffice
","Apache Software Foundation , URL: /wiki/Apache_Software_Foundation
","OpenOffice.org , URL: /wiki/OpenOffice.org
StarOffice , URL: /wiki/StarOffice
","2012-05","BSD , URL: /wiki/BSD
","
URL: https://www.wikidata.org/wiki/Q2858086?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-10-06","Apache-2.0 , URL: /wiki/Apache_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"Apache OpenOffice , URL: /wiki/Apache_OpenOffice
","Apache Software Foundation , URL: /wiki/Apache_Software_Foundation
","OpenOffice.org , URL: /wiki/OpenOffice.org
StarOffice , URL: /wiki/StarOffice
","2012-05","GNU , URL: /wiki/GNU
Linux , URL: /wiki/Linux_kernel
","
URL: https://www.wikidata.org/wiki/Q2858086?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-10-06","Apache-2.0 , URL: /wiki/Apache_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"Apache OpenOffice , URL: /wiki/Apache_OpenOffice
","Apache Software Foundation , URL: /wiki/Apache_Software_Foundation
","OpenOffice.org , URL: /wiki/OpenOffice.org
StarOffice , URL: /wiki/StarOffice
","2012-05","macOS , URL: /wiki/MacOS
","
URL: https://www.wikidata.org/wiki/Q2858086?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-10-06","Apache-2.0 , URL: /wiki/Apache_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"Apache OpenOffice , URL: /wiki/Apache_OpenOffice
","Apache Software Foundation , URL: /wiki/Apache_Software_Foundation
","OpenOffice.org , URL: /wiki/OpenOffice.org
StarOffice , URL: /wiki/StarOffice
","2012-05","Solaris , URL: /wiki/Solaris_(operating_system)
Illumos , URL: /wiki/Illumos
","
URL: https://www.wikidata.org/wiki/Q2858086?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-10-06","Apache-2.0 , URL: /wiki/Apache_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"Apache OpenOffice , URL: /wiki/Apache_OpenOffice
","Apache Software Foundation , URL: /wiki/Apache_Software_Foundation
","OpenOffice.org , URL: /wiki/OpenOffice.org
StarOffice , URL: /wiki/StarOffice
","2012-05","Unix , URL: /wiki/Unix
","
URL: https://www.wikidata.org/wiki/Q2858086?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-10-06","Apache-2.0 , URL: /wiki/Apache_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"Apache OpenOffice , URL: /wiki/Apache_OpenOffice
","Apache Software Foundation , URL: /wiki/Apache_Software_Foundation
","OpenOffice.org , URL: /wiki/OpenOffice.org
StarOffice , URL: /wiki/StarOffice
","2012-05","Windows , URL: /wiki/Microsoft_Windows
","
URL: https://www.wikidata.org/wiki/Q2858086?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-10-06","Apache-2.0 , URL: /wiki/Apache_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"Discontinued - AppleWorks , URL: /wiki/AppleWorks
","Rupert Lissner","—","1984","macOS , URL: /wiki/MacOS
","
URL: https://www.wikidata.org/wiki/Q621196?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2004-01-14","Proprietary , URL: /wiki/Proprietary_software
","Discontinued"
"Discontinued - AppleWorks , URL: /wiki/AppleWorks
","Rupert Lissner","—","1984","Windows , URL: /wiki/Microsoft_Windows
","
URL: https://www.wikidata.org/wiki/Q621196?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2004-01-20","Proprietary , URL: /wiki/Proprietary_software
","Discontinued"
