"Name","Author","First public release","Latest stable version","Latest stable version","Cost","Software license , URL: /wiki/Software_license
","Framework , URL: /wiki/Multimedia_framework
","Written in"
"AIMP , URL: /wiki/AIMP
","AIMP DevTeam","August 8, 2006","Windows: 5.00, build 2338 (October 21, 2021; 4 months ago (2021-10-21)[1]) [±] Android: 3.20, build 1158 (October 23, 2021; 4 months ago (2021-10-23)[2]) [±]","Windows: 5.00, build 2338 (October 21, 2021; 4 months ago (2021-10-21)[1]) [±] Android: 3.20, build 1158 (October 23, 2021; 4 months ago (2021-10-23)[2]) [±]","No cost , URL: /wiki/Gratis_versus_libre
","Proprietary , URL: /wiki/Proprietary_software
","BASS audio library (decoder)","Delphi , URL: /wiki/Delphi_(programming_language)
"
"Amarok , URL: /wiki/Amarok_(audio)
","Mark Kretschmann","June 1, 2003","2.9.71 (January 31, 2021; 13 months ago (2021-01-31)) [±]","2.9.71 (January 31, 2021; 13 months ago (2021-01-31)) [±]","No cost , URL: /wiki/Gratis_versus_libre
","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","Phonon , URL: /wiki/Phonon_(KDE)
GStreamer , URL: /wiki/GStreamer
xine , URL: /wiki/Xine
MPlayer , URL: /wiki/MPlayer
VLC , URL: /wiki/VLC_media_player
DirectShow , URL: /wiki/DirectShow
QuickTime , URL: /wiki/QuickTime
","C++ , URL: /wiki/C%2B%2B
"
"Aqualung , URL: /wiki/Aqualung_(software)
","Tom Szilagyi et al.","January 1, 2006","1.1[3] (29 August 2020; 18 months ago (29 August 2020)) [±]","1.1[3] (29 August 2020; 18 months ago (29 August 2020)) [±]","No cost , URL: /wiki/Gratis_versus_libre
","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","","C , URL: /wiki/C_(programming_language)
"
"aTunes , URL: /wiki/ATunes
","Alex Aranda et al.","January 1, 2006","3.1.2 (June 22, 2014; 7 years ago (2014-06-22)) [±]","3.1.2 (June 22, 2014; 7 years ago (2014-06-22)) [±]","No cost , URL: /wiki/Gratis_versus_libre
","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","","Java , URL: /wiki/Java_(programming_language)
"
"Audacious , URL: /wiki/Audacious_(software)
","Audacious Development Team","October 30, 2005","4.1 (February 1, 2021; 13 months ago (2021-02-01)[4]) [±]","4.1 (February 1, 2021; 13 months ago (2021-02-01)[4]) [±]","No cost , URL: /wiki/Gratis_versus_libre
","BSD-2-Clause , URL: /wiki/BSD_licenses
","XMMS based","C , URL: /wiki/C_(programming_language)
"
"Banshee , URL: /wiki/Banshee_(media_player)
","Aaron Bockover","February 17, 2005","2.6.2 (February 18, 2014; 8 years ago (2014-02-18)[5]) [±]","2.6.2 (February 18, 2014; 8 years ago (2014-02-18)[5]) [±]","No cost , URL: /wiki/Gratis_versus_libre
","MIT , URL: /wiki/MIT_License
","GStreamer","C#"
"Clementine , URL: /wiki/Clementine_(software)
","Clementine Team","February 22, 2010","1.3.1 (April 19, 2016; 5 years ago (2016-04-19)) [±]","1.3.1 (April 19, 2016; 5 years ago (2016-04-19)) [±]","No cost , URL: /wiki/Gratis_versus_libre
","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
","GStreamer","Qt , URL: /wiki/Qt_(software)
"
"cmus , URL: /wiki/Cmus
","Timo Hirvonen","January 18, 2005","2.9.1 (January 22, 2021; 13 months ago (2021-01-22)) [±]","2.9.1 (January 22, 2021; 13 months ago (2021-01-22)) [±]","No cost , URL: /wiki/Gratis_versus_libre
","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","","C"
"Cog , URL: /wiki/Cog_(software)
","Vincent Spader","May 1, 2006","0.07 (December 24, 2007; 14 years ago (2007-12-24)) [±]","0.07 (December 24, 2007; 14 years ago (2007-12-24)) [±]","No cost , URL: /wiki/Gratis_versus_libre
","GPL-2.0-only , URL: /wiki/GNU_General_Public_License
","","Objective-C , URL: /wiki/Objective-C
"
"Exaile , URL: /wiki/Exaile
","Adam Olsen","May 24, 2006","4.1.0 (February 14, 2021; 12 months ago (2021-02-14)) [±]","4.1.0 (February 14, 2021; 12 months ago (2021-02-14)) [±]","No cost , URL: /wiki/Gratis_versus_libre
","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","GStreamer","Python , URL: /wiki/Python_(programming_language)
"
"Ecoute , URL: /wiki/Ecoute
","Louka Desroziers & Julien Sagot","September 2008","3.0.8","3.0.8","No cost , URL: /wiki/Gratis_versus_libre
","Proprietary , URL: /wiki/Proprietary_software
","QuickTime , URL: /wiki/QuickTime
","Objective-C , URL: /wiki/Objective-C
"
"Flash MP3 Player , URL: /wiki/Flash_MP3_Player
","Reality Software","March 11, 2008","1.00","1.00","No cost , URL: /wiki/Gratis_versus_libre
","Proprietary , URL: /wiki/Proprietary_software
","",""
"foobar2000 , URL: /wiki/Foobar2000
","Peter Pawlowski","November 29, 2002","1.6.10 (February 14, 2022; 25 days ago (2022-02-14)[6]) [±]","1.6.10 (February 14, 2022; 25 days ago (2022-02-14)[6]) [±]","No cost , URL: /wiki/Gratis_versus_libre
","Proprietary , URL: /wiki/Proprietary_software
BSD , URL: /wiki/BSD_licenses
SDK , URL: /wiki/Software_development_kit
","","C++"
"Guayadeque Music Player , URL: /wiki/Guayadeque_Music_Player
","Juan Rios","March 12, 2009","0.4.6 (June 5, 2019; 20 months ago)","0.4.6 (June 5, 2019; 20 months ago)","No cost , URL: /wiki/Gratis_versus_libre
","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
","GStreamer","C++ (wxWidgets, wxSqlite)"
"iTunes , URL: /wiki/ITunes
","Apple Inc. , URL: /wiki/Apple_Inc.
","January 9, 2001","","","No cost , URL: /wiki/Gratis_versus_libre
","Proprietary , URL: /wiki/Proprietary_software
","QuickTime , URL: /wiki/QuickTime
","?"
"JRiver Media Center , URL: /wiki/JRiver_Media_Center
","JRiver, Inc.","February 1, 1999","28.0.105 (January 28, 2022; 42 days ago (2022-01-28)[7]) [±]","28.0.105 (January 28, 2022; 42 days ago (2022-01-28)[7]) [±]","$59.98 to $79.98","Proprietary , URL: /wiki/Proprietary_software
","JRiver code","C++"
"JuK , URL: /wiki/JuK
","Scott Wheeler","February 1, 2003","3.11 (February 4, 2014; 8 years ago (2014-02-04)[8]) [±]","3.11 (February 4, 2014; 8 years ago (2014-02-04)[8]) [±]","No cost , URL: /wiki/Gratis_versus_libre
","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","","C++"
