"ADC client","FOSS , URL: /wiki/Free_and_open_source_software
","Software license , URL: /wiki/Software_license
","Active","Last Update"
"AirDC++","Yes","GNU GPL , URL: /wiki/GNU_GPL
","Yes","2021"
"AirDC++ Web Client","Yes","MIT , URL: /wiki/MIT_License
","Yes","2021"
"ApexDC++","Yes","GNU GPL","Yes","2019"
"DC++ , URL: /wiki/DC%2B%2B
","Yes","GNU GPL","Yes","2021"
"jucy","Yes","BSD , URL: /wiki/BSD_licenses
","Yes","2014"
"LinuxDC++","Yes","GNU GPL","No","2011"
"EiskaltDC++","Yes","GNU GPL","Yes","2021"
"FlylinkDC++","Yes","GNU GPL","Yes","2021"
"RSX++","Yes","GNU GPL","No","2011"
"TkDC++","Yes","GNU GPL","No","2010"
"StrongDC++","Yes","GNU GPL","No","2010"
"RevConnect","Yes","GNU GPL","No","2007"
"ncdc","Yes","MIT , URL: /wiki/MIT_License
","Yes","2019"
"ADC client","FOSS","Software license","Active",""
