"File archivers","ZIP , URL: /wiki/ZIP_(file_format)
","TAR , URL: /wiki/Tar_(file_format)
","GZ , URL: /wiki/Gzip#File_format
","BZ/BZ2 , URL: /wiki/Bzip2
","7z , URL: /wiki/7z_(file_format)
","XZ , URL: /wiki/XZ_Utils
","RAR , URL: /wiki/RAR_(file_format)
","LHA/LZH , URL: /wiki/LHA_(file_format)
","ACE , URL: /wiki/ACE_(compression_file_format)
","SIT , URL: /wiki/StuffIt
","SITX , URL: /wiki/StuffIt
","ARJ , URL: /wiki/ARJ
","KGB , URL: /wiki/KGB_Archiver
","DAR , URL: /wiki/DAR_(Disk_Archiver)
","ARC , URL: /wiki/ARC_(file_format)
","CAB , URL: /wiki/Cabinet_(file_format)
","ALZ , URL: /wiki/ALZip
","ISO/CD Image , URL: /wiki/ISO_image
","ZPAQ , URL: /wiki/ZPAQ
"
"7-Zip , URL: /wiki/7-Zip
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No[1]","No","No","Yes","No","No","No","Yes","No","Yes","No"
"ALZip , URL: /wiki/ALZip
","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","Yes","Yes","No","No","Yes","No","No","Yes","Yes","Yes","Yes","No"
"TAR , URL: /wiki/Tar_(file_format)
","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Archive Utility , URL: /wiki/Archive_Utility
","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No[7]","No"
"Ark , URL: /wiki/Ark_(software)
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No"
"B1 Free Archiver , URL: /wiki/B1_Free_Archiver
","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No[11]","No","No","No","Yes","Yes","Yes","No"
"BetterZip , URL: /wiki/BetterZip
","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","No","No","No","Yes","No","Yes","No"
"bsdtar/libarchive , URL: /wiki/Tar_(file_format)#Key_implementations
","Yes","Yes","Yes[10]","Yes[10]","Yes","Yes[10]","Partial[12]","Yes","No","No","No","No","No","No","No","Yes","No","Yes","No"
"cpio , URL: /wiki/Cpio
","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Commander One , URL: /wiki/Commander_One
","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No"
"Disk ARchiver , URL: /wiki/DAR_(Disk_Archiver)
","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No"
"Filzip , URL: /wiki/Filzip
","Yes","Yes","Yes","No","No","Unknown","Yes","Yes","Yes","No","No","Yes","No","No","Yes","Yes","No","No","No"
"FreeArc , URL: /wiki/FreeArc
","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","Yes","No[1]","No","No","Yes","No","No","No[12]","Yes","No","Yes","No"
"GNU tar , URL: /wiki/Tar_(file_format)#Key_implementations
","No[2]","Yes","Yes[2]","Yes[2]","No[3]","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No"
"iArchiver , URL: /wiki/IArchiver
","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","Yes","Yes","Yes","No","Yes","No","No","No","Yes","No","No","No"
"Info-ZIP , URL: /wiki/Info-ZIP
","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"KGB Archiver , URL: /wiki/KGB_Archiver
","Yes","No","No","No","No","Unknown","No","No","No","No","No","No","Yes","No","No","No","No","No","No"
"PeaZip , URL: /wiki/PeaZip
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","No","Yes","Yes","No","Yes","Yes"
"PKZIP , URL: /wiki/PKZIP
","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","Yes","No","No","No","Yes","No","No","Yes","Yes","Yes","Yes","No"
"PowerArchiver , URL: /wiki/PowerArchiver
","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","Yes","Yes","No","No","Yes","No","No","Yes","Yes","No","Yes","Yes"
"Star , URL: /wiki/Tar_(file_format)#Key_implementations
","No[2]","Yes","Yes[2]","Yes[2]","Yes[2]","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No"
"StuffIt , URL: /wiki/StuffIt
","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","Yes","No","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No"
"The Unarchiver , URL: /wiki/The_Unarchiver
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Partial","Yes","Partial[11]","Yes","No","No","Yes","Yes","Yes","Yes","No"
"TUGZip , URL: /wiki/TUGZip
","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","Yes","Yes","No","No","Yes","No","No","Yes","Yes","No","Yes","No"
"WinAce , URL: /wiki/WinAce
","Yes","Yes","Yes","No","No","Unknown","Yes","Yes","Yes","No","No","Yes","No","No","Yes","No","No","Yes","No"
"WinRAR , URL: /wiki/WinRAR
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","No","No","No","Yes","No","Yes","No"
"WinZip , URL: /wiki/WinZip
","Yes","Yes","Yes","Yes","Yes","Unknown","Yes[4]","Yes","No","No","No","Yes[5]","No","No","Yes[5]","Yes","No","Yes","No"
"XAD , URL: /wiki/XAD_(software)
","Yes","Yes","Yes","Yes","No","Unknown","Yes","Yes","Partial","Yes","No","No","No","No","Yes","Yes","Yes","Yes","No"
"Xarchiver , URL: /wiki/Xarchiver
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No","Yes","No","Yes","No"
"ZipGenius , URL: /wiki/ZipGenius
","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","Yes[10]","Yes","No","No","Yes[10]","No","No","Yes","Yes","No","Yes","No"
"","ZIP , URL: /wiki/ZIP_(file_format)
","TAR , URL: /wiki/Tar_(file_format)
","GZ , URL: /wiki/Gzip#File_format
","BZ/BZ2 , URL: /wiki/Bzip2
","7z , URL: /wiki/7z_(file_format)
","XZ , URL: /wiki/XZ_Utils
","RAR , URL: /wiki/RAR_(file_format)
","LHA/LZH , URL: /wiki/LHA_(file_format)
","ACE , URL: /wiki/ACE_(compression_file_format)
","SIT , URL: /wiki/StuffIt
","SITX , URL: /wiki/StuffIt
","ARJ , URL: /wiki/ARJ
","KGB , URL: /wiki/KGB_Archiver
","DAR , URL: /wiki/DAR_(Disk_Archiver)
","ARC , URL: /wiki/ARC_(file_format)
","CAB , URL: /wiki/Cabinet_(file_format)
","ALZ , URL: /wiki/ALZip
","ISO/CD Image , URL: /wiki/ISO_image
","ZPAQ , URL: /wiki/ZPAQ
"
