"Research Networking Tool","Link to Product Page","Developer/Owner","Open Source , URL: /wiki/Open_Source
","Adopters"
"AcademicLabs","AcademicLabs , URL: https://www.AcademicLabs.com
","AcademicLabs","No","Top pharmaceutical companies, biotech companies, academics from hundreds of universities, worldwide."
"Activity Insight","Activity Insight[6]","Digital Measures[7]","No","Hundreds of major research institutions around the world"
"C-IKNOW[8][9]","C-IKNOW , URL: https://archive.today/20121214212538/http://ciknow.northwestern.edu/
","Northwestern University , URL: /wiki/Northwestern_University
","Yes","National Cancer Institute , URL: /wiki/National_Cancer_Institute
National Science Foundation , URL: /wiki/National_Science_Foundation
"
"PROFILES by Mentis (formerly Collaborative Partnership / Profile System)","PROFILES by Mentis][10]","Inknowledge, Inc , URL: http://www.inknowledge.com
University of Texas at Arlington , URL: /wiki/University_of_Texas_at_Arlington
","No (Profiles is available in a free forever plan)","UT Arlington , URL: /wiki/UT_Arlington
UT Pan American , URL: /wiki/UT_Pan_American
University of North Texas Health Science Center , URL: /wiki/University_of_North_Texas_Health_Science_Center
UT El Paso , URL: /wiki/UT_El_Paso
UT San Antonio , URL: /wiki/UT_San_Antonio
UT Tyler , URL: /wiki/UT_Tyler
UT Health Science Center , URL: /wiki/UT_Health_Science_Center
University of North Texas , URL: /wiki/University_of_North_Texas
UT Dallas , URL: /wiki/UT_Dallas
UT Health Center at Tyler , URL: /wiki/UT_Health_Center_at_Tyler
Texas Christian University , URL: /wiki/Texas_Christian_University
Gulf Coast Consortia , URL: http://profiles.gulfcoastconsortia.org/profilesystem
Rice University , URL: /wiki/Rice_University
Baylor College of Medicine , URL: /wiki/Baylor_College_of_Medicine
"
"Community Academic Profiles - CAP","Community Academic Profiles , URL: https://profiles.stanford.edu/
","Stanford University , URL: /wiki/Stanford_University
","No","Stanford University , URL: /wiki/Stanford_University
"
"Converis","Converis , URL: https://clarivate.com/products/converis/
","Clarivate Analytics , URL: /wiki/Clarivate_Analytics
","No","Several universities, governments and funders across North and South America, Europe, Middle East, North Africa, Sub Saharan Africa and Asia."
"Curvita Profile Manager","Curvita Profile Manager , URL: http://www.scimedsolutions.com/curvita-profile-manager
","SciMed Solutions","No","University of North Carolina , URL: /wiki/University_of_North_Carolina
University of Virginia , URL: /wiki/University_of_Virginia
Duke University , URL: /wiki/Duke_University
"
"CUSP - Columbia University Scientific Profiles","CUSP , URL: http://irvinginstitute.columbia.edu/cusp
","Columbia University , URL: /wiki/Columbia_University
","No","Columbia University , URL: /wiki/Columbia_University
"
"Digital Vita","DigitalVita , URL: https://web.archive.org/web/20120331104927/http://researchgateway.ctsi.pitt.edu/digitalvita/
","University of Pittsburgh , URL: /wiki/University_of_Pittsburgh
","Yes","University of Pittsburgh, Pitt Health Sciences Center"
"Dimensions","Dimensions , URL: https://www.dimensions.ai/
","Digital Science , URL: /wiki/Digital_Science
","No","case studies , URL: https://www.dimensions.ai/who/academic-institutions/
"
