"Client","Client","Play While Downloading","PowerShare , URL: https://wiki.emule-web.de/Powershare
","Dynamic Upload","SUQWT , URL: https://wiki.emule-web.de/Save_Upload_Queue_Waiting_Time
","SubChunk Transfer","Drop Sources","Push small files , URL: https://wiki.emule-web.de/Push_small_files
","ZZ ratio , URL: https://wiki.emule-web.de/ZZratio
","Leech , URL: /wiki/Leecher_(computing)
","IPFilter","Slot Control"
"aMule , URL: /wiki/AMule
","aMule , URL: /wiki/AMule
","Yes","Yes[6]","UBT","No","No","Yes","No","No","No[N 5]","Yes","Yes"
"eMule , URL: /wiki/EMule
","Official","No","No","USS","No","No","No","No","No","No","Yes","No"
"eMule , URL: /wiki/EMule
","Osp","Yes","No","USS","No","No","No","No","No","No","Yes","No"
"eMule , URL: /wiki/EMule
","AnalyZZUL","No","Yes","USS","Yes","No","No","No","fixed 1:3 Ratio","Client Analyzer","Yes","ZZ Slot Focus"
"eMule , URL: /wiki/EMule
","beba","No","Release Priority","USS","Yes","No","Yes","No","No","Client Analyzer","Yes","Slot Focus, Upload Slot Control"
"eMule , URL: /wiki/EMule
","Magic Angel","No","Yes","SUC, USS","Yes","No","No","Yes","Yes","ARGOS","Yes","SlotFocus, trickleSlots"
"eMule , URL: /wiki/EMule
","Mephisto","No","PS & PowerRelease","NAFC","Yes","No","Yes","Yes","optional: 1:3 ratio or source limits or enforced with chooseable ratio or dynamic by friendslot","DLP","Yes","Slotfocus"
"eMule , URL: /wiki/EMule
","MorphXT","No","PowerShare & Release Priority","SUC, USS","Yes","No","No","Yes","optional: dynamic 1:3 Ratio","Stringlist, Stricter protocol checks","Yes","SlotFocus, trickleSlots"
"eMule , URL: /wiki/EMule
","NeoMule","No","PowerShare & Release Priority","USS, NAFC, NeoBC [N 6]","Yes","Yes","Yes (including IpBlock)","custom","optional 1:4 Ratio","ARGOS (including DLP support)","Yes","SlotFocus, trickleSlots, Badwolf, manuel"
"eMule , URL: /wiki/EMule
","ScarAngel","No","PS & PowerRelease","NAFC","Yes","No","Yes","Yes","optional: 1:3 ratio or source limits or enforced with chooseable ratio","DLP","Yes","Xtreme Upload System"
"eMule , URL: /wiki/EMule
","SharkX","No","Power Release","No","Yes","No","Yes","Only incomplete","taz dynamic ratio","Client Analyzer","Yes","Slot Focus"
"eMule , URL: /wiki/EMule
","Sivka","No","Release priority","USS","No","No","Yes (incl. List)","Yes","No","No","Yes","Yes"
"eMule , URL: /wiki/EMule
","Spike2","No","Yes","USS","No","No","Yes (incl. List)","No","No","Stringlist + Client Analyzer","Yes","Slotfocus, Min/Max. Slots"
"eMule , URL: /wiki/EMule
","StulleMule","No","Yes","SUC, USS","Yes","No","Yes (incl. List)","Yes","dynamic 1:3 Ratio or enforced choosable ratio","DLP methods","Yes","USC, Slotfocus"
"eMule , URL: /wiki/EMule
","Xtreme , URL: /wiki/Xtreme_Mod
","No","PowerRelease","NAFC","No","No","Yes","Yes","optional: 1:3 ratio or source limits","DLP","Yes","Xtreme Upload System"
"eMule , URL: /wiki/EMule
","X-Ray","No","Yes","USS","Yes","No","List+Variable Blocktime","No","No","Argos (with own DLP)","Yes","Slotspeed"
"eMule , URL: /wiki/EMule
","ZZUL","No","Yes","USS","No","No","No","No","fixed 1:3 Ratio","No","Yes","SlotFocus"
"eMule , URL: /wiki/EMule
","ZZUL BastarD","No","PowerShare, SuperRelease","USS","Yes","No","No","Yes","fixed 1:3 Ratio","Stringlist + Client Analyzer for Armadillo","Yes","SlotFocus"
"eMule Plus , URL: /wiki/EMule_Plus
","eMule Plus , URL: /wiki/EMule_Plus
","No","Release priority, JumpStart","No","No","No","No","Yes","1:3 < 4KB/s, 1:4 < 10KB/s","Yes","Yes","trickleSlots"
"Lphant , URL: /wiki/Lphant
","Lphant , URL: /wiki/Lphant
","No","?","No","?","Basic Support for Crumbs","?","?","No","No","Yes","?"
"MLDonkey , URL: /wiki/MLDonkey
","MLDonkey , URL: /wiki/MLDonkey
","No","Folder reserved slot + release file slot","Yes","No (No queue)","No","Uses a very low priority list instead","Similar Feature","About 1:4 below 10KB/s","No","Yes","Yes (user selects number of slots)"
"Shareaza , URL: /wiki/Shareaza
","Shareaza , URL: /wiki/Shareaza
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Reward uploaders","Yes","Yes"
"xMule , URL: /wiki/XMule
","xMule , URL: /wiki/XMule
","No","No","No","No","No","No","No","No","No","Yes","No"
"Client","Client","Play While Downloading","PowerShare , URL: https://wiki.emule-web.de/Powershare
","Dynamic Upload","SUQWT , URL: https://wiki.emule-web.de/Save_Upload_Queue_Waiting_Time
","SubChunk Transfer","Drop Sources","Push small files , URL: https://wiki.emule-web.de/Push_small_files
","ZZ ratio , URL: https://wiki.emule-web.de/ZZratio
","Leech , URL: /wiki/Leech_(computing)
","IPFilter","Slot Control"
