"v t e Mobile phones","v t e Mobile phones","v t e Mobile phones"
"Mobile networks , URL: /wiki/Cellular_network
","Channel capacity Frequencies Multi-band Network operator list Roaming Signal SIM card dual SIM SIM lock Standards comparison Tethering VoIP WAP XHTML-MP","Channel capacity Frequencies Multi-band Network operator list Roaming Signal SIM card dual SIM SIM lock Standards comparison Tethering VoIP WAP XHTML-MP"
"Mobile networks , URL: /wiki/Cellular_network
","Generations , URL: /wiki/List_of_mobile_phone_generations
","Analogue: 0G 1G Digital: 2G 3G adoption 3.5G 4G 4.5G 5G 6G"
"General operation","Features GSM services History Operating system Security phone cloning Telephony airplane mode Text messaging SMS MMS RCS Spam Tracking Web browsing","Features GSM services History Operating system Security phone cloning Telephony airplane mode Text messaging SMS MMS RCS Spam Tracking Web browsing"
"Mobile devices , URL: /wiki/Mobile_device
","Manufacturers 3D phone Camera phone Car phone Feature phone Projector phone Satellite phone Smartphone","Manufacturers 3D phone Camera phone Car phone Feature phone Projector phone Satellite phone Smartphone"
"Mobile devices , URL: /wiki/Mobile_device
","Form factors , URL: /wiki/Form_factor_(mobile_phones)
","Bar Flip Phablet Slider Smartwatch Fold"
"Mobile devices , URL: /wiki/Mobile_device
","Smartphones , URL: /wiki/Comparison_of_smartphones
","Android devices rooting BlackBerry 10 iPhone iOS jailbreaking Open-source mobile phones Symbian devices Windows Phone devices"
"software , URL: /wiki/Software
","Apps , URL: /wiki/Mobile_app
","Development Distribution Management Cloud computing"
"software , URL: /wiki/Software
","Commerce , URL: /wiki/Mobile_commerce
","Banking Marketing advertising campaigns Payments contactless donating Ticketing"
"software , URL: /wiki/Software
","Content , URL: /wiki/Mobile_content
","Blogging Email Gambling Gaming Health Instant messaging Learning Music News Search local Social address book Television"
"Culture , URL: /wiki/Category:Mobile_phone_culture
","Box breaking Charms Comics Dating Japanese culture Novels Ringtones silent mode Selfie Txt-spk Wallpaper","Box breaking Charms Comics Dating Japanese culture Novels Ringtones silent mode Selfie Txt-spk Wallpaper"
"Environment and health","BlackBerry thumb Driving safety Electronic waste External power supply Mental health from overuse Phantom vibration syndrome Radiation and health Recycling","BlackBerry thumb Driving safety Electronic waste External power supply Mental health from overuse Phantom vibration syndrome Radiation and health Recycling"
"Law , URL: /wiki/Law
","Carrier IQ Legality of recording by civilians Mobile phones in prison Photography and the law Telephone tapping Texting while driving USA use restrictions while driving","Carrier IQ Legality of recording by civilians Mobile phones in prison Photography and the law Telephone tapping Texting while driving USA use restrictions while driving"
"Telecommunication portal Telephones portal Category","Telecommunication portal Telephones portal Category","Telecommunication portal Telephones portal Category"
