"","ReWire , URL: /wiki/ReWire
","JACK , URL: /wiki/JACK_Audio_Connection_Kit
","VST , URL: /wiki/Virtual_Studio_Technology
","VST3 , URL: /wiki/Virtual_Studio_Technology
","LADSPA , URL: /wiki/LADSPA
","LV2 , URL: /wiki/LV2
","DSSI , URL: /wiki/Disposable_Soft_Synth_Interface
","RTAS , URL: /wiki/Real_Time_AudioSuite
","AU , URL: /wiki/Audio_Units
","DXi , URL: /wiki/DirectX_plugin
","MAS , URL: /wiki/Motu_Audio_System
"
"ACID Pro , URL: /wiki/ACID_Pro
","Yes","No","Yes","Yes","No","No","No","No","No","Yes","No"
"Acoustica , URL: /wiki/Acoustica_(software)
","No","No","Yes","Yes","No","No","No","No","Yes","No","No"
"Ardour , URL: /wiki/Ardour_(audio_processor)
","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","No"
"Audacity , URL: /wiki/Audacity_(audio_editor)
","No","Yes","Yes","No","Yes","Yes","No","No","Only on OS X[3]","No","No"
"AudioDesk , URL: /wiki/AudioDesk
","Returns only","No","Via converter","No","No","No","No","No","Yes","No","Yes"
"Audiotool , URL: /wiki/Audiotool
","No","No","No","No","No","No","No","No","No","No","No"
"Audition , URL: /wiki/Adobe_Audition
","Partial (Pre CS5.5 - Yes, CS5.5 - No)","Yes","Yes","Yes","No","No","No","No","Yes","Partial (Pre CS5.5 - Yes, CS5.5 - No)","No"
"BIAS Peak , URL: /wiki/BIAS_Peak
","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"Bitwig Studio , URL: /wiki/Bitwig_Studio
","No","Yes","Yes","Yes","No","No","No","No","No","No","No"
"Cakewalk by BandLab , URL: /wiki/Cakewalk_by_BandLab
","Yes","No","Yes","Yes","No","No","No","No","No","Yes","No"
"Cubase , URL: /wiki/Steinberg_Cubase
","Yes","No","Yes","Yes","No","No","No","No","No","Terminated (SX3.1)","No"
"Diamond Cut ART , URL: /wiki/Diamond_Cut_Audio_Restoration_Tools
","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"Digital Performer , URL: /wiki/Digital_Performer
","Yes","No","Yes","Yes","No","No","No","Yes (with Digi TDM or HD hardware via DAE)","Yes","No","Yes"
"Ecasound , URL: /wiki/Ecasound
","No","Yes","No","No","Yes","No","No","No","No","No","No"
"FL Studio , URL: /wiki/FL_Studio
","Yes","No","Yes","Yes","No","No","No","No","Yes","Yes","No"
"GarageBand , URL: /wiki/GarageBand
","Yes","No","No","No","No","No","No","No","Yes","No","No"
"Goldwave , URL: /wiki/Goldwave
","No","No","Beta","Unknown","No","No","No","No","No","Yes","No"
"","ReWire , URL: /wiki/ReWire
","JACK , URL: /wiki/JACK_Audio_Connection_Kit
","VST , URL: /wiki/Virtual_Studio_Technology
","VST3 , URL: /wiki/Virtual_Studio_Technology
","LADSPA , URL: /wiki/LADSPA
","LV2 , URL: /wiki/LV2
","DSSI , URL: /wiki/Disposable_Soft_Synth_Interface
","RTAS , URL: /wiki/Real_Time_AudioSuite
","AU , URL: /wiki/Audio_Units
","DXi , URL: /wiki/DirectX_plugin
","MAS , URL: /wiki/Motu_Audio_System
"
"Harrison Mixbus , URL: /wiki/Harrison_Mixbus
","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","No"
"Jokosher , URL: /wiki/Jokosher
","No","No","No","Unknown","Yes","No","No","No","No","No","No"
"Kristal , URL: /wiki/KRISTAL_Audio_Engine
","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"Live , URL: /wiki/Ableton_Live
","Yes","No","Yes","Yes (Live 10.1 and newer)","No","No","No","No","Yes","No","No"
"LMMS , URL: /wiki/LMMS
","No","Yes","Yes","Unknown","Yes","No","No","No","No","No","No"
"Logic Express , URL: /wiki/Logic_Express
Studio , URL: /wiki/Logic_Pro
","Yes","No","No","No","No","No","No","No","Yes","No","No"
"Mixcraft , URL: /wiki/Mixcraft
","Yes","No","Yes","Yes","No","No","No","No","No","DirectX effects only","No"
"mp3DirectCut , URL: /wiki/Mp3DirectCut
","No","No","No","No","No","No","No","No","No","No","No"
"MuLab , URL: /wiki/MuLab_(MuTools)
","Yes","Unknown","Yes","No","No","No","No","No","No","No","No"
"MusE , URL: /wiki/MusE
","No","Yes","Yes","Unknown","Yes","Yes","Yes","No","No","No","No"
"n-Track , URL: /wiki/N-track
","Yes","No","Yes","Yes","No","No","No","No","Yes","Yes","No"
"Nuendo , URL: /wiki/Nuendo
","Yes","No","Yes","Yes","No","No","No","No","No","No","No"
"NU-Tech , URL: /wiki/NU-Tech
","No","No","Yes","Unknown","No","No","No","No","No","No","No"
"Podium , URL: /wiki/Zynewave_Podium
","Yes","No","Yes","No","No","No","No","No","No","No","No"
"Pro Tools , URL: /wiki/Pro_Tools
","Yes","No","No","No","No","No","No","Before version 11","No","No","No"
"Qtractor , URL: /wiki/Qtractor
","No","Yes","Yes","Unknown","Yes","Yes","Yes","No","Yes","No","No"
"","ReWire , URL: /wiki/ReWire
","JACK , URL: /wiki/JACK_Audio_Connection_Kit
","VST , URL: /wiki/Virtual_Studio_Technology
","VST3 , URL: /wiki/Virtual_Studio_Technology
","LADSPA , URL: /wiki/LADSPA
","LV2 , URL: /wiki/LV2
","DSSI , URL: /wiki/Disposable_Soft_Synth_Interface
","RTAS , URL: /wiki/Real_Time_AudioSuite
","AU , URL: /wiki/Audio_Units
","DXi , URL: /wiki/DirectX_plugin
","MAS , URL: /wiki/Motu_Audio_System
"
"REAPER , URL: /wiki/REAPER
","Yes","No","Yes","Yes","No","Yes","No","No","Yes","Yes","No"
"Reason , URL: /wiki/Reason_(software)
","Yes","No","Yes","No","No","No","No","No","No","No","No"
"Record , URL: /wiki/Record_(software)
","Yes","No","No","No","No","No","No","No","No","No","No"
"Renoise , URL: /wiki/Renoise
","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","No","No"
"RiffWorks , URL: /wiki/RiffWorks
","Yes","No","Yes","Unknown","No","No","No","No","Yes","No","No"
"Rosegarden , URL: /wiki/Rosegarden
","No","Yes","No","No","Yes","No","Yes","No","No","No","No"
"Samplitude , URL: /wiki/Samplitude
","Yes","No","Yes","Yes","No","No","No","No","No","Yes","No"
"Sound Forge , URL: /wiki/Sound_Forge
","No","No","Yes","Unknown","No","No","No","No","Yes","Yes","No"
"Soundbooth , URL: /wiki/Soundbooth
","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"Soundscape 32 , URL: /wiki/Soundscape_32
","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SoX , URL: /wiki/SoX
","No","No","No","No","Yes","No","No","No","No","No","No"
"SpectraLayers , URL: /wiki/SpectraLayers
","No","No","Yes","Unknown","No","No","No","No","No","No","No"
"Studio One , URL: /wiki/Studio_One_(software)
","Yes","No","Yes","Yes","No","No","No","No","Yes","No","No"
"Sweep , URL: /wiki/Sweep_(software)
","No","No","No","No","Yes","No","No","No","No","No","No"
"Total Recorder , URL: /wiki/Total_Recorder
","No","No","No","No","No","No","No","No","No","No","No"
"Waveform , URL: /wiki/Tracktion
","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","No","No"
"Traverso , URL: /wiki/Traverso_DAW
","No","Yes","No","Unknown","No","Yes","No","No","No","No","No"
"WaveLab , URL: /wiki/WaveLab
","No","No","Yes","Yes","No","No","No","No","No","No","No"
"WavePad , URL: /wiki/WavePad_Audio_Editor_Software
","No","No","Yes","No","No","No","No","No","No","Yes","No"
"WaveSurfer , URL: /wiki/WaveSurfer
","No","No","No","No","No","No","No","No","No","No","No"
"","ReWire , URL: /wiki/ReWire
","JACK , URL: /wiki/JACK_Audio_Connection_Kit
","VST , URL: /wiki/Virtual_Studio_Technology
","VST3 , URL: /wiki/Virtual_Studio_Technology
","LADSPA , URL: /wiki/LADSPA
","LV2 , URL: /wiki/LV2
","DSSI , URL: /wiki/Disposable_Soft_Synth_Interface
","RTAS , URL: /wiki/Real_Time_AudioSuite
","AU , URL: /wiki/Audio_Units
","DXi , URL: /wiki/DirectX_plugin
","MAS , URL: /wiki/Motu_Audio_System
"
