"Name","Parsing , URL: /wiki/Parsing
","Output languages , URL: /wiki/Programming_language
","Grammar, code","Development platform","License , URL: /wiki/Software_license
"
"AustenX","Packrat (modified)","Java , URL: /wiki/Java_(programming_language)
","Separate","All","BSD , URL: /wiki/BSD_licenses
"
"Aurochs","Packrat","C , URL: /wiki/C_(programming_language)
OCaml , URL: /wiki/OCaml
Java , URL: /wiki/Java_(programming_language)
","Mixed","All","GNU GPL , URL: /wiki/GNU_General_Public_License
"
"BNFlite","Recursive descent","C++ , URL: /wiki/C%2B%2B
","Mixed","All","MIT , URL: /wiki/MIT_License
"
"Canopy","Packrat","Java , URL: /wiki/Java_(programming_language)
JavaScript , URL: /wiki/JavaScript
Python , URL: /wiki/Python_(programming_language)
Ruby , URL: /wiki/Ruby_(programming_language)
","Separate","All","GNU GPL , URL: /wiki/GNU_General_Public_License
"
"CL-peg","Packrat","Common Lisp , URL: /wiki/Common_Lisp
","Mixed","All","MIT , URL: /wiki/MIT_License
"
"Drat!","Packrat","D , URL: /wiki/D_(programming_language)
","Mixed","All","GNU GPL , URL: /wiki/GNU_General_Public_License
"
"Frisby","Packrat","Haskell , URL: /wiki/Haskell_(programming_language)
","Mixed","All","BSD , URL: /wiki/BSD_licenses
"
"grammar::peg , URL: /wiki/Tcllib
","Packrat","Tcl , URL: /wiki/Tcl
","Mixed","All","BSD , URL: /wiki/BSD_licenses
"
"Grako","Packrat + Cut + Left Recursion","Python , URL: /wiki/Python_(programming_language)
C++ , URL: /wiki/C%2B%2B
","Separate","All","BSD , URL: /wiki/BSD_licenses
"
"IronMeta","Packrat","C# , URL: /wiki/C_Sharp_(programming_language)
","Mixed","Windows , URL: /wiki/Microsoft_Windows
","BSD , URL: /wiki/BSD_licenses
"
"Laja","backtracking , URL: /wiki/Backtracking
","Java , URL: /wiki/Java_(programming_language)
","Separate","All","GNU GPL , URL: /wiki/GNU_General_Public_License
"
"lars::Parser","Packrat (supporting left-recursion and grammar ambiguity)","C++ , URL: /wiki/C%2B%2B
","Identical","All","BSD , URL: /wiki/BSD_licenses
"
"LPeg","Parsing machine","Lua , URL: /wiki/Lua_(programming_language)
","Mixed","All","MIT , URL: /wiki/MIT_License
"
"lug","Parsing machine","C++17 , URL: /wiki/C%2B%2B17
","Mixed","All","MIT , URL: /wiki/MIT_License
"
"Mouse","Recursive descent","Java , URL: /wiki/Java_(programming_language)
","Separate","Java virtual machine , URL: /wiki/Java_virtual_machine
","Apache , URL: /wiki/Apache_License
"
"Narwhal","Packrat","C , URL: /wiki/C_(programming_language)
","Mixed","POSIX , URL: /wiki/POSIX
Windows , URL: /wiki/Microsoft_Windows
","BSD , URL: /wiki/BSD_licenses
"
"Nearley","Earley , URL: /wiki/Earley_parser
","JavaScript , URL: /wiki/JavaScript
","Mixed","All","MIT , URL: /wiki/MIT_License
"
"Nemerle.Peg","Recursive descent + Pratt","Nemerle , URL: /wiki/Nemerle
","Separate","All","BSD , URL: /wiki/BSD_licenses
"
