"Language","Language","Apertium , URL: /wiki/Apertium
","OpenLogos , URL: /wiki/OpenLogos
","Moses , URL: /wiki/Moses_(machine_translation)
","GramTrans , URL: /wiki/GramTrans
","SYSTRAN , URL: /wiki/SYSTRAN
","IdiomaX , URL: /wiki/IdiomaX
"
"English , URL: /wiki/English_language
","Arabic , URL: /wiki/Arabic
","No","No","No","No","Yes","No"
"English , URL: /wiki/English_language
","Catalan , URL: /wiki/Catalan_language
","Yes","No","Yes","No","No","No"
"English , URL: /wiki/English_language
","Chinese , URL: /wiki/Chinese_language
Simplified , URL: /wiki/Simplified_Chinese_characters
","No","No","No","No","Yes","No"
"English , URL: /wiki/English_language
","Chinese , URL: /wiki/Chinese_language
Traditional , URL: /wiki/Traditional_Chinese_characters
","No","No","No","No","Yes","No"
"English , URL: /wiki/English_language
","Czech , URL: /wiki/Czech_language
","No","No","Yes","No","Yes","No"
"English , URL: /wiki/English_language
","Danish , URL: /wiki/Danish_language
","No","No","Yes","Yes","Yes","No"
"English , URL: /wiki/English_language
","Dutch , URL: /wiki/Dutch_language
","No","No","Yes","No","Yes","No"
"English , URL: /wiki/English_language
","Esperanto , URL: /wiki/Esperanto
","Yes","No","Yes","No","No","No"
"English , URL: /wiki/English_language
","Estonian , URL: /wiki/Estonian_language
","No","No","Yes","No","Yes","No"
"English , URL: /wiki/English_language
","Finnish , URL: /wiki/Finnish_language
","No","No","Yes","No","Yes","No"
"English , URL: /wiki/English_language
","French , URL: /wiki/French_language
","No","No","Yes","No","Yes","Yes"
"English , URL: /wiki/English_language
","Galician , URL: /wiki/Galician_language
","Yes","No","Yes","No","No","No"
"English , URL: /wiki/English_language
","German , URL: /wiki/German_language
","No","Yes","Yes","No","Yes","No"
"English , URL: /wiki/English_language
","Greek , URL: /wiki/Greek_language
","No","No","Yes","No","Yes","No"
"English , URL: /wiki/English_language
","Hindi , URL: /wiki/Hindi
","No","No","No","No","Yes","No"
"English , URL: /wiki/English_language
","Hungarian , URL: /wiki/Hungarian_language
","No","No","Yes","No","Yes","No"
"English , URL: /wiki/English_language
","Irish , URL: /wiki/Irish_language
","No","No","Yes","No","No","No"
"English , URL: /wiki/English_language
","Italian , URL: /wiki/Italian_language
","No","No","Yes","No","Yes","Yes"
"English , URL: /wiki/English_language
","Japanese , URL: /wiki/Japanese_language
","No","No","No","No","Yes","No"
"English , URL: /wiki/English_language
","Korean , URL: /wiki/Korean_language
","No","No","No","No","Yes","No"
"English , URL: /wiki/English_language
","Latvian , URL: /wiki/Latvian_language
","No","No","Yes","No","Yes","No"
"English , URL: /wiki/English_language
","Lithuanian , URL: /wiki/Lithuanian_language
","No","Yes","No","Yes","No","No"
"English , URL: /wiki/English_language
","Macedonian , URL: /wiki/Macedonian_language
","Yes","No","Yes","No","No","No"
"English , URL: /wiki/English_language
","Maltese , URL: /wiki/Maltese_language
","No","No","Yes","No","No","No"
"English , URL: /wiki/English_language
","Norwegian , URL: /wiki/Norwegian_language
","No","No","Yes","Yes","Yes","No"
"English , URL: /wiki/English_language
","Persian , URL: /wiki/Persian_language
","No","No","No","No","Yes","No"
"English , URL: /wiki/English_language
","Polish , URL: /wiki/Polish_language
","No","No","Yes","No","Yes","No"
"English , URL: /wiki/English_language
","Portuguese , URL: /wiki/Portuguese_language
","No","No","Yes","Yes","Yes","No"
"English , URL: /wiki/English_language
","Romanian , URL: /wiki/Romanian_language
","No","No","Yes","No","Yes","No"
"English , URL: /wiki/English_language
","Russian , URL: /wiki/Russian_language
","No","Yes","Yes","Yes","Yes","Yes"
"English , URL: /wiki/English_language
","Serbo-Croatian , URL: /wiki/Serbo-Croatian
","Yes","No","Yes","No","No","No"
"English , URL: /wiki/English_language
","Slovak , URL: /wiki/Slovak_language
","No","No","Yes","No","Yes","No"
"English , URL: /wiki/English_language
","Slovene , URL: /wiki/Slovene_language
","No","No","Yes","No","Yes","No"
"English , URL: /wiki/English_language
","Spanish , URL: /wiki/Spanish_language
","Yes","No","Yes","No","Yes","Yes"
"English , URL: /wiki/English_language
","Swedish , URL: /wiki/Swedish_language
","No","No","Yes","Yes","Yes","No"
"English , URL: /wiki/English_language
","Turkish , URL: /wiki/Turkish_language
","No","No","No","No","Yes","No"
"English , URL: /wiki/English_language
","Ukrainian , URL: /wiki/Ukrainian_language
","No","No","Yes","No","Yes","No"
"English , URL: /wiki/English_language
","Welsh , URL: /wiki/Welsh_language
","Yes","No","Yes","No","No","No"
"Language","Language","Apertium , URL: /wiki/Apertium
","OpenLogos , URL: /wiki/OpenLogos
","Moses , URL: /wiki/Moses_(machine_translation)
","GramTrans , URL: /wiki/GramTrans
","SYSTRAN , URL: /wiki/SYSTRAN
","IdiomaX , URL: /wiki/IdiomaX
"
"Chinese , URL: /wiki/Chinese_language
Simplified , URL: /wiki/Simplified_Chinese_characters
","English to Chinese (Simplified)","No","No","No","Yes","Yes","No"
"Chinese , URL: /wiki/Chinese_language
Traditional , URL: /wiki/Traditional_Chinese_characters
","English to Chinese (Traditional)","No","No","No","No","Yes","No"
