"Distribution","x86 , URL: /wiki/X86
","x86-64 , URL: /wiki/X86-64
","arm , URL: /wiki/ARM_architecture
","ia64 , URL: /wiki/Itanium
","ppc , URL: /wiki/PowerPC
","ppc64 , URL: /wiki/Ppc64
","sparc32 , URL: /wiki/SPARC
","sparc64 , URL: /wiki/SPARC
","hppa , URL: /wiki/PA-RISC
","loongson , URL: /wiki/Loongson#Linux
","mips , URL: /wiki/MIPS_architecture
","sh , URL: /wiki/SuperH
","s390 , URL: /wiki/IBM_ESA/390
","s390x , URL: /wiki/Z/Architecture
","alpha , URL: /wiki/DEC_Alpha
","m68k , URL: /wiki/Motorola_68000_family
","riscv , URL: /wiki/RISC-V
"
"Alpine Linux , URL: /wiki/Alpine_Linux
","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No"
"Arch Linux , URL: /wiki/Arch_Linux
","Unofficial[124] Official discontinued 2017-11-08[125]","Yes","Unofficial[126]","No","Discontinued unofficial port","No","No","No","No","Discontinued. Unofficial port[127]","No","No","No","No","No","No","Unofficial[128]"
"BackTrack , URL: /wiki/BackTrack
","Discontinued from BackTrack 5 and superseded by Kali Linux[129]","Discontinued from BackTrack 5 and superseded by Kali Linux","Discontinued from BackTrack 5 and superseded by Kali Linux","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"BLAG , URL: /wiki/BLAG_Linux_and_GNU
","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Bodhi Linux , URL: /wiki/Bodhi_Linux
","Yes","Yes","Discontinued 2013-10-23[130]","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"BOSS Linux , URL: /wiki/BOSS_Linux
","Yes","Yes","?","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No"
"CentOS , URL: /wiki/CentOS
","AltArch","Yes","AltArch","Discontinued 3.5-3.8 4.1-4.7[131]","Beta, Discontinued 4.0","AltArch","Beta 4.2[131][132]","No","No","No","No","No","Discontinued 3.5-3.8 4.1-4.7[131][133]","Discontinued 3.5-3.8 4.1-4.7[131][133]","Discontinued 4.2-4.3[131][134][135]","No","No"
"Chakra , URL: /wiki/Chakra_(operating_system)
","No","Yes","?","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Clear Linux OS , URL: /wiki/Clear_Linux_OS
","?","Yes","?","?","No","No","No","No","No","No","No","No","No","No","No","No","No"
"CRUX , URL: /wiki/CRUX
","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
