"Format","Languages"
"string1 ne string2, or string1 NE string2","ALGOL 68 , URL: /wiki/ALGOL_68
"
"string1 /= string2","ALGOL 68 , URL: /wiki/ALGOL_68
Ada , URL: /wiki/Ada_(programming_language)
Erlang , URL: /wiki/Erlang_(programming_language)
Fortran , URL: /wiki/Fortran
Haskell , URL: /wiki/Haskell_(programming_language)
"
"string1 <> string2","BASIC , URL: /wiki/BASIC
VB , URL: /wiki/Visual_Basic_(classic)
VB .NET , URL: /wiki/Visual_Basic_.NET
Pascal , URL: /wiki/Pascal_(programming_language)
Object Pascal , URL: /wiki/Object_Pascal
Delphi , URL: /wiki/Delphi_(programming_language)
OCaml , URL: /wiki/OCaml
PHP , URL: /wiki/PHP
Seed7 , URL: /wiki/Seed7
Standard ML , URL: /wiki/Standard_ML
F# , URL: /wiki/F_Sharp_(programming_language)
COBOL , URL: /wiki/COBOL
Cobra , URL: /wiki/Cobra_(programming_language)
Python 2 , URL: /wiki/Python_2
"
"string1 # string2","BASIC , URL: /wiki/BASIC
"
"string1 ne string2","Perl , URL: /wiki/Perl
Raku , URL: /wiki/Raku_(programming_language)
"
"(string<> string1 string2)","Scheme , URL: /wiki/Scheme_(programming_language)
"
"(string/= string1 string2)","Common Lisp , URL: /wiki/Common_Lisp
"
"(string/= string1 string2)","ISLISP , URL: /wiki/ISLISP
"
"(not= string1 string2)","Clojure , URL: /wiki/Clojure
"
"string1 != string2","C++ , URL: /wiki/C%2B%2B
C# , URL: /wiki/C_Sharp_(programming_language)
Go , URL: /wiki/Go_(programming_language)
JavaScript , URL: /wiki/JavaScript
PHP , URL: /wiki/PHP
Python , URL: /wiki/Python_(programming_language)
Ruby , URL: /wiki/Ruby_(programming_language)
Rust , URL: /wiki/Rust_(programming_language)
Swift , URL: /wiki/Swift_(programming_language)
D , URL: /wiki/D_(programming_language)
Mathematica , URL: /wiki/Mathematica
"
"string1 !== string2","JavaScript , URL: /wiki/JavaScript
PHP , URL: /wiki/PHP
"
"string1 \= string2","Rexx , URL: /wiki/Rexx
"
"string1 ¬= string2","PL/I , URL: /wiki/PL/I
"
"test string1 != string2, or [ string1 != string2 ]","Bourne Shell , URL: /wiki/Bourne_Shell
"
"string1 -ne string2, or -not [string]::Equals(string1, string2)","Windows PowerShell , URL: /wiki/Windows_PowerShell
"
"string1 ~= string2","Lua , URL: /wiki/Lua_(programming_language)
Smalltalk , URL: /wiki/Smalltalk
"
"string1 ≢ string2","APL , URL: /wiki/APL_(programming_language)
"
"string1.ne(string2)","Rust , URL: /wiki/Rust_(programming_language)
"
