"v t e (← 2004) 2008 United States presidential election (2012 →)","v t e (← 2004) 2008 United States presidential election (2012 →)","v t e (← 2004) 2008 United States presidential election (2012 →)","v t e (← 2004) 2008 United States presidential election (2012 →)"
"2008 United States elections Candidates Comparison Debates Congressional endorsements Fundraising Ballot access Timeline Super Tuesday Potomac primary Super Tuesday II Polls national statewide international International reaction","2008 United States elections Candidates Comparison Debates Congressional endorsements Fundraising Ballot access Timeline Super Tuesday Potomac primary Super Tuesday II Polls national statewide international International reaction","2008 United States elections Candidates Comparison Debates Congressional endorsements Fundraising Ballot access Timeline Super Tuesday Potomac primary Super Tuesday II Polls national statewide international International reaction","2008 United States elections Candidates Comparison Debates Congressional endorsements Fundraising Ballot access Timeline Super Tuesday Potomac primary Super Tuesday II Polls national statewide international International reaction"
"Democratic Party , URL: /wiki/Democratic_Party_(United_States)
WFP , URL: /wiki/Working_Families_Party
","Democratic Party , URL: /wiki/Democratic_Party_(United_States)
WFP , URL: /wiki/Working_Families_Party
","Convention superdelegates Polls statewide national Debates Primaries Primary results VP candidate selection","Convention superdelegates Polls statewide national Debates Primaries Primary results VP candidate selection"
"Democratic Party , URL: /wiki/Democratic_Party_(United_States)
WFP , URL: /wiki/Working_Families_Party
","Democratic Party , URL: /wiki/Democratic_Party_(United_States)
WFP , URL: /wiki/Working_Families_Party
","Candidates , URL: /wiki/2008_Democratic_Party_presidential_candidates
","Nominee: Barack Obama campaign positions endorsements cross-party VP nominee: Joe Biden positions Other candidates: Evan Bayh campaign Joe Biden campaign positions Hillary Clinton campaign positions endorsements Chris Dodd campaign John Edwards campaign positions Mike Gravel campaign Dennis Kucinich campaign Bill Richardson campaign Tom Vilsack campaign"
"Republican Party , URL: /wiki/Republican_Party_(United_States)
CPNY , URL: /wiki/Conservative_Party_of_New_York_State
IPNY , URL: /wiki/Independence_Party_of_New_York
","Republican Party , URL: /wiki/Republican_Party_(United_States)
CPNY , URL: /wiki/Conservative_Party_of_New_York_State
IPNY , URL: /wiki/Independence_Party_of_New_York
","Convention Polls statewide national Debates Political positions Primaries Primary results VP candidate selection","Convention Polls statewide national Debates Political positions Primaries Primary results VP candidate selection"
"Republican Party , URL: /wiki/Republican_Party_(United_States)
CPNY , URL: /wiki/Conservative_Party_of_New_York_State
IPNY , URL: /wiki/Independence_Party_of_New_York
","Republican Party , URL: /wiki/Republican_Party_(United_States)
CPNY , URL: /wiki/Conservative_Party_of_New_York_State
IPNY , URL: /wiki/Independence_Party_of_New_York
","Candidates","Nominee: John McCain campaign positions endorsements cross-party VP nominee: Sarah Palin candidacy positions Other candidates: Sam Brownback campaign John H. Cox Jim Gilmore campaign Rudy Giuliani campaign positions Mike Huckabee campaign positions Duncan L. Hunter campaign Alan Keyes campaign Ray McKinney Ron Paul campaign positions Mitt Romney campaign positions Tom Tancredo campaign Fred Thompson campaign Tommy Thompson campaign"
"Draft movements , URL: /wiki/Draft_(politics)
","Draft movements , URL: /wiki/Draft_(politics)
","Democratic: Al Gore Mark Warner movement Republican: Newt Gingrich Condoleezza Rice movement Independent: Michael Bloomberg movement","Democratic: Al Gore Mark Warner movement Republican: Newt Gingrich Condoleezza Rice movement Independent: Michael Bloomberg movement"
"Third party and independent candidates","Third party and independent candidates","Third party and independent candidates","Third party and independent candidates"
"convention , URL: /wiki/Constitution_Party_National_Convention
","Nominee: Chuck Baldwin campaign VP nominee: Darrell Castle Other candidates: Daniel Imperato Alan Keyes campaign","convention , URL: /wiki/Constitution_Party_National_Convention
","Nominee: Chuck Baldwin campaign VP nominee: Darrell Castle Other candidates: Daniel Imperato Alan Keyes campaign"
"convention , URL: /wiki/2008_Green_National_Convention
","Nominee: Cynthia McKinney campaign positions VP nominee: Rosa Clemente Other candidates: Elaine Brown Jesse Johnson Kent Mesplay Kat Swift","convention , URL: /wiki/2008_Green_National_Convention
","Nominee: Cynthia McKinney campaign positions VP nominee: Rosa Clemente Other candidates: Elaine Brown Jesse Johnson Kent Mesplay Kat Swift"
"convention , URL: /wiki/2008_Libertarian_National_Convention
","Nominee: Bob Barr campaign positions VP nominee: Wayne Allyn Root Other candidates: Mike Gravel campaign Daniel Imperato Steve Kubby Wayne Allyn Root Mary Ruwart Doug Stanhope","convention , URL: /wiki/2008_Libertarian_National_Convention
","Nominee: Bob Barr campaign positions VP nominee: Wayne Allyn Root Other candidates: Mike Gravel campaign Daniel Imperato Steve Kubby Wayne Allyn Root Mary Ruwart Doug Stanhope"
"America's Independent Party","Nominee: Alan Keyes campaign VP nominee: Brian Rohrbough","America's Independent Party","Nominee: Alan Keyes campaign VP nominee: Brian Rohrbough"
"Boston Tea Party , URL: /wiki/Boston_Tea_Party_(political_party)
","Nominee: Charles Jay","Boston Tea Party , URL: /wiki/Boston_Tea_Party_(political_party)
","Nominee: Charles Jay"
"Objectivist Party , URL: /wiki/Objectivist_Party
","Nominee: Tom Stevens","Objectivist Party , URL: /wiki/Objectivist_Party
","Nominee: Tom Stevens"
"Peace and Freedom Party , URL: /wiki/Peace_and_Freedom_Party
","Nominee: Ralph Nader campaign VP nominee: Matt Gonzalez Other candidates: Gloria La Riva Cynthia McKinney campaign Brian Moore campaign","Peace and Freedom Party , URL: /wiki/Peace_and_Freedom_Party
","Nominee: Ralph Nader campaign VP nominee: Matt Gonzalez Other candidates: Gloria La Riva Cynthia McKinney campaign Brian Moore campaign"
"Prohibition Party , URL: /wiki/Prohibition_Party
","Nominee: Gene Amondson","Prohibition Party , URL: /wiki/Prohibition_Party
","Nominee: Gene Amondson"
"Reform Party , URL: /wiki/Reform_Party_of_the_United_States_of_America
","Nominee: Ted Weill VP nominee: Frank McEnulty","Reform Party , URL: /wiki/Reform_Party_of_the_United_States_of_America
","Nominee: Ted Weill VP nominee: Frank McEnulty"
"Socialism and Liberation Party , URL: /wiki/Party_for_Socialism_and_Liberation
","Nominee: Gloria La Riva VP nominee: Eugene Puryear","Socialism and Liberation Party , URL: /wiki/Party_for_Socialism_and_Liberation
","Nominee: Gloria La Riva VP nominee: Eugene Puryear"
"Socialist Party , URL: /wiki/Socialist_Party_USA
","Nominee: Brian Moore campaign VP nominee: Stewart Alexander Other candidates: Eric Chester","Socialist Party , URL: /wiki/Socialist_Party_USA
","Nominee: Brian Moore campaign VP nominee: Stewart Alexander Other candidates: Eric Chester"
"Socialist Workers Party , URL: /wiki/Socialist_Workers_Party_(United_States)
","Nominee: Róger Calero Alternate nominee: James Harris VP nominee: Alyson Kennedy","Socialist Workers Party , URL: /wiki/Socialist_Workers_Party_(United_States)
","Nominee: Róger Calero Alternate nominee: James Harris VP nominee: Alyson Kennedy"
"Independent / Other","Jeff Boss Stephen Colbert campaign Earl Dodge Bradford Lyttle Frank Moore Joe Schriner Jonathon Sharkey","Independent / Other","Jeff Boss Stephen Colbert campaign Earl Dodge Bradford Lyttle Frank Moore Joe Schriner Jonathon Sharkey"
"Other 2008 elections: House Senate Gubernatorial","Other 2008 elections: House Senate Gubernatorial","Other 2008 elections: House Senate Gubernatorial","Other 2008 elections: House Senate Gubernatorial"
