"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"GPL","Free","No","Yes","Yes","Yes","No","No","Yes","Yes","Unknown","Unknown","Java","Unknown","No",""
"GPL","Trialware","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Delphi/Python","Yes","Yes",""
"Prop.","Non-free","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","Unknown","C++","Yes","Yes",""
"Prop.","Free","No","No","No","Yes","Yes","Yes","Yes","No","Yes","Unknown","Java","Unknown","Yes",""
"MIT","Free","Partial[4]","Partial[4]","No","Yes","Yes","Yes","Yes[5]","Yes","Unknown","Unknown","Python","Unknown","Unknown",""
"MIT","Free","Partial[4]","Partial[4]","Partial[4]","Yes","Yes","Yes","Yes[6]","Yes[5]","Yes","Unknown","Python","Unknown","No",""
"Prop.","Free","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","C++","Unknown","Yes",""
"Prop.","Non-free","Yes","No","No","Yes","Yes","Yes","No","No","Unknown","Yes","Unknown","Unknown","No",""
"Prop.","Free","No","No","Yes","Yes","No","No","Yes","No","Unknown","Unknown","C++","Unknown","Yes",""
"GPL","Free","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Partial","Unknown","C++","Unknown","No",""
"GPL","Free","No","Yes[8]","No","Yes","Yes","Yes","No","Yes","Yes","Unknown","C","Unknown","No",""
"GPL","Free","No","Yes","No","Yes","No","Yes","No","No","Unknown","Unknown","C","Unknown","No",""
"GPLv2","Free","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",".NET 4","Yes","Yes",""
"Prop.","Free","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Delphi","Yes","Yes",""
"Prop.","Non-free","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","Objective C / C++ / JavaScript","Unknown","Yes",""
"Prop.","Free","No","No","Yes","Yes","Yes","No","Yes","No","Yes","Unknown","C++ / C# / Java","Unknown","Yes",""
"Prop.","Non-free","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","C++","Yes","Yes",""
"GPL","Free","Yes","Yes","Yes","Yes","Yes [11]","Yes","No","Yes","Yes","Yes","C++","Yes","Yes",""
"Prop.","Non-free[12]","Yes[13]","Yes[14]","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","C++","Yes[15]","Yes",""
"Prop.","Free","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Java","Yes","Yes",""
"GPL","Free","Yes","Yes","Yes","Yes","Yes","Yes","Yes, mandatory","Yes","Yes","Unknown","C++","Yes","No",""
"Prop.","Non-free","Yes","No","No","Yes","Yes","Yes","Yes","No","Unknown","Unknown","Unknown","Unknown","Unknown",""
"Prop.","Non-free","No","No","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Delphi","Yes","Yes",""
"GPL","Free","Partial[16]","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","C++","Unknown","No",""
"GPL","Free","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","C++","Unknown","Yes","Based on MediaTomb"
"GPL/BSD","Free","Partial[19]","Yes","Yes[20]","Yes","Yes","Yes","Partial[21]","Partial[22]","Yes","Unknown","C","Yes","Yes",""
"Prop.","Free","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","C++","Yes","Yes",""
"Prop.","Free","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Unknown","Unknown","Java","Unknown","Unknown",""
"GPL","Free","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Unknown","Unknown","C++","Unknown","Unknown",""
"Prop.","Non-free","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","Unknown","Unknown","Yes","Unknown",""
"Prop.","Non-free","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","C#","Partial[23]","Unknown",""
"Prop.","Non-free[24]","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","C++ / Python","Yes","Yes",""
"GPL","Free","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes[25]","Yes","Yes","Java","Yes","No",""
"MIT","Free","Partial[4]","Partial[4]","No","Unknown","Unknown","Unknown","Yes[26]","No","Unknown","Unknown","Python","Unknown","No",""
"LGPLv2","Free","No","Yes","No [28]","Yes","Yes","Yes","Yes","No","Yes","Yes","Vala","Unknown","Yes",""
"Prop.","Free","Yes","No","No","Yes","Yes","Yes","No","No","Unknown","Unknown","Unknown","Unknown","No[29]",""
"Prop.","Non-free[30]","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes[31]","Yes","Yes","Java","Partial[32]","Unknown",""
"Prop.","Non-free","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown",""
"Prop.","Free","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Unknown","Java","Unknown","Unknown",""
"GPLv2","Free","Yes","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes","C++","No","No[33]",""
"Prop.","Free","No","No","Yes","Yes","Yes","Yes","No","Yes","Yes","No","C#/C++","Unknown","Yes",""
"Prop.","Non-free[34]","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","Unknown","Yes","Yes",""
"Prop.","[35]","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Partial","C++","Yes","No",""
"Prop.","Non-free","No","No","Yes","Yes","Yes","Yes","Yes","No","Unknown","Unknown","Java","Unknown","Unknown",""
"Prop.","Non-free","Yes","Yes","Yes","Yes","Yes","Yes","Partial[36]","Yes","Yes","Yes","Unknown","Unknown","Yes",""
"GPL","Free","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Java","Yes","Yes","Based on PS3 Media Server"
"Prop.","Free [37]","No","No","Yes","Yes","Yes","Yes","Yes [38]","No","Yes","Yes","Unknown","Unknown","Yes",""
"Prop.","Trialware","Yes[39]","Yes[40]","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Delphi","Yes","Yes",""
"GPLv2","Free","No","Yes","No","Yes","Unknown","Yes","No","Yes","Yes","Unknown","C++","Unknown","Unknown",""
"Prop.","Non-free","Yes","No","No","Yes","Yes","Yes","No","No","Unknown","Unknown","Unknown","Unknown","No",""
"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
