"Manager","Copy Music","Copy Videos","Copy Smart Playlists","Copy Album Artwork","DRM , URL: /wiki/Digital_rights_management
","DRM , URL: /wiki/Digital_rights_management
","Extract Playcounts","Extract Playlists","Copy Content to iPod"
"Amarok , URL: /wiki/Amarok_(audio)
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","No"
"Banshee , URL: /wiki/Banshee_(music_player)
","Yes","?","Yes","Yes","Yes","No","Yes","?","Yes"
"Clementine , URL: /wiki/Clementine_(software)
","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes"
"EphPod , URL: /wiki/EphPod
","Yes","?","Yes","No","Yes","No","?","?","?"
"gtkpod , URL: /wiki/Gtkpod
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"iRip , URL: /wiki/IRip
","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No"
"iTunes , URL: /wiki/ITunes
","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes"
"JRiver Media Center , URL: /wiki/JRiver_Media_Center
","Yes","?","Yes","Yes","No","Yes","?","?","?"
"MediaMonkey , URL: /wiki/MediaMonkey
","Yes","No","No","Yes","Yes","No","Yes","Yes","Yes"
"Rhythmbox , URL: /wiki/Rhythmbox
","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes"
"Senuti , URL: /wiki/Senuti
","Yes","Yes","No","No","Yes","Yes","Yes","?","?"
"Winamp , URL: /wiki/Winamp
","Yes","Yes","No","Yes","Yes","Yes","?","Yes","Yes"
"XPlay , URL: /wiki/XPlay
","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes"
"Manager","Copy Music","Copy Videos","Copy Smart Playlists","Copy Album Artwork","DRM , URL: /wiki/Digital_rights_management
","DRM , URL: /wiki/Digital_rights_management
","Extract Playcounts","Extract Playlists","Copy Content to iPod"
