"English","Malay","Indonesian"
"want","mahu","mau, ingin"
"warden","warden, penjaga penjara","sipir (penjara) (from Dutch cipier)"
"Warsaw , URL: /wiki/Warsaw
","Warsaw","Warsawa"
"website","laman web, laman sesawang","situs web, laman web"
"weekend","hujung minggu","akhir pekan, akhir minggu"
"well (water hole)","perigi","sumur, perigi (rarely used)"
"wheelchair , URL: /wiki/Wheelchair
","kerusi roda","kursi roda"
"when","bila, apabila, ketika, bilamana (rarely used)","kapan, bilamana, (question word) bila, ketika"
"window , URL: /wiki/Window
","tingkap, jendela","jendela (from Portuguese janela), tingkap (less common)"
"windscreen, windshield","cermin kereta","kaca depan (mobil)"
"wire","dawai, wayar","kawat (e.g. copper wire), kabel (e.g. electrical wire, cable)"
