"","""+"" quantifier","Negated character classes","Non-greedy quantifiers [Note 1]","Shy groups [Note 2]","Recursion","Look-ahead","Look-behind","Backreferences [Note 3]",">9 indexable captures"
"Boost.Regex , URL: /w/index.php?title=Boost.Regex&action=edit&redlink=1
","Yes","Yes","Yes","Yes","Yes[Note 4]","Yes","Yes","Yes","Yes"
"Boost.Xpressive , URL: /w/index.php?title=Boost.Xpressive&action=edit&redlink=1
","Yes","Yes","Yes","Yes","Yes[Note 5]","Yes","Yes","Yes","Yes"
"CL-PPCRE , URL: /w/index.php?title=CL-PPCRE&action=edit&redlink=1
","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"EmEditor , URL: /wiki/EmEditor
","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No"
"FREJ","No[Note 6]","No","Some[Note 6]","Yes","No","No","No","Yes","Yes"
"GLib , URL: /wiki/GLib
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"GNU grep , URL: /wiki/Grep
","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","?"
"Haskell , URL: /wiki/Haskell_(programming_language)
","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"RXP , URL: https://titan-ic.com/technology/rxp-explained
","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes"
"ICU , URL: /wiki/International_Components_for_Unicode
","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"Java , URL: /wiki/Java_(programming_language)
","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"JavaScript , URL: /wiki/JavaScript
ECMAScript , URL: /wiki/ECMAScript
","Yes","Yes","Yes","Yes","No","Yes","Yes[Note 7]","Yes","Yes"
"JGsoft , URL: /w/index.php?title=Just_Great_Software&action=edit&redlink=1
","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"Lua , URL: /wiki/Lua_(programming_language)
","Yes","Yes","Some[Note 8]","No","No","No","No","Yes","No"
".NET , URL: /wiki/.NET_Framework
","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"OCaml , URL: /wiki/OCaml
","Yes","Yes","No","No","No","No","No","Yes","No"
"PCRE , URL: /wiki/Perl_Compatible_Regular_Expression
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Perl , URL: /wiki/Perl
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"PHP , URL: /wiki/PHP
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Python , URL: /wiki/Python_(programming_language)
","Yes","Yes","Yes","Yes","Yes[Note 9]","Yes","Yes","Yes","Yes"
"Qt , URL: /wiki/Qt_(toolkit)
","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes"
"RE2 , URL: /wiki/RE2_(software)
","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"Ruby / Onigmo , URL: /wiki/Ruby_(programming_language)
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"TRE , URL: /wiki/TRE_(computing)
","Yes","Yes","Yes","Yes","No","No","No","Yes","No"
"Vim , URL: /wiki/Vim_(text_editor)
","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No"
"RGX","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"Tcl , URL: /wiki/Tcl
","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"TRegExpr","Yes","?","Yes","?","?","?","?","?","?"
"XML Schema , URL: /wiki/XML_Schema_(W3C)
","Yes","Yes","No","N/A","No","No","No","No","N/A"
"XPath 3 , URL: /wiki/XPath_3
XQuery , URL: /wiki/XQuery
","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes"
"XRegExp","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes"
