"Client","emoji , URL: /wiki/Emoji
","Stickers , URL: /wiki/Sticker_(messaging)
","GIF , URL: /wiki/GIF
","Themes , URL: /wiki/Theme_(computing)
skins , URL: /wiki/Skin_(computing)
"
"Briar , URL: /wiki/Briar_(software)
","Yes","No","","No"
"Discord , URL: /wiki/Discord_(software)
","Yes","Yes","Yes","No"
"eBuddy , URL: /wiki/EBuddy
","No","No","","Yes"
"Element , URL: /wiki/Element_(software)
","Yes","Yes","No","Yes"
"Gadu-Gadu , URL: /wiki/Gadu-Gadu
","No","","",""
"Gajim , URL: /wiki/Gajim
","Yes","","","Yes"
"Google Messages (RCS) , URL: /wiki/Messages_(Google)
","","Yes","Yes","No"
"ICQ , URL: /wiki/ICQ
","Yes","Yes","","Yes"
"Jami , URL: /wiki/Jami_(software)
","","","",""
"Jitsi , URL: /wiki/Jitsi
","Yes","","",""
"Kadu , URL: /wiki/Kadu_(software)
","Yes","","","Yes"
"KakaoTalk , URL: /wiki/KakaoTalk
","No","","",""
"Keybase , URL: /wiki/Keybase
","Yes","No","","Yes, only 2 official skins"
"Kik Messenger , URL: /wiki/Kik_Messenger
","Yes","","","Yes"
"Line , URL: /wiki/Line_(software)
","No","Yes","Yes","Yes"
"Linphone , URL: /wiki/Linphone
","","","",""
"Mattermost , URL: /wiki/Mattermost
","Yes","No","","Yes"
"MCabber , URL: /wiki/MCabber
","No","","",""
"Messages , URL: /wiki/Messages_(Apple)
","No","","","No"
"Messenger , URL: /wiki/Messenger_(software)
","No","Yes","Yes","Yes"
"Movim , URL: /wiki/Movim
","No","Yes","","No"
"Palringo , URL: /wiki/Palringo
","No","","","Yes"
"Paltalk , URL: /wiki/Paltalk
","No","","","Yes"
"Pidgin , URL: /wiki/Pidgin_(software)
","Yes","No","No","Yes"
"Psi , URL: /wiki/Psi_(instant_messaging_client)
","Yes","","","Yes"
"RetroShare , URL: /wiki/RetroShare
","No","Yes","",""
"Ricochet , URL: /wiki/Ricochet_(software)
","No","","",""
"Sicher , URL: /wiki/Sicher_(software)
","No","","",""
"Signal , URL: /wiki/Signal_(software)
","No","Yes","Only on Android and iOS","Yes"
"Silent Phone , URL: /wiki/Silent_Circle_(software)
","No","","",""
"Skype , URL: /wiki/Skype
","No","Yes","Yes","No"
"Slack , URL: /wiki/Slack_(software)
","Yes","","","Yes"
"Snapchat , URL: /wiki/Snapchat
","No","Yes","Yes","No"
"Surespot , URL: /wiki/Surespot
","No","","","Yes"
"TeamNote , URL: /wiki/TeamNote
","No","","",""
"Telegram , URL: /wiki/Telegram_(software)
","No","Yes","Yes","Yes"
"Tencent QQ , URL: /wiki/Tencent_QQ
","No","","","Yes"
"Threema , URL: /wiki/Threema
","No","Yes","","Yes"
"Trillian , URL: /wiki/Trillian_(software)
","Yes","","","Yes"
"Viber , URL: /wiki/Viber
","No","Yes","Yes","Yes"
"WeChat , URL: /wiki/WeChat
","No","","",""
"WhatsApp , URL: /wiki/WhatsApp
","No","Yes","Yes","No"
"Wickr Me , URL: /wiki/Wickr
","No","","","No"
"Wire , URL: /wiki/Wire_(software)
","No","No","","No"
"Client","emoji , URL: /wiki/Emoji
","Stickers , URL: /wiki/Sticker_(messaging)
","GIF , URL: /wiki/GIF
","Themes , URL: /wiki/Theme_(computing)
skins , URL: /wiki/Skin_(computing)
"
