"ACER","","","","","","","","","","","","","","","","","","","","","",""
"Manufacturer , URL: /wiki/Manufacturer
","Model","kg , URL: /wiki/Kilogram
","lb , URL: /wiki/Pound_(weight)
","Display size , URL: /wiki/Viewable_image_size
","Display resolution , URL: /wiki/Display_resolution
","Display DPI [Note 1]","CPU , URL: /wiki/Central_processing_unit
","GHz , URL: /wiki/GHz
","HSDPA , URL: /wiki/HSDPA
","Video chipset","Video connection(s)","Storage type , URL: /wiki/Computer_data_storage
","GB , URL: /wiki/Gigabyte
","RAM , URL: /wiki/Random-access_memory
GB , URL: /wiki/Gigabyte
","h , URL: /wiki/Hour
","h , URL: /wiki/Hour
","Keyboard size , URL: /wiki/Keyboard_(computing)#Laptop-size
","Camera , URL: /wiki/Video_Camera
","Mouse , URL: /wiki/Mouse_(computing)
","Linux , URL: /wiki/Linux
","Windows , URL: /wiki/Microsoft_Windows
","Manual / DataSheet"
"Acer Inc. , URL: /wiki/Acer_Inc.
","Aspire One , URL: /wiki/Aspire_One
","0.99, 1.26","2.18, 2.77","8.9 - 11.6","1024×600, 1366×768 WSVGA LED glossy","133-135","Atom , URL: /wiki/Intel_Atom
","1.6","","GMA 950 , URL: /wiki/Intel_GMA#GMA_950
","VGA , URL: /wiki/Video_Graphics_Array
","SSD , URL: /wiki/Solid-state_drive
SDHC , URL: /wiki/Secure_Digital#SDHC
HDD , URL: /wiki/Hard_disk_drive
","8, 16 / 120, 160, 25","0.5, 1, 2[2]","3 (3-cell)","6–7 (6-cell)","?","Built-in","Touchpad , URL: /wiki/Touchpad
","Linpus , URL: /wiki/Linpus_Linux
","7 Starter Edition , URL: /wiki/Windows_7
",""
"ALWAYS INNOVATING","","","","","","","","","","","","","","","","","","","","","",""
"Always Innovating , URL: /w/index.php?title=Always_Innovating&action=edit&redlink=1
","Touch Book , URL: /wiki/Touch_Book
","0.675/1.418 [Note 3]","1.488/3.126 [Note 3]","8.9","1024×600 touchscreen","133-102","OMAP3530 , URL: /wiki/Texas_Instruments_OMAP
","0.6","","PowerVR , URL: /wiki/PowerVR
C64x+ , URL: /wiki/Texas_Instruments_TMS320
","None","SD card , URL: /wiki/Secure_Digital
","8","0.25","3-5 (tablet only, 6000 mAh)","10-15 (with keyboard, 12000 mAh)","95%","None","Touchpad , URL: /wiki/Touchpad
","Ångstrom , URL: /wiki/%C3%85ngstr%C3%B6m_distribution
Ubuntu (operating system) , URL: /wiki/Ubuntu_(operating_system)
Android , URL: /wiki/Android_(operating_system)
","CE/not x86 based , URL: /wiki/Microsoft_Windows_CE
",""
"AIGO","","","","","","","","","","","","","","","","","","","","","",""
"Aigo , URL: /wiki/Aigo
","MID P8880T , URL: /w/index.php?title=Aigo_MID&action=edit&redlink=1
","0.34","0.75","4.8","800×480","194","Atom , URL: /wiki/Intel_Atom
","0.8","TD , URL: /wiki/HSDPA
","GMA 500 , URL: /wiki/Intel_GMA#GMA_500
","VGA , URL: /wiki/Video_Graphics_Array
","SSD , URL: /wiki/Solid-state_drive
SDHC , URL: /wiki/Secure_Digital#SDHC
HDD , URL: /wiki/Hard_disk_drive
","8, 16 / 120","0,5 or 1","3 (3-cell)","6–7 (6-cell)","","MP , URL: /wiki/Pixel#Megapixel
","Touchscreen , URL: /wiki/Touchscreen
","","XP , URL: /wiki/Windows_XP
",""
"ARCHOS","","","","","","","","","","","","","","","","","","","","","",""
"Archos , URL: /wiki/Archos
","Archos 10 , URL: /w/index.php?title=Archos_10&action=edit&redlink=1
","1.23","2.7","10.2","1024×600","116","Atom N270 , URL: /wiki/Intel_Atom
","1.6","","GMA 950 , URL: /wiki/Intel_GMA#GMA_950
","VGA","HDD , URL: /wiki/Hard_disk_drive
","160","1","","","","MP , URL: /wiki/Pixel#Megapixel
","Touchpad , URL: /wiki/Touchpad
","","XP , URL: /wiki/Windows_XP
",""
"ASUS","","","","","","","","","","","","","","","","","","","","","",""
"Manufacturer , URL: /wiki/Manufacturer
","Model","kg , URL: /wiki/Kilogram
","lb , URL: /wiki/Pound_(weight)
","Display size , URL: /wiki/Viewable_image_size
","Display resolution , URL: /wiki/Display_resolution
","Display DPI [Note 1]","CPU , URL: /wiki/Central_processing_unit
","GHz , URL: /wiki/GHz
","HSDPA , URL: /wiki/HSDPA
","Video chipset","Video connection(s)","Storage type , URL: /wiki/Computer_data_storage
","GB , URL: /wiki/Gigabyte
","RAM , URL: /wiki/Random-access_memory
GB , URL: /wiki/Gigabyte
","h , URL: /wiki/Hour
","h , URL: /wiki/Hour
","Keyboard size , URL: /wiki/Keyboard_(computing)#Laptop-size
","Camera , URL: /wiki/Video_Camera
","Mouse , URL: /wiki/Mouse_(computing)
","Linux , URL: /wiki/Linux
Unix , URL: /wiki/Unix-like
","Windows , URL: /wiki/Microsoft_Windows
","Manual / DataSheet"
"Asus , URL: /wiki/Asus
","Eee PC , URL: /wiki/Eee_PC
701SD , URL: /wiki/ASUS_Eee_PC#Eee_700_series
","0.905","2.00","7","800×480 WVGA matte","133","Celeron-M , URL: /wiki/Intel_Celeron
","0.9","?","?","VGA","SSD , URL: /wiki/Solid-state_drive
","8","0.5","3.4","3.5","83%","MP , URL: /wiki/Pixel#Megapixel
","?","Linux , URL: /wiki/Linux
","XP Home , URL: /wiki/Windows_XP_Home
",""
