"v t e Android","v t e Android","v t e Android","v t e Android"
"Software development , URL: /wiki/Android_software_development
","Development tools , URL: /wiki/Programming_tool
","Official
Android Runtime (ART) Software development kit (SDK) Android Debug Bridge (ADB) Fastboot Android App Bundle Android application package (APK) Bionic Dalvik Firebase Google Cloud Messaging (GCM) Firebase Cloud Messaging (FCM) Google Mobile Services (GMS) Native development kit (NDK) Open accessory development kit (OADK) RenderScript Skia AdMob Material Design Fonts Droid Roboto Noto Google Developers

Other
OpenBinder Apache Harmony OpenJDK Gradle


",""
"Software development , URL: /wiki/Android_software_development
","Integrated development environments , URL: /wiki/Integrated_development_environment
","Android Studio IntelliJ IDEA Eclipse Android Development Tools (ADT) App Inventor",""
"Software development , URL: /wiki/Android_software_development
","Languages , URL: /wiki/Programming_language
databases , URL: /wiki/Database
","Java Kotlin XML C C++ SQLite",""
"Software development , URL: /wiki/Android_software_development
","Virtual reality , URL: /wiki/Virtual_reality
","Cardboard Daydream",""
"Software development , URL: /wiki/Android_software_development
","communities , URL: /wiki/Community_of_practice
","Google I/O Developer Challenge Developer Lab Android Open Source Project (AOSP)",""
"Releases , URL: /wiki/Android_version_history
","Cupcake (1.5) Donut (1.6) Eclair (2.0–2.1) Froyo (2.2) Gingerbread (2.3) Honeycomb (3.x) Ice Cream Sandwich (4.0) Jelly Bean (4.1–4.3) KitKat (4.4) Lollipop (5.x) Marshmallow (6.0) Nougat (7.x) Oreo (8.x) Pie (9) 10 11 12 13","Cupcake (1.5) Donut (1.6) Eclair (2.0–2.1) Froyo (2.2) Gingerbread (2.3) Honeycomb (3.x) Ice Cream Sandwich (4.0) Jelly Bean (4.1–4.3) KitKat (4.4) Lollipop (5.x) Marshmallow (6.0) Nougat (7.x) Oreo (8.x) Pie (9) 10 11 12 13",""
"Derivatives","Android Automotive Android Things Android TV devices Wear OS","Android Automotive Android Things Android TV devices Wear OS",""
"Phones , URL: /wiki/Smartphone
tablets , URL: /wiki/Tablet_computer
","Pixel , URL: /wiki/Google_Pixel
","C Pixel & Pixel XL 2 & 2 XL 3 & 3 XL 3a & 3a XL 4 & 4 XL 4a & 4a (5G) 5 5a 6 & 6 Pro",""
"Phones , URL: /wiki/Smartphone
tablets , URL: /wiki/Tablet_computer
","Nexus , URL: /wiki/Google_Nexus
","One S Galaxy Nexus 4 10 Q 5 5X 6 6P 7 2012 2013 9 Player",""
"Phones , URL: /wiki/Smartphone
tablets , URL: /wiki/Tablet_computer
","Play edition , URL: /wiki/List_of_Google_Play_edition_devices
","HTC One (M7) HTC One (M8) LG G Pad 8.3 Moto G Samsung Galaxy S4 Sony Xperia Z Ultra",""
"Phones , URL: /wiki/Smartphone
tablets , URL: /wiki/Tablet_computer
","Android Go Android One other smartphones","Android Go Android One other smartphones",""
"Custom distributions , URL: /wiki/List_of_custom_Android_distributions
","AliOS Android-x86 Remix OS AOKP Baidu Yi Barnes & Noble Nook CalyxOS ColorOS realme UI CopperheadOS EMUI Magic UI Fire OS Flyme OS GrapheneOS HarmonyOS LeWa OS LineageOS /e/ CrDroid CyanogenMod Kali NetHunter LiteOS MicroG MIUI MIUI for POCO Nokia X software platform OmniROM OPhone OxygenOS Replicant Resurrection Remix OS SlimRoms TCL UI Ubuntu for Android XobotOS ZUI","AliOS Android-x86 Remix OS AOKP Baidu Yi Barnes & Noble Nook CalyxOS ColorOS realme UI CopperheadOS EMUI Magic UI Fire OS Flyme OS GrapheneOS HarmonyOS LeWa OS LineageOS /e/ CrDroid CyanogenMod Kali NetHunter LiteOS MicroG MIUI MIUI for POCO Nokia X software platform OmniROM OPhone OxygenOS Replicant Resurrection Remix OS SlimRoms TCL UI Ubuntu for Android XobotOS ZUI",""
"Internals","Booting process Recovery mode TWRP ClockworkMod","Booting process Recovery mode TWRP ClockworkMod",""
"APIs , URL: /wiki/Application_programming_interface
","Google Maps Google Play Services SafetyNet Google Search","Google Maps Google Play Services SafetyNet Google Search",""
"UIs , URL: /wiki/User_interface
","Asus ZenUI ColorOS EMUI Pixel UI XOLO Hive HTC Sense LG UX Optimus UI MIUI Motoblur One UI Experience TouchWiz OxygenOS Flyme OS","Asus ZenUI ColorOS EMUI Pixel UI XOLO Hive HTC Sense LG UX Optimus UI MIUI Motoblur One UI Experience TouchWiz OxygenOS Flyme OS",""
"Lists","Custom distributions Features Free and open-source applications Games Google apps Launchers","Custom distributions Features Free and open-source applications Games Google apps Launchers",""
"Related topics","Index of articles Androidland Chromecast Google Java vs. Android API Lawn statues Legal issues Google v. Oracle smartphone patent wars Rooting","Index of articles Androidland Chromecast Google Java vs. Android API Lawn statues Legal issues Google v. Oracle smartphone patent wars Rooting",""
"Category:Android development Category:Mobile telecommunications Software portal Telecommunication portal","Category:Android development Category:Mobile telecommunications Software portal Telecommunication portal","Category:Android development Category:Mobile telecommunications Software portal Telecommunication portal","Category:Android development Category:Mobile telecommunications Software portal Telecommunication portal"
