"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"7digital","81[2]","Yes [3]","Web, Android","24-bit","No","No","No","320 kbps","320 kbps","No","No","No","30","Yes"
"Amazon Music","75[4]","Yes","Web, Android[5]","No","No","No","No","No","256 kbps","No","No","No","30","Yes"
"Bandcamp","18.1","No","Web","24-bit","24-bit","24-bit","24-bit","Yes","Yes","No","Yes","No","Full","Yes"
"Beatport","9[6]","Yes [7]","Web","No","No","16-bit","16-bit","No","320 kbps","No","No","No","120","Paid service"
"Bleep","?","No","Web","16-bit","No","24-bit","No","No","320 kbps","No","No","No","Full","Yes"
"Classical Archives","1.17","Yes","Web","No","No","No","No","No","320 kbps","No","No","No","60","No"
"eMusic","17[8]","Yes [9]","Web[10]","No","No","No","No","No","320 kbps","No","No","No","60 [10]","Yes"
"HDtracks","?","Yes US [11]","Web","24-bit","24-bit","24-bit","24-bit","No","No","No","No","No","30","?"
"iTunes Store","75[12]","Yes [13]","Windows, macOS iOS, tvOS","No","No","No","No","256 kbps","No","No","No","No (previously FairPlay)","90 [14]","iTunes in the Cloud"
"Jamendo","0.21","No","Web","No","No","No","No","No","Yes","No","Yes","No","Full","?"
"Juno Download","?","Yes [15]","Web","16-bit","16-bit","16-bit","16-bit","No","320 kbps","No","No","No","60","No"
"Magnatune","0.01","No","Web","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","Full","?"
"mora","4.4","Yes Japan","Web","24-bit","No","No","No","320 kbps","No","No","No","No","30","?"
"NoiseTrade","?","No","Web","No","No","No","No","No","320 kbps","No","No","No","Full","?"
"ProStudioMasters","?","Yes","Web","24-bit","No","No","24-bit","No","No","No","No","No","90","No"
"Qobuz","70[16]","Yes","Web, Android, iOS Kindle, Windows 8[17]","24-bit","24-bit","24-bit","24-bit","320 kbps","320 kbps","320 kbps","No","No","30-60","Yes"
"Supraphonline","4.3","No","Web","16+24-bit","No","No","No","No","320 kbps","No","No","No","30+30","?"
"Tidal","70[18]","Yes","Web","16-bit","No","No","No","No","320 kbps","No","No","No","30","No"
"Traxsource","?","?","Web","No","No","Yes","Yes","No","320 kbps","No","No","No","120","?"
