"v t e Internet Relay Chat (IRC)","v t e Internet Relay Chat (IRC)","v t e Internet Relay Chat (IRC)"
"Comparison of clients mobile","Comparison of clients mobile","Comparison of clients mobile"
"Common terms","BNC Bot DoS attack Flood Netsplit Operator Script IRCd Services Takeover","BNC Bot DoS attack Flood Netsplit Operator Script IRCd Services Takeover"
"Related protocols","IRCX MSN Chat CTCP DCC XDCC Ident","IRCX MSN Chat CTCP DCC XDCC Ident"
"Networks","DALnet EFnet Freenode GameSurge IRCnet Libera Chat OFTC QuakeNet Rizon RusNet SlashNET Undernet","DALnet EFnet Freenode GameSurge IRCnet Libera Chat OFTC QuakeNet Rizon RusNet SlashNET Undernet"
"Technology","Eggdrop Infobot BitlBee ZNC UnrealIRCd","Eggdrop Infobot BitlBee ZNC UnrealIRCd"
"See also","List of commands Subculture Jarkko Oikarinen","List of commands Subculture Jarkko Oikarinen"
"Clients","macOS","Colloquy Fire Homer Ircle Linkinus Snak"
"Clients","Microsoft Windows","Bersirc mIRC Microsoft Comic Chat PIRCH Shareaza Visual IRC"
"Clients","Unix-like","ircII Ii"
"Clients","Cross-platform","Ayttm BitchX Irssi Konversation KVIrc LeafChat naim Nettalk Smuxi WeeChat HexChat PJIRC Quassel IRC IceChat"
"Clients","Multi-IM","Centericq Empathy Kopete Miranda IM Pidgin Trillian"
"Clients","Web-based","CGI:IRC PJIRC Mibbit"
"Clients","Web browser components","ChatZilla Mozilla Application Suite"
"Clients","Library and plug-ins","ERC rcirc"
"Category","Category","Category"
