"v t e High definition media","v t e High definition media"
"Media formats","Archival Disc Blu-ray China Blue High-definition Disc (CBHD) D-VHS HD DVD Holographic Versatile Disc MUSE LaserDisc Ultra HD Blu-ray"
"Promoter","Blu-ray Disc Association China High-definition DVD Industry Association HD DVD Promotion Group HVD Forum"
"Interactivity","Advanced Content BD-Java"
"Recordable formats","BD-R BD-RE HD DVD-R HD DVD-RAM HD DVD-RW W-VHS"
"Comparison","Comparison of high-definition optical disc formats"
"Copy prevention","AACS (BD, FVD, and HD DVD) BD+ (BD) HDCP (BD and HD DVD) ROM Mark (BD) Cinavia (BD)"
"Blu-ray players","TotalMedia Theatre PowerDVD PlayStation 3 Sony BDP-S1 PlayStation 4 Xbox One"
"Ultra HD Blu-ray players","PlayStation 5 Xbox One S Xbox One X Xbox Series X"
"HD DVD players","Xbox 360 HD DVD Drive"
