"Maker","Model","Number","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","E-Books","Images","Images","Images","Images","Images","Audio/Video","Audio/Video","Audio/Video","Audio/Video","Audio/Video","Audio/Video","Audio/Video"
"Maker","Model","Number",".azw",".cbr",".cbz",".chm",".djvu",".doc",".docx",".epub",".fb2",".html",".lit",".mobi",".opf",".pdb",".pdf",".pdg",".rtf",".tcr",".tr3",".txt",".bmp",".gif",".jpg",".png",".tiff",".avi",".flv",".m4v",".mov",".mp3",".mpeg1/2/4",".wmv"
"Aluratek , URL: /w/index.php?title=Aluratek&action=edit&redlink=1
","Liber Touch , URL: /w/index.php?title=Liber_Touch&action=edit&redlink=1
","09","No","No","No","No","No","No","Unknown","Yes","Partial (non-DRM only)","No","No","No","No","No","Yes","No","Partial (non-DRM only)","No","No","Yes","Unknown","Yes","Yes","Yes","Unknown","Partial (non-DRM only)","Partial (non-DRM only)","Partial (non-DRM only)","Partial (non-DRM only)","Yes","Partial (non-DRM only)","No"
"Aluratek","Libre Air , URL: /w/index.php?title=Libre_Air&action=edit&redlink=1
","11","No","No","No","No","No","No","Unknown","Yes","Partial (non-DRM only)","Yes","No","Partial (non-DRM only)","No","No","Yes","No","Partial (non-DRM only)","No","No","Yes","Unknown","Yes","Yes","Yes","Unknown","No","No","No","No","Yes","No","No"
"Aluratek","Libre Color , URL: /w/index.php?title=Libre_Color&action=edit&redlink=1
","10","No","No","No","No","No","No","Unknown","Yes","Partial (non-DRM only)","Yes","No","No","No","No","Yes","No","Partial (non-DRM only)","No","No","Yes","Unknown","Yes","Yes","Yes","Unknown","Partial (non-DRM only)","Partial (non-DRM only)","Partial (non-DRM only)","Partial (non-DRM only)","Yes","Partial (non-DRM only)","Partial (non-DRM only)"
"Aluratek","Libre Pro , URL: /w/index.php?title=Libre_Pro&action=edit&redlink=1
","08","No","No","No","No","No","No","Unknown","Yes","Partial (non-DRM only)","No","No","Partial (non-DRM only)","No","No","Yes","No","No","No","No","Yes","Unknown","Yes","Yes","No","Unknown","No","No","No","No","Yes","No","No"
"Amazon.com , URL: /wiki/Amazon.com
","Kindle 3 , URL: /wiki/Amazon_Kindle
","12+","Yes","No","Yes","Unknown","No","Yes","Unknown","No","No","Yes","No","Partial (no DRM)","No","No","Yes","No","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Amazon.com","Kindle DX , URL: /wiki/Kindle_DX
","12","Yes","No","Unknown","Unknown","No","Unknown","Unknown","No","No","Yes","No","Partial (no DRM)","No","No","Yes","No","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Amazon.com , URL: /wiki/Amazon.com
","Kindle 2 , URL: /wiki/Kindle_2
","12","Yes","No","No","Unknown","No","Unknown","Unknown","No","No","Yes","No","Partial (no DRM)","No","No","Yes","No","Yes","Unknown","Yes","Yes","Unknown","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Amazon.com","Kindle , URL: /wiki/Amazon_Kindle
","Unknown","Yes","No","Unknown","Unknown","Unknown","No","Unknown","No","No","Yes","No","Partial (no DRM)","No","No","No","No","Yes","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"Asus , URL: /wiki/Asus
","Eee Reader DR900","Unknown","No","No","Yes","No","No","No","Unknown","Yes","Yes","Yes","No","No","No","No","Yes","No","No","No","No","Yes","Unknown","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
