"Editor","Site","Latest version","Style, clone of","US$ , URL: /wiki/United_States_dollar
","Software license , URL: /wiki/Software_license
","Open source , URL: /wiki/Open-source_software
","Browser support","Activity"
"Ace , URL: /wiki/Ace_(editor)
","Home , URL: http://ace.c9.io/
demo , URL: http://ace.c9.io/build/kitchen-sink.html
","v1.4.12 , URL: https://github.com/ajaxorg/ace/tags
","Sublime Text / Microsoft Visual Studio","Free","New BSD License , URL: /wiki/BSD_licenses
","Yes , URL: https://github.com/ajaxorg/ace
","Firefox 3.5+, Safari 4+, Chrome, IE 8+, Opera 11.5+","Yes"
"Atom , URL: /wiki/Atom_(text_editor)
","Home , URL: http://atom.io/
","v1.50.0-beta0 , URL: https://atom.io/releases
","Emacs, Vim and others","Free","Dual","Yes","Chrome","Yes"
"CodeMirror , URL: /wiki/CodeMirror
","Home , URL: http://codemirror.net/
demo , URL: http://codemirror.net/mode/htmlmixed/
","5.59.1 , URL: https://github.com/codemirror/CodeMirror/tags
","plain textarea","Free","MIT , URL: /wiki/MIT_License
","Yes , URL: https://github.com/marijnh/CodeMirror
","Firefox 3+, Chrome, Safari 3+, Internet Explorer 8+, Opera 9+[1]","Yes"
"CodeJar , URL: https://medv.io/codejar/
","Home , URL: https://medv.io/codejar/
demo , URL: https://medv.io/codejar/
","1.0.2 , URL: https://github.com/antonmedv/codejar/tags
","plain textarea","Free","MIT , URL: /wiki/MIT_License
","Yes , URL: https://github.com/antonmedv/codejar
","Firefox 3+, Chrome, Safari 3+, Internet Explorer 8+, Opera 9+","Yes"
"Codeanywhere , URL: /wiki/Codeanywhere
","Home , URL: http://www.codeanywhere.com
","6.0","SublimeText","-","Public Cloud","No","Firefox 3+, Chrome, Safari 3+, Internet Explorer 8+, Opera 9+","Yes"
"Codenvy , URL: /wiki/Codenvy
","Home , URL: http://www.codenvy.com
","2.10.17, 2014-01-17","Eclipse","-","Public Cloud","Yes","Firefox 3+, Chrome, Safari 3+, Internet Explorer 8+, Opera 9+","Yes"
"Orion , URL: /wiki/List_of_Eclipse_projects#Top-level_sub-projects
","Home , URL: https://orionhub.org/
","22.0 , URL: https://projects.eclipse.org/projects/ecd.orion
","Eclipse SWT StyledText, regular textarea","Free","BSD 3-clause , URL: /wiki/BSD_licenses
EPL , URL: /wiki/Eclipse_Public_License
","Yes , URL: https://github.com/eclipse/orion.client
","Firefox 37+, Chrome 40+, Safari7+, Internet Explorer 11+[2]","Yes"
"Monaco , URL: /w/index.php?title=Monaco_(editor)&action=edit&redlink=1
Visual Studio Code , URL: /wiki/Visual_Studio_Code
","Home , URL: https://microsoft.github.io/monaco-editor/
demo , URL: https://microsoft.github.io/monaco-editor/playground.html
","0.31.1 , URL: https://github.com/Microsoft/monaco-editor/blob/main/CHANGELOG.md
","Visual Studio Code , URL: /wiki/Visual_Studio_Code
","Free","MIT","Yes , URL: https://github.com/Microsoft/monaco-editor/
","IE8+, Firefox 4+, Chrome","Yes"
"Markitup , URL: /w/index.php?title=Markitup&action=edit&redlink=1
","Home , URL: http://markitup.jaysalvat.com/home/
demo , URL: http://markitup.jaysalvat.com/examples/
","1.1.14, 2013-02-04","Markup , URL: /wiki/Markup_language
","Free","MIT, GPL","Yes","IE 6 & 7, Firefox 2 & 3, Safari 3.1, Opera 9+[3]","Some"
"LDT , URL: /w/index.php?title=LDT_(software)&action=edit&redlink=1
","Home , URL: https://github.com/kueblc/LDT/
","2012-02-19","regular textarea","Free","MIT, GPL","Yes , URL: https://github.com/kueblc/LDT/
","Firefox 3.6+, IE8, Chromium 16, Midori 4.1, Opera 11, Epiphany","Some"
"Ymacs , URL: /w/index.php?title=Ymacs&action=edit&redlink=1
","Home , URL: http://www.ymacs.org/
demo , URL: http://www.ymacs.org/demo/
","0.5, 2012-03-28","Emacs","Free","BSD","Yes , URL: http://code.ymacs.org/hgwebdir.cgi/ymacs/
","Firefox , URL: /wiki/Firefox
","Some"
"CodePress , URL: /w/index.php?title=CodePress&action=edit&redlink=1
","Home , URL: http://codepress.sourceforge.net/
","0.9.6, 2007-09-26","Microsoft Visual Studio , URL: /wiki/Microsoft_Visual_Studio
","Free","LGPL","Yes","?","No"
"CodeTextArea , URL: /w/index.php?title=CodeTextArea&action=edit&redlink=1
","Home , URL: https://code.google.com/p/codetextarea/
demo , URL: https://web.archive.org/web/20081017002536/http://www.nicolarizzo.com/gamesroom/experimental/CodeEditor.html
","2009-06","Microsoft Visual Studio","Free","BSD , URL: /wiki/BSD_licenses
","Yes","Dojo , URL: /wiki/Dojo_Toolkit
","No"
"EditArea , URL: /w/index.php?title=EditArea&action=edit&redlink=1
","Home , URL: http://www.cdolivet.com/index.php?page=editArea
demo , URL: http://www.cdolivet.com/editarea/editarea/exemples/exemple_full.html
","0.8.2, 2010-01-14","Microsoft Visual Studio","Free","LGPL","Yes","IE 6+, Firefox 1.5+, Safari 3+, Opera 9+, Chrome[4]","No"
"Helene , URL: /w/index.php?title=Helene_(software)&action=edit&redlink=1
","Home , URL: https://web.archive.org/web/20071012025503/http://helene.muze.nl/
demo , URL: https://web.archive.org/web/20071012023712/http://helene.muze.nl/ariadne/loader.php/helene/demo/
","0.9, unknown release date","Microsoft Visual Studio","Free","GPL","Yes","","No"
"9ne , URL: /w/index.php?title=9ne&action=edit&redlink=1
","Home , URL: https://web.archive.org/web/20071011031810/http://robrohan.com/projects/9ne/
","?","Emacs","Free","GPL","Yes","","No"
"jsvi , URL: /w/index.php?title=Jsvi&action=edit&redlink=1
","Home , URL: http://gpl.internetconnection.net/vi/
","?","vi , URL: /wiki/Vi
","Free","GPL","Yes","","No"
"MDK-Editor , URL: /w/index.php?title=MDK-Editor&action=edit&redlink=1
","Home , URL: http://www.mdk-photo.com/editor/
","2.10, 2008","Microsoft Visual Studio","Depends on use","Dual","Code is readable","tested to work on: IE 6, 7 - Firefox 2, 3 - Chrome","Yes"
"Micro , URL: /w/index.php?title=Micro_(editor)&action=edit&redlink=1
","Home , URL: http://micro.jcubic.pl
","2013","nano","Free","GPL","Yes","","Some"
