"","English","Esperanto","Novial"
"Infinitive , URL: /wiki/Infinitive
","(to) love","am-i","ama"
"present , URL: /wiki/Present_tense
","love(s)","am-as","ama"
"Future , URL: /wiki/Future_tense
","will (shall) love","am-os","sal ama"
"past , URL: /wiki/Past_tense
","loved","am-is","did ama (ama-d)"
"perfect , URL: /wiki/Perfect_(grammar)
","have (has) loved","est-as am-int-a(j)","ha ama"
"Pluperfect , URL: /wiki/Pluperfect
","had loved","est-is am-int-a(j)","ha-d ama"
"Future , URL: /wiki/Future_tense
perfect , URL: /wiki/Perfect_(grammar)
","will (shall) have loved","est-os am-int-a(j)","sal ha ama"
"Future , URL: /wiki/Future_tense
","was going to (would, should) love","est-is am-ont-a(j)","sal-ed ama"
"Conditional , URL: /wiki/Conditional_mood
","would (should) love","am-us","vud ama"
"Conditional , URL: /wiki/Conditional_mood
perfect , URL: /wiki/Perfect_(grammar)
","would (should) have loved","est-us am-int-a(j)","vud ha ama"
"imperative , URL: /wiki/Imperative_mood#Imperative_mood
","let us love!","ni am-u!","let nus ama!"
"imperative , URL: /wiki/Imperative_mood#Imperative_mood
","love!","am-u!","ama!"
"imperative , URL: /wiki/Imperative_mood#Imperative_mood
","let him love!","li am-u!","let lo ama!"
"Present , URL: /wiki/Present_tense
continuous , URL: /wiki/Continuous_tense
","is (am, are) loving","est-as am-ant-a(j)","es ama-nt"
"Future , URL: /wiki/Future_tense
continuous , URL: /wiki/Continuous_tense
","shall (will) be loving","est-os am-ant-a(j)","sal es ama-nt"
"Past , URL: /wiki/Past_tense
continuous , URL: /wiki/Continuous_tense
","was (were) loving","est-is am-ant-a(j)","did es (es-ed) ama-nt"
