"","Creator","Released","Latest version","USD , URL: /wiki/United_States_dollar
","License , URL: /wiki/Software_license
","Supported OS (without emulation)"
"CorelDRAW , URL: /wiki/CorelDRAW
","Corel , URL: /wiki/Corel
","1989","2020","$449, $169 upgrade","Proprietary , URL: /wiki/Proprietary_software
","Windows"
"Easy Trace , URL: /w/index.php?title=Easy_Trace&action=edit&redlink=1
","Easy Trace Group","2015","12.0","960 €, 480 € upgrade, Version 7.99 and 8.65 free","Proprietary , URL: /wiki/Proprietary_software
","Windows"
"Adobe Illustrator , URL: /wiki/Adobe_Illustrator
","Adobe Systems , URL: /wiki/Adobe_Systems
","1985","24.1.0 (CC2020)","$19.99 per month","Proprietary , URL: /wiki/Proprietary_software
","Windows, macOS"
"Graphic Tracer Professional","GraphicPowers.com","2016","release 5","$15 per month/ $120 per year","Proprietary , URL: /wiki/Proprietary_software
","Windows, macOS due fall 2017"
"Inkscape , URL: /wiki/Inkscape
","Inkscape.org","2003","0.92.5 1.02","free","GPL , URL: /wiki/GNU_General_Public_License
","Windows, macOS, Linux"
"ImageTracer","András Jankovics","2015","1.2.6 (2020)","free","Public domain , URL: /wiki/Public_domain
","Cross-platform , URL: /wiki/Cross-platform
JavaScript , URL: /wiki/JavaScript
Java , URL: /wiki/Java_(programming_language)
"
"Potrace , URL: /wiki/Potrace
","Peter Selinger","2001","1.16 (Sep. 2019)","free","GPL , URL: /wiki/GNU_General_Public_License
","Cross-platform , URL: /wiki/Cross-platform
POSIX , URL: /wiki/POSIX
"
"Scan2CAD , URL: /wiki/Scan2CAD
","Avia Systems","1997","v10.4","$49 - $149 /month","Proprietary , URL: /wiki/Proprietary_software
","Windows, macOS"
"WinTopo Freeware","SoftSoft Ltd","1999","2015 (v1.76)","free","Freeware , URL: /wiki/Freeware
","Windows"
"WinTopo Pro","SoftSoft Ltd","2000","2015 (v3.6)","$299","Proprietary , URL: /wiki/Proprietary_software
","Windows"
"Xara Photo & Graphic Designer , URL: /wiki/Xara_Photo_%26_Graphic_Designer
","Xara , URL: /wiki/Xara
","1994","2018 (v16)","$89.99","Proprietary , URL: /wiki/Proprietary_software
","Windows"
"Super Vectorizer","Effectmatrix Ltd. , URL: /w/index.php?title=Effectmatrix_Ltd.&action=edit&redlink=1
","2013","2016 (v1.6.6)","$29.99","Proprietary , URL: /wiki/Proprietary_software
","macOS"
"AutoTrace","Martin Weber","1998","2002 (v0.31.1)","free","GPL , URL: /wiki/GNU_General_Public_License
","Cross-platform , URL: /wiki/Cross-platform
POSIX , URL: /wiki/POSIX
Unix-like , URL: /wiki/Unix-like
"
"","Creator","Released","Latest version","USD , URL: /wiki/United_States_dollar
","License , URL: /wiki/Software_license
","Supported OS (without emulation)"
