"null","null","null","null","null","null","null","null","null","null","null","null","null"
".mkv, .mk3d[E]","CoreCodec[F]","2002-12-06","Freely licensed[G]","Yes[H]","Yes[H]","Yes[I]","Yes[J]","Yes[13]","Yes[14]","Yes[15]","Planned[16]","Yes[15]"
".mp4, m4v[K]","MPEG","2001-10","Patent encumbered[17]","Yes","Yes","Yes","Yes","Yes","Not standard[L]","Yes","Yes","Only at video format level"
".mov, .qt","Apple Inc.","1991-12-02","Proprietary[20]","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Not standard"
".asf, .wmv[M]","Microsoft","1996-09-16","Royalties on codecs[N]","Yes","Yes","Yes","Yes[22]","Yes","Yes","No","No","Not standard"
".avi","Microsoft","1992-11-10","Proprietary[23]","Yes[O]","Yes[P]","Yes","No","Yes","Needs alterations","No","No","No"
".mxf","SMPTE","2004-09-22","Patent-free[24]","Yes","Yes","No","Yes[24]","Yes","No","No","No","Yes[25]"
".m2p, .ps[Q]","MPEG","1993-08","Patent-free[26]","Yes","Yes[R]","Yes","No","No","No","No","No","No"
".ts, .tsv[S][Q]","MPEG","1995-07-10","Patent-free[26]","Yes","Yes","Yes","Yes","No","No","No","No","No"
".m2ts, .mts","BDA","2004-08","Patent encumbered","Yes","Yes","Yes","With DVB[28]","Needs multiple files[T]","Needs multiple files[U]","Needs multiple files[V]","Yes","Needs multiple files[W]"
".vob","DVD Forum","1996-11-01","Patent encumbered","Yes","Yes","Yes","No","No","Needs multiple files[X]","No","Needs multiple files[X]","No"
".evo","DVD Forum","2006-03-31","Patent encumbered[29]","Yes","Yes","Yes","No","No","Needs multiple files[Y]","No","Yes","No"
".3gp","3GPP","2003-04-04","Patent encumbered","Yes","Yes","Yes","Yes[31]","Yes","No","No","No","No"
".3g2","3GPP2","2004-01","Patent encumbered","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
".f4v[Z]","Adobe Inc.","2007-12-03","Patent encumbered","Yes","Yes","Yes","Yes","Yes","Yes[32]","No","No","No"
".flv","Adobe Inc.","2003-09-10","Proprietary[33]","Yes[AA]","Yes","Yes","With RTMP","Yes","Yes[32]","No","No","No"
".ogv, .ogx[AB]","Xiph.Org","2003-05","Open source[38]","Yes","Yes","Yes","Yes[39]","Yes[40]","As Vorbis comments[AC]","No","No","No"
".webm","Google","2010-05-18","Royalty-free[42]","Yes","Yes","Yes","Yes","Yes[43]","Yes[43]","No[43]","No[43]","Yes[AD]"
".rmvb","RealNetworks","2003","Proprietary","Yes","Yes","Yes","Yes","Yes[44]","No","No","No","No"
".divx","DivX, Inc.","2005-06-15","Proprietary","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No"
