"Tone name","Yin level 陰平(1)","Yin rising 陰上(2)","Yin departing 陰去(3)","Yin entering 陰入(4)","Yang level 陽平(5)","Yang rising 陽上(6)","Yang departing 陽去(7)","Yang entering 陽入(8)","High rising (9)","Neutral tone (0)"
"IPA , URL: /wiki/International_Phonetic_Alphabet
","a˥","a˥˧","a˨˩","ap˩ at˩ ak˩ aʔ˩","a˧˥","","a˧","ap˥ at˥ ak˥ aʔ˥","a˥˥","a˨"
"Pe̍h-ōe-jī , URL: /wiki/Pe%CC%8Dh-%C5%8De-j%C4%AB
","a","á","à","ap at ak ah","â","","ā","a̍p a̍t a̍k a̍h","","--a"
"TLPA , URL: /wiki/Taiwanese_Language_Phonetic_Alphabet
TLPA , URL: /wiki/Taiwanese_Language_Phonetic_Alphabet
","a1","a2","a3","ap4 at4 ak4 ah4","a5","a6","a7","ap8 at8 ak8 ah8","a9","a0"
"BP , URL: /wiki/Bb%C3%A1nl%C3%A1m_H%C5%8Dngggi%C3%A1n_P%C4%ABny%C4%ABn_H%C5%8Dng%C3%A0n
","ā","ǎ","à","āp āt āk āh","á","","â","áp át ák áh","",""
"MLT , URL: /wiki/Modern_Literal_Taiwanese
","af","ar","ax","ab ad ag aq","aa","aar","a","ap at ak ah","","~a"
"DT , URL: /wiki/Daighi_tongiong_pingim
","a","à","â","āp āt āk āh","ǎ","","ā","ap at ak ah","á","å"
"Taiwanese kana , URL: /wiki/Taiwanese_kana
","アア","
URL: /wiki/File:Taiwanese_kana_normal_tone_2.png
//upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Taiwanese_kana_normal_tone_2.png/15px-Taiwanese_kana_normal_tone_2.png
","
URL: /wiki/File:Taiwanese_kana_normal_tone_3.png
//upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Taiwanese_kana_normal_tone_3.png/15px-Taiwanese_kana_normal_tone_3.png
","
URL: /wiki/File:Taiwanese_kana_normal_tone_4.png
//upload.wikimedia.org/wikipedia/commons/thumb/6/68/Taiwanese_kana_normal_tone_4.png/15px-Taiwanese_kana_normal_tone_4.png

URL: /wiki/File:Taiwanese_kana_normal_tone_4.png
//upload.wikimedia.org/wikipedia/commons/thumb/6/68/Taiwanese_kana_normal_tone_4.png/15px-Taiwanese_kana_normal_tone_4.png

URL: /wiki/File:Taiwanese_kana_normal_tone_4.png
//upload.wikimedia.org/wikipedia/commons/thumb/6/68/Taiwanese_kana_normal_tone_4.png/15px-Taiwanese_kana_normal_tone_4.png

URL: /wiki/File:Taiwanese_kana_normal_tone_4.png
//upload.wikimedia.org/wikipedia/commons/thumb/6/68/Taiwanese_kana_normal_tone_4.png/15px-Taiwanese_kana_normal_tone_4.png
","
URL: /wiki/File:Taiwanese_kana_normal_tone_5.png
//upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Taiwanese_kana_normal_tone_5.png/15px-Taiwanese_kana_normal_tone_5.png
","","
URL: /wiki/File:Taiwanese_kana_normal_tone_7.png
//upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Taiwanese_kana_normal_tone_7.png/15px-Taiwanese_kana_normal_tone_7.png
","
URL: /wiki/File:Taiwanese_kana_normal_tone_8.png
//upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Taiwanese_kana_normal_tone_8.png/15px-Taiwanese_kana_normal_tone_8.png

URL: /wiki/File:Taiwanese_kana_normal_tone_8.png
//upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Taiwanese_kana_normal_tone_8.png/15px-Taiwanese_kana_normal_tone_8.png

URL: /wiki/File:Taiwanese_kana_normal_tone_8.png
//upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Taiwanese_kana_normal_tone_8.png/15px-Taiwanese_kana_normal_tone_8.png

URL: /wiki/File:Taiwanese_kana_normal_tone_8.png
//upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Taiwanese_kana_normal_tone_8.png/15px-Taiwanese_kana_normal_tone_8.png
","",""
"Taiwanese kana , URL: /wiki/Taiwanese_kana
","
URL: /wiki/File:Taiwanese_kana_nasal_tone_1.png
//upload.wikimedia.org/wikipedia/commons/thumb/d/da/Taiwanese_kana_nasal_tone_1.png/15px-Taiwanese_kana_nasal_tone_1.png
","
URL: /wiki/File:Taiwanese_kana_nasal_tone_2.png
//upload.wikimedia.org/wikipedia/commons/thumb/4/45/Taiwanese_kana_nasal_tone_2.png/15px-Taiwanese_kana_nasal_tone_2.png
","
URL: /wiki/File:Taiwanese_kana_nasal_tone_3.png
//upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Taiwanese_kana_nasal_tone_3.png/15px-Taiwanese_kana_nasal_tone_3.png
","
URL: /wiki/File:Taiwanese_kana_nasal_tone_4.png
//upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Taiwanese_kana_nasal_tone_4.png/15px-Taiwanese_kana_nasal_tone_4.png

URL: /wiki/File:Taiwanese_kana_nasal_tone_4.png
//upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Taiwanese_kana_nasal_tone_4.png/15px-Taiwanese_kana_nasal_tone_4.png

URL: /wiki/File:Taiwanese_kana_nasal_tone_4.png
//upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Taiwanese_kana_nasal_tone_4.png/15px-Taiwanese_kana_nasal_tone_4.png

URL: /wiki/File:Taiwanese_kana_nasal_tone_4.png
//upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Taiwanese_kana_nasal_tone_4.png/15px-Taiwanese_kana_nasal_tone_4.png
","
URL: /wiki/File:Taiwanese_kana_nasal_tone_5.png
//upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Taiwanese_kana_nasal_tone_5.png/15px-Taiwanese_kana_nasal_tone_5.png
","","
URL: /wiki/File:Taiwanese_kana_nasal_tone_7.png
//upload.wikimedia.org/wikipedia/commons/thumb/5/59/Taiwanese_kana_nasal_tone_7.png/15px-Taiwanese_kana_nasal_tone_7.png
","
URL: /wiki/File:Taiwanese_kana_nasal_tone_8.png
//upload.wikimedia.org/wikipedia/commons/thumb/9/98/Taiwanese_kana_nasal_tone_8.png/15px-Taiwanese_kana_nasal_tone_8.png

URL: /wiki/File:Taiwanese_kana_nasal_tone_8.png
//upload.wikimedia.org/wikipedia/commons/thumb/9/98/Taiwanese_kana_nasal_tone_8.png/15px-Taiwanese_kana_nasal_tone_8.png

URL: /wiki/File:Taiwanese_kana_nasal_tone_8.png
//upload.wikimedia.org/wikipedia/commons/thumb/9/98/Taiwanese_kana_nasal_tone_8.png/15px-Taiwanese_kana_nasal_tone_8.png

URL: /wiki/File:Taiwanese_kana_nasal_tone_8.png
//upload.wikimedia.org/wikipedia/commons/thumb/9/98/Taiwanese_kana_nasal_tone_8.png/15px-Taiwanese_kana_nasal_tone_8.png
","",""
"Extended , URL: /wiki/Taiwanese_Phonetic_Symbols
bopomofo , URL: /wiki/Bopomofo
","ㄚ","ㄚˋ","ㄚ˪","ㄚㆴ ㄚㆵ ㄚㆶ ㄚㆷ","ㄚˊ","","ㄚ˫","ㄚㆴ˙ ㄚㆵ˙ ㄚㆶ˙ ㄚㆷ˙","",""
"Tâi-lô , URL: /wiki/Taiwanese_Romanization_System
","a","á","à","ah","â","ǎ","ā","a̍h","a̋","--ah"
