"Product","Highlight","Annotate","Edit meta-data","Online dictionary","Offline dictionary","Lookup Wikipedia","Translate","Share","TTS support (read aloud)","DRM support","Export to iTunes"
"Apabi Reader , URL: /w/index.php?title=Apabi_Reader&action=edit&redlink=1
","No","No","No","No","No","No","No","Two Chinese websites only","No","No","Yes"
"Blio , URL: /wiki/Blio
","Yes","Yes","No","Yes","Yes","Yes","No","No","Yes","No","Yes"
"Bluefire Reader , URL: /wiki/Bluefire_Reader
","Yes","Yes","Author, Title, Publisher","Yes","No","No","No","Facebook, Twitter, eMail","No","Yes","Yes"
"BookFusion , URL: /w/index.php?title=BookFusion&action=edit&redlink=1
","Yes","Yes","Yes","No","No","No","No","Yes","No","Yes","Yes"
"DL Reader , URL: /w/index.php?title=DL_Reader&action=edit&redlink=1
","Yes","Yes","Author, Title, Publisher","No","No","No","Yes","No","No","Adobe DRM","Yes"
"eBookMobi , URL: /w/index.php?title=EBookMobi&action=edit&redlink=1
","No","No","No","No","Yes","No","Yes","eMail","No","No","Yes"
"Ebook Reader , URL: /w/index.php?title=Ebook_Reader&action=edit&redlink=1
","Yes","Yes","No","No","No","No","No","Facebook, Twitter, eMail, Google+","No","Adobe DRM","Yes"
"i2Reader , URL: /w/index.php?title=I2Reader&action=edit&redlink=1
","No","No","No","No","Yes","No","No","eMail","No","No","Yes"
"Apple Books , URL: /wiki/Apple_Books
","Yes","Yes","No","Yes","Yes","Yes","No","Facebook, Twitter, eMail, SMS","yes, via VoiceOver","Apple FairPlay , URL: /wiki/FairPlay
","Yes"
"Kindle , URL: /wiki/Amazon_Kindle#Kindle_applications
","Yes","Yes","No","Yes","Yes","Yes","No","Facebook, Twitter","No","Yes","Yes"
"Kobo Reading App , URL: /wiki/Kobo_eReader
","Yes","Yes","No","Yes","No","Yes","No","Facebook, Twitter","No","Yes","Yes"
"KyBook","Yes","Yes","Yes","No","Yes","Yes","Yes","Facebook, Twitter, eMail, VKontakte","Yes","No","Yes"
"KyBook 2","Yes","Yes","No","Yes","Yes","Yes","Facebook, Twitter, eMail, VKontakte","Yes","No","Yes","Yes"
"MapleRead","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes"
"Marvin","Yes","Yes","Yes","Yes","Yes","Yes","No","Facebook, Twitter, eMail, customizable","Yes","No","Yes"
"MegaReader , URL: /w/index.php?title=MegaReader&action=edit&redlink=1
","No","No","No","No","No","No","No","No","No","No","Yes"
"PocketBook reader , URL: /w/index.php?title=PocketBook_reader&action=edit&redlink=1
","Yes","Yes","No","Yes","Yes","Yes","No","Facebook, Twitter, eMail, SMS","No","Yes","Yes"
"ShuBook 2 , URL: /w/index.php?title=ShuBook_2&action=edit&redlink=1
","No","No","Author, Title, Label","No","Yes","No","No","Whole book only, eMail","No","No","Yes"
"SideBooks , URL: /w/index.php?title=SideBooks&action=edit&redlink=1
","Yes","Yes","No","No","No","No","No","No","No","No","Yes"
"Stanza , URL: /wiki/Lexcycle_Stanza
","No","Yes","Yes","No","Yes","No","No","Facebook, Twitter, eMail","No","No","Yes"
"uBooks XL , URL: /w/index.php?title=UBooks_XL&action=edit&redlink=1
","Yes","No","Yes","No","No","No","Yes","eMail","No","No","Yes"
"iBouquiniste , URL: /w/index.php?title=IBouquiniste&action=edit&redlink=1
","No","No","No","No","No","Yes","Yes","eMail","Yes","No","Yes"
"Product","Highlight","Annotate","Edit meta-data","Online dictionary","Offline dictionary","Lookup Wikipedia","Translate","Share","TTS support (read aloud)","DRM support","Export to iTunes"
