"Software","APA , URL: /wiki/APA_style
","Chicago , URL: /wiki/The_Chicago_Manual_of_Style
Turabian , URL: /wiki/Turabian
","Harvard , URL: /wiki/Harvard_referencing
","MLA , URL: /wiki/MLA_Style_Manual
","Other","Extension method"
"Bebop","No","No","No","No","none","none"
"BibBase","Yes","No","No","No","none","none"
"BibDesk","Yes","yes , URL: https://sourceforge.net/p/bibdesk/wiki/Templates/
","No","No","various , URL: http://bibdesk.sourceforge.net/wiki/index.php/Export_Templates
","BibDesk export templates"
"Biblioscape","Yes","Yes","Yes","Yes","2000+ styles[citation needed]","GUI , URL: /wiki/GUI
"
"BibSonomy","Yes","No","Yes","No","none","none"
"Bibus","Yes","No","No","No","56 styles, user-contributed , URL: http://bibus-biblio.sourceforge.net/wiki/index.php/Styles_repository
","GUI , URL: /wiki/GUI
"
"Bookends","Yes","Yes","Yes","Yes","various[citation needed]","?"
"Citavi","Yes","Yes","Yes","Yes","requested , URL: http://www.citavi.com/stylerequest
centrally corrected , URL: http://www.citavi.com/styleproblem
BibTeX , URL: /wiki/BibTeX
","GUI , URL: /wiki/GUI
BibTeX , URL: /wiki/BibTeX
"
"CiteULike","Yes","Yes","Yes","Yes","various[citation needed]","none"
"colwiz","Yes","Yes","Yes","Yes","9464 styles , URL: https://www.zotero.org/styles
","CSL , URL: /wiki/Citation_Style_Language
"
"EndNote","Yes","Yes","Yes","Yes","6926 styles , URL: https://endnote.com/downloads/styles/
","GUI , URL: /wiki/GUI
"
"JabRef","Yes","Yes","Yes","Yes","BibTeX , URL: /wiki/BibTeX
","BibTeX , URL: /wiki/BibTeX
"
"KBibTeX","Yes","Yes","Yes","Yes","BibTeX , URL: /wiki/BibTeX
","BibTeX , URL: /wiki/BibTeX
"
"Mendeley","Yes","Yes","Yes","Yes","9464 styles , URL: https://www.zotero.org/styles
","CSL , URL: /wiki/Citation_style_language
"
"Paperpile","Yes","Yes","Yes","Yes","9464 styles , URL: https://www.zotero.org/styles
","CSL , URL: /wiki/Citation_style_language
"
"Pybliographer","Yes","No","No","No","none","XML , URL: /wiki/XML
"
"Qiqqa","Yes","Yes","Yes","Yes","9464 styles , URL: https://www.zotero.org/styles
","BibTeX , URL: /wiki/BibTeX
CSL , URL: /wiki/Citation_style_language
"
"ReadCube (now Papers)","Yes","Yes","Yes","Yes","9464 styles , URL: https://www.zotero.org/styles
","BibTeX , URL: /wiki/BibTeX
CSL , URL: /wiki/Citation_style_language
"
"refbase","Yes","Yes","Yes","Yes","various polar & marine journals","PHP , URL: /wiki/PHP
"
"RefDB","Yes","Yes","Yes","Yes","21 biomedical & law journals , URL: http://refdb.sourceforge.net/styles.html
","XML (citestylex.dtd), interactive script"
"Reference Manager","Yes","Yes","Yes","Yes","various","GUI , URL: /wiki/GUI
"
"Referencer","?","?","?","?","?","?"
"RefME","?","?","?","?","?","?"
"RefWorks","Yes","Yes","Yes","Yes","4256 , URL: https://www.refworks.com/content/products/output_style.asp
","GUI , URL: /wiki/GUI
CSL , URL: /wiki/Citation_Style_Language
"
"SciRef","Yes","Yes","Yes","Yes","various , URL: http://sci-progs.com/help/index.html?adding_of_new_styles.htm
","GUI , URL: /wiki/GUI
"
"Sente","Yes","Yes","Yes","Yes","various , URL: http://www.thirdstreetsoftware.com/downloads/SenteUserManual/Sente-6.6-User-Manual.pdf
","GUI , URL: /wiki/GUI
"
"Wikindx","Yes","Yes","Yes","Yes","BMJ , URL: /wiki/British_Medical_Journal
IEEE , URL: /wiki/IEEE
","GUI , URL: /wiki/GUI
"
"WizFolio","Yes","Yes","Yes","Yes","1000+ styles , URL: https://help.wizfolio.com/Contents/WizCite_Intro.aspx
","GUI , URL: /wiki/GUI
"
"Zotero","Yes","Yes","Yes","Yes","9464 styles , URL: https://www.zotero.org/styles
edited and requested , URL: https://www.zotero.org/support/styles
","CSL , URL: /wiki/Citation_style_language
"
