"","","","","","Web-related","Web-related","Web-related","Web-related"
"Name","Conditional compilation","Sockets","Multi-threading","Tabling","HTTP client","HTTP server","HTML Parser","RDF Triple store"
"BProlog , URL: /wiki/BProlog
","","","","Yes","","","",""
"Ciao , URL: /wiki/Ciao_(programming_language)
","Yes","Yes","Yes","Yes","Yes","Yes","Yes",""
"ECLiPSe , URL: /wiki/ECLiPSe
","Yes","Yes","Yes","","Yes","","Yes",""
"GNU Prolog , URL: /wiki/GNU_Prolog
","","Yes","","","","","",""
"LPA-Prolog , URL: /w/index.php?title=LPA-Prolog&action=edit&redlink=1
","","Yes","","","Yes","Yes","Yes",""
"SICStus Prolog , URL: /wiki/SICStus_Prolog
","Yes","Yes","Yes","","","","",""
"SWI-Prolog , URL: /wiki/SWI-Prolog
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Visual Prolog , URL: /wiki/Visual_Prolog
","Yes","Yes","Yes","","Yes","Yes","Yes",""
"XSB , URL: /wiki/XSB
","Yes","Yes","Yes","Yes","Yes","","",""
"YAP-Prolog , URL: /wiki/YAP-Prolog
","Yes","Yes","Yes","Yes","","","",""
