"Language , URL: /wiki/Language
","Default base index , URL: /wiki/Array_data_type#Index_origin
","Specifiable index type[13]","Specifiable base index","Bound check , URL: /wiki/Bounds_checking
","Multidimensional , URL: /wiki/Array_data_type#Multi-dimensional_arrays
","Dynamically-sized","Vectorized operations , URL: /wiki/Array_programming
"
"Ada , URL: /wiki/Ada_(programming_language)
","index type[14]","yes","yes","checked","yes","init[15]","some, others definable[16]"
"ALGOL 68 , URL: /wiki/ALGOL_68
","1","no[17]","yes","varies","yes","yes","user definable"
"APL , URL: /wiki/APL_(programming_language)
","1","?","0 or 1[18]","checked","yes","yes","yes"
"AWK , URL: /wiki/AWK
","1","yes, implicitly","no","unchecked","yes, as delimited string","yes, rehashed","no"
"BASIC , URL: /wiki/BASIC
","0","?","no","checked","no","init[15]","?"
"C , URL: /wiki/C_(programming_language)
","0","no","no[19]","unchecked","partially","init,[15][20] heap[21]","no"
"Ch , URL: /wiki/Ch_(computer_programming)
","0","no","no","checked","yes, also array of array[22]","init,[15][20] heap[21]","yes"
"C++ , URL: /wiki/C%2B%2B
","0","no","no[19]","unchecked","yes, also array of array[22]","heap[21]","no"
"C# , URL: /wiki/C_Sharp_(programming_language)
","0","no","partial[23]","checked","yes","heap[21][24]","LINQ , URL: /wiki/LINQ
"
"CFML , URL: /wiki/CFML
","1","no","no","checked","yes, also array of array[22]","yes","no"
"COBOL , URL: /wiki/COBOL
","1","no[25]","no","checked","array of array[22][26]","no[27]","some intrinsics"
"Cobra , URL: /wiki/Cobra_(programming_language)
","0","no","no","checked","array of array[22]","heap","?"
"Common Lisp , URL: /wiki/Common_Lisp
","0","?","no","checked[28]","yes","yes","yes (map or map-into)"
"D , URL: /wiki/D_(programming_language)
","0","yes[29]","no","varies[30]","yes","yes","?"
"F# , URL: /wiki/F_Sharp_(programming_language)
","0","no","partial[23]","checked","yes","heap[21][24]","yes (map)"
"FreeBASIC , URL: /wiki/FreeBASIC
","0","no","yes","checked","yes","init,[15] init[31]","?"
"Fortran , URL: /wiki/Fortran
","1","yes","yes","varies[32]","yes","yes","yes"
"FoxPro , URL: /wiki/FoxPro
","1","?","no","checked","yes","yes","?"
"Go , URL: /wiki/Go_(programming_language)
","0","no","no","checked","array of array[22]","no[33]","no"
"Hack , URL: /wiki/Hack_(programming_language)
","0","yes","yes","checked","yes","yes","yes"
"Haskell , URL: /wiki/Haskell_(programming_language)
","0","yes[34]","yes","checked","yes, also array of array[22]","init[15]","?"
