"Tax Year 2022","401(k) , URL: /wiki/401(k)
","Roth 401(k) , URL: /wiki/Roth_401(k)
","Traditional IRA , URL: /wiki/Traditional_IRA
","Roth IRA , URL: /wiki/Roth_IRA
"
"Tax benefit","Capital gains, dividends, and interest within account incur no tax liability.","Capital gains, dividends, and interest within account incur no tax liability.","Capital gains, dividends, and interest within account incur no tax liability.","Capital gains, dividends, and interest within account incur no tax liability."
"Subjected taxes","pre-tax , URL: /wiki/Above_the_line_deduction
ordinary income , URL: /wiki/Ordinary_income
","post-tax , URL: /wiki/Taxable_income
","deductible , URL: /wiki/Tax_deduction
","Contributions are post-tax. Qualified distributions are not taxable."
"Employer or Individual","sole proprietor , URL: /wiki/Sole_proprietorship
","sole proprietor , URL: /wiki/Sole_proprietorship
","Individual sets up this plan.","Individual sets up this plan."
"Contribution Limits","Employee contribution limit of $20,500/yr for under 50; $27,000/yr for age 50 or above in 2022; limits are a total of pre-tax Traditional 401(k) and Roth 401(k) contributions.[4] Total employee (including after-tax Traditional 401(k)) and employer combined contributions must be lesser of 100% of employee's salary or $58,000 ($64,500 for age 50 or above). There is no income cap for this investment class.","Employee contribution limit of $20,500/yr for under 50; $27,000/yr for age 50 or above in 2022; limits are a total of pre-tax Traditional 401(k) and Roth 401(k) contributions.[4] Total employee (including after-tax Traditional 401(k)) and employer combined contributions must be lesser of 100% of employee's salary or $58,000 ($64,500 for age 50 or above). There is no income cap for this investment class.","$6,000/yr for age 49 or below; $7,000/yr for age 50 or above in 2022; limits are total for traditional IRA and Roth IRA contributions combined. Cannot contribute more than annual earned income. For direct contributions to Roth IRAs, contribution limit is reduced in a ""phase-out"" range, for single MAGI > $129,000 and joint MAGI > $204,000[5] (For this purpose, however, MAGI excludes any Roth conversions.[6]) Contribution limit does not apply to conversions from traditional IRA (or qualified employer plans) to Roth IRA.","$6,000/yr for age 49 or below; $7,000/yr for age 50 or above in 2022; limits are total for traditional IRA and Roth IRA contributions combined. Cannot contribute more than annual earned income. For direct contributions to Roth IRAs, contribution limit is reduced in a ""phase-out"" range, for single MAGI > $129,000 and joint MAGI > $204,000[5] (For this purpose, however, MAGI excludes any Roth conversions.[6]) Contribution limit does not apply to conversions from traditional IRA (or qualified employer plans) to Roth IRA."
"Contribution notes","","Effective limit is higher compared to traditional 401(k) as the contributions are post-tax.","","Effective limit is higher compared to traditional IRA as the contributions are post-tax."
"Matching Contributions","Matching contributions available from some employers.","Matching contributions available through some employers, but they must sit in a pretax account.[7]","No matching contributions available.","No matching contributions available."
"Deduction Limits","HCE , URL: /wiki/401(k)#Highly_compensated_employees_(HCE)
","HCE , URL: /wiki/401(k)#Highly_compensated_employees_(HCE)
","tax filing status , URL: /wiki/Filing_Status_(federal_income_tax)
full rules , URL: /wiki/Traditional_IRA#Income_limits
","full rules , URL: /wiki/Roth_IRA#Income_limits
Backdoor Roth IRA Contributions , URL: /wiki/Roth_IRA#Traditional_IRA_conversion_as_a_workaround_to_Roth_IRA_income_limits
"
"","401(k) , URL: /wiki/401(k)
","Roth 401(k) , URL: /wiki/Roth_401(k)
","Traditional IRA , URL: /wiki/Traditional_IRA
","Roth IRA , URL: /wiki/Roth_IRA
"
"Distributions","Distributions can begin at age 59½ or if owner becomes disabled.","Distributions can begin at age 59½ and the account has been open for at least 5 years, or if owner becomes disabled, with some exceptions.","Distributions can begin at age 59½ or if owner becomes disabled.","Distributions can begin at age 59½ as long as contributions are ""seasoned"" (5 years from January 1 of the year the first contribution was made) or owner becomes disabled."
"Forced Distributions","Must start withdrawing funds at age 72 unless employee is still employed with employer setting up the 401(k), and not a 5% owner. Penalty is 50% of minimum distribution.","Must start withdrawing funds at age 72 unless employee is still employed with employer setting up the 401(k), and not a 5% owner. Penalty is 50% of minimum distribution.","Must start withdrawing funds at age 72. Penalty is 50% of minimum distribution.","None."
"Loans","When still employed with employer setting up the 401(k), loans may be available depending upon the plan, not more than 50% of balance or $50,000.","When still employed with employer setting up the 401(k), loans may be available depending upon the plan, not more than 50% of balance or $50,000.","No","No"
"Early Withdrawal","Generally no when still employed with employer setting up the 401(k). Otherwise, 10% penalty plus taxes. There are some exceptions to this penalty.[8]","Generally no when still employed with employer setting up the 401(k). Otherwise, taxes on the earnings, plus 10% penalty on taxable part of distribution and taxable part of unseasoned conversions. There are some exceptions to this penalty.","10% penalty plus taxes for distributions before age 59½ with exceptions.","Principal of contributions and seasoned conversions can be withdrawn at any time without tax or penalty. Additional amounts are subject to normal income taxes and 10% penalty if not qualified distributions."
"Home Down Payment","Purchase of primary residence and avoidance of foreclosure or eviction of primary residence, subject to 10% penalty, if hardship withdrawals are available in the plan.[9]","If your plan permits distributions from accounts because of hardship, you may choose to receive a hardship distribution from your designated Roth account. The hardship distribution will consist of a pro-rata share of earnings and basis and the earnings portion will be included in gross income unless you have had the designated Roth account for 5 years and are either disabled or over age 59 ½.","Can withdraw up to $10,000 for a first time home purchase down payment with stipulations.","Up to $10,000 can be used for primary home down payment. Must have held Roth IRA for a minimum of 5 years. Must not have owned a home in previous 24 months. House must be owned by IRA owner or direct linear ancestors or descendants."
"Education Expenses","Payment of secondary educational expenses in last 12 months for employee, spouse, or dependents, subject to 10% penalty, if hardship withdrawals are available in the plan.[9]","If your plan permits distributions from accounts because of hardship, you may choose to receive a hardship distribution from your designated Roth account. The hardship distribution will consist of a pro-rata share of earnings and basis and the earnings portion will be included in gross income unless you have had the designated Roth account for 5 years and are either disabled or over age 59 ½.","Can withdraw for qualified higher education expenses of owner, children, and grandchildren.","Can withdraw for qualified higher education expenses of owner, children, and grandchildren."
"Medical Expenses","Medical expenses not covered by insurance for employee, spouse, or dependents, subject to 10% penalty, if hardship withdrawals are available in the plan. Medical expenses in excess of 7.5% of your adjusted gross income may be exempt to the 10% penalty.[9]","If your plan permits distributions from accounts because of hardship, you may choose to receive a hardship distribution from your designated Roth account. The hardship distribution will consist of a pro-rata share of earnings and basis and the earnings portion will be included in gross income unless you have had the designated Roth account for 5 years and are either disabled or over age 59 ½.","Can withdraw for qualified unreimbursed medical expenses that are more than 7.5% of AGI; medical insurance during period of unemployment; during disability.","Can withdraw for qualified unreimbursed medical expenses that are more than 7.5% of AGI; medical insurance during period of unemployment; during disability."
"","401(k) , URL: /wiki/401(k)
","Roth 401(k) , URL: /wiki/Roth_401(k)
","Traditional IRA , URL: /wiki/Traditional_IRA
","Roth IRA , URL: /wiki/Roth_IRA
"
"Conversions and Rollovers","Upon termination of employment (or in some plans, even while in service), can be rolled to IRA or Roth IRA. When rolled to a Roth IRA, taxes need to be paid during the year of the conversion.","Cannot be converted to a traditional 401(k), but upon termination of employment (or in some plans, even while in service), can be rolled into Roth IRA.","backdoor Roth IRA contributions , URL: /wiki/Roth_IRA#Traditional_IRA_conversion_as_a_workaround_to_Roth_IRA_income_limits
",""
"Changing Institutions","Can roll over to another employer's 401(k) plan or to a rollover IRA at an independent institution.","Can roll over to another employer's Roth 401(k) plan or to a Roth IRA at an independent institution.","Funds can be either transferred to another institution or they can be sent to the owner of the traditional IRA who has 60 days to put the money in another institution in a rollover contribution to another traditional IRA.[10]","Funds can be either transferred to another institution or they can be sent to the owner of the traditional IRA who has 60 days to put the money in another institution in a rollover contribution to another traditional IRA.[10]"
"Beneficiaries","For married persons, federal law dictates that the beneficiary of any form of 401(k) automatically be the surviving spouse. A different party may be named beneficiary, however, provided the surviving-spouse-to-be has consented and the consent is in written form. For single persons, any party may be named beneficiary; however, if no beneficiary is named, then it defaults to the decedent's estate.","For married persons, federal law dictates that the beneficiary of any form of 401(k) automatically be the surviving spouse. A different party may be named beneficiary, however, provided the surviving-spouse-to-be has consented and the consent is in written form. For single persons, any party may be named beneficiary; however, if no beneficiary is named, then it defaults to the decedent's estate.","When owner dies, spouse as beneficiary can roll both accounts into one IRA account. Other beneficiaries will be subject to forced distributions (taxable) over a ten-year period. Beneficiaries will not pay estate tax if the inheritance is under the exemption amount.","When owner dies, spouse as beneficiary can roll both accounts into one IRA account. Other beneficiaries will be subject to forced distributions (taxable) over a ten-year period. Beneficiaries will not pay estate tax if the inheritance is under the exemption amount."
"Protection","Account is protected from bankruptcy and creditors (with limited exceptions, e.g. IRS).","Account is protected from bankruptcy and creditors (with limited exceptions, e.g. IRS).","Account is protected from bankruptcy up to $1,362,800.[11] Protection from creditors varies by state (from none to full protection).","Account is protected from bankruptcy up to $1,362,800.[11] Protection from creditors varies by state (from none to full protection)."
"","401(k) , URL: /wiki/401(k)
","Roth 401(k) , URL: /wiki/Roth_401(k)
","Traditional IRA , URL: /wiki/Traditional_IRA
","Roth IRA , URL: /wiki/Roth_IRA
"
