"v t e AMD processors","v t e AMD processors","v t e AMD processors"
"Lists","Microprocessors Microarchitectures Chipsets Sockets Duron Athlon XP Athlon 64 X2 Sempron Phenom Ryzen Turion Opteron FX APUs","Microprocessors Microarchitectures Chipsets Sockets Duron Athlon XP Athlon 64 X2 Sempron Phenom Ryzen Turion Opteron FX APUs"
"Microarchitectures , URL: 
","IA-32 , URL: /wiki/IA-32
32-bit , URL: /wiki/32-bit
","K5 K6 Athlon/K7"
"Microarchitectures , URL: 
","x86-64 desktop","K8 K9 K10 (aka 10h) 15h Bulldozer Piledriver Steamroller Excavator Zen 1st gen Zen+ Zen 2 Zen 3 Zen 4"
"Microarchitectures , URL: 
","x86-64 low-power","Bobcat (aka 14h) 16h Jaguar Puma"
"Microarchitectures , URL: 
","ARM64 , URL: /wiki/ARM_architecture#ARMv8-A
","K12 (aka 12h)"
"Current products","x86-64 , URL: /wiki/X86-64
64-bit , URL: /wiki/64-bit
","Athlon Ryzen Threadripper Epyc"
"Discontinued","16-bit , URL: /wiki/16-bit
","Am286"
"Discontinued","IA-32 , URL: /wiki/IA-32
32-bit , URL: /wiki/32-bit
","Am386 Am486 Am5x86 K5 K6 K6-2 K6-III Athlon XP MP Duron Geode"
"Discontinued","x86-64 , URL: /wiki/X86-64
64-bit , URL: /wiki/64-bit
","Athlon 64 X2 II Sempron Turion Phenom II FX Opteron A-series APUs"
"Discontinued","Other","Am9080 Am2900 list Am29000 Alchemy MIPS32"
"Italics indicates an upcoming architecture.","Italics indicates an upcoming architecture.","Italics indicates an upcoming architecture."
