"Vehicle","Origin","Manufacturer","Mass to ... (kg)","Mass to ... (kg)","Mass to ... (kg)","Launches (+ suborbital)","Date of flight","Date of flight"
"Vehicle","Origin","Manufacturer","LEO , URL: /wiki/Low_Earth_orbit
","GTO , URL: /wiki/Geostationary_transfer_orbit
","Other , URL: /wiki/List_of_orbits
","Launches (+ suborbital)","First","Last"
"Antares 110–130 , URL: /wiki/Antares_(rocket)
","United States , URL: /wiki/United_States
","Orbital , URL: /wiki/Orbital_Sciences_Corporation
","5,100[6]","","1,500 to SSO","5[6]","2013","2014"
"Ariane 1 , URL: /wiki/Ariane_1
","Europe , URL: /wiki/Europe
","Aérospatiale , URL: /wiki/A%C3%A9rospatiale
","","1,830[184]","","11[184]","1979","1986"
"Ariane 2 , URL: /wiki/Ariane_2
","Europe , URL: /wiki/Europe
","Aérospatiale , URL: /wiki/A%C3%A9rospatiale
","","2,270[184]","","6[184]","1986","1989"
"Ariane 3 , URL: /wiki/Ariane_3
","Europe , URL: /wiki/Europe
","Aérospatiale , URL: /wiki/A%C3%A9rospatiale
","","2,650[184]","","11[184]","1984","1989"
"Ariane 4 , URL: /wiki/Ariane_4
","Europe , URL: /wiki/Europe
","Aérospatiale , URL: /wiki/A%C3%A9rospatiale
","4,600[184]","2,105","2,740 to SSO","7[184]","1990","1999"
"Ariane 4 , URL: /wiki/Ariane_4
","Europe , URL: /wiki/Europe
","Aérospatiale , URL: /wiki/A%C3%A9rospatiale
","7,000[184]","3,480","4,500 to SSO","13[184]","1993","2002"
"Ariane 4 , URL: /wiki/Ariane_4
","Europe , URL: /wiki/Europe
","Aérospatiale , URL: /wiki/A%C3%A9rospatiale
","6,000[184]","2,930","3,400 to SSO","15[184]","1990","2002"
"Ariane 4 , URL: /wiki/Ariane_4
","Europe , URL: /wiki/Europe
","Aérospatiale , URL: /wiki/A%C3%A9rospatiale
","7,000[184]","4,720","6,000 to SSO","40[184]","1989","2003"
"Ariane 4 , URL: /wiki/Ariane_4
","Europe , URL: /wiki/Europe
","Aérospatiale , URL: /wiki/A%C3%A9rospatiale
","7,000[184]","4,220","5,000 to SSO","26[184]","1988","2001"
"Ariane 4 , URL: /wiki/Ariane_4
","Europe , URL: /wiki/Europe
","Aérospatiale , URL: /wiki/A%C3%A9rospatiale
","6,500[184]","3,465","4,100 to SSO","15[184]","1991","2001"
"Ariane 5 , URL: /wiki/Ariane_5
","Europe , URL: /wiki/Europe
","EADS Astrium , URL: /wiki/EADS_Astrium_Space_Transportation
","18,000[10]","6,900[10]","","16[10]","1996","2003"
"Ariane 5 , URL: /wiki/Ariane_5
","Europe , URL: /wiki/Europe
","EADS Astrium , URL: /wiki/EADS_Astrium_Space_Transportation
","","7,100[10]","","3[10]","2004","2004"
"Ariane 5 , URL: /wiki/Ariane_5
","Europe , URL: /wiki/Europe
","EADS Astrium , URL: /wiki/EADS_Astrium_Space_Transportation
","16,000[185]","6,600[10]","","6[10]","2005","2009[186]"
"Ariane 5 , URL: /wiki/Ariane_5
","Europe , URL: /wiki/Europe
","EADS Astrium , URL: /wiki/EADS_Astrium_Space_Transportation
","21,000[8]","8,000[10]","","8[10]","2008","2018"
"ASLV , URL: /wiki/Augmented_Satellite_Launch_Vehicle
","India , URL: /wiki/India
","ISRO , URL: /wiki/ISRO
","150[188]","","","4[188]","1987","1994"
