"Calculator","TI-BASIC , URL: /wiki/TI-BASIC
","Native code , URL: /wiki/Machine_code
","Lua , URL: /wiki/Lua_(programming_language)
","Python , URL: /wiki/Python_(programming_language)
"
"
URL: /wiki/File:Ti_73_Graphing_Calculator.jpg
//upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Ti_73_Graphing_Calculator.jpg/50px-Ti_73_Graphing_Calculator.jpg
TI-73, TI-73 Explorer , URL: /wiki/TI-73
","Yes","Yes","No","No"
"
URL: /wiki/File:TI-80.png
//upload.wikimedia.org/wikipedia/commons/thumb/0/0a/TI-80.png/50px-TI-80.png
TI-80 , URL: /wiki/TI-80
","Yes","Only using exploits","No","No"
"
URL: /wiki/File:TI-81.png
//upload.wikimedia.org/wikipedia/commons/thumb/2/2d/TI-81.png/50px-TI-81.png
TI-81 , URL: /wiki/TI-81
","Yes","Only using exploits","No","No"
"
URL: /wiki/File:TI-82.png
//upload.wikimedia.org/wikipedia/commons/thumb/3/34/TI-82.png/65px-TI-82.png
TI-82 , URL: /wiki/TI-82
","Yes","Only using exploits","No","No"
"
URL: /wiki/File:TI-83.png
//upload.wikimedia.org/wikipedia/commons/thumb/4/4d/TI-83.png/50px-TI-83.png
TI-83 , URL: /wiki/TI-83
","Yes","Yes","No","No"
"
URL: /wiki/File:Ti83plus.jpg
//upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Ti83plus.jpg/50px-Ti83plus.jpg
TI-83 Plus , URL: /wiki/TI-83_Plus
","Yes","Yes","No","No"
"
URL: /wiki/File:Ti83-plus-silver.png
//upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Ti83-plus-silver.png/50px-Ti83-plus-silver.png
TI-83 Plus Silver Edition , URL: /wiki/TI-83_Plus_Silver_Edition
","Yes","Yes","No","No"
"
URL: /wiki/File:TI-83_Premium_CE.jpg
//upload.wikimedia.org/wikipedia/commons/thumb/3/38/TI-83_Premium_CE.jpg/45px-TI-83_Premium_CE.jpg
TI-83 Premium CE , URL: /wiki/TI-83_Premium_CE
","Yes","Varies by firmware","No","Only with a TI-Python adapter[15]"
"
URL: /wiki/File:TI-83_Premium_CE_Edition_Python.jpg
//upload.wikimedia.org/wikipedia/commons/thumb/d/dd/TI-83_Premium_CE_Edition_Python.jpg/45px-TI-83_Premium_CE_Edition_Python.jpg
TI-83 Premium CE Edition Python , URL: /wiki/TI-83_Premium_CE
","Yes","Varies by firmware","No","Yes"
"
URL: /wiki/File:TI-84_Plus_plain.jpg
//upload.wikimedia.org/wikipedia/en/thumb/a/a7/TI-84_Plus_plain.jpg/50px-TI-84_Plus_plain.jpg
TI-84 Plus , URL: /wiki/TI-84_Plus
","Yes","Yes","No","No"
"
URL: /wiki/File:TI-84_Plus_Silver_Edition.JPG
//upload.wikimedia.org/wikipedia/commons/thumb/6/62/TI-84_Plus_Silver_Edition.JPG/50px-TI-84_Plus_Silver_Edition.JPG
TI-84 Plus Silver Edition , URL: /wiki/TI-84_Plus_Silver_Edition
","Yes","Yes","No","No"
"
URL: /wiki/File:The_proposed_Ti-84%2B_C_Edition_SE.jpg
//upload.wikimedia.org/wikipedia/commons/thumb/4/44/The_proposed_Ti-84%2B_C_Edition_SE.jpg/50px-The_proposed_Ti-84%2B_C_Edition_SE.jpg
TI-84 Plus C Silver Edition , URL: /wiki/TI-84_Plus_C_Silver_Edition
","Yes","Yes","No","No"
"
URL: /wiki/File:TI-84_Plus_CE_(red).jpg
//upload.wikimedia.org/wikipedia/commons/thumb/d/d0/TI-84_Plus_CE_%28red%29.jpg/50px-TI-84_Plus_CE_%28red%29.jpg
TI-84 Plus CE , URL: /wiki/TI-84_Plus_CE
","Yes","Varies by firmware","No","No"
"TI-84 Plus CE(-T) Python Edition , URL: /w/index.php?title=TI-84_Plus_CE(-T)_Python_Edition&action=edit&redlink=1
","Yes","Varies by firmware","No","Yes"
"
URL: /wiki/File:TI85_graphing_calculator.jpg
//upload.wikimedia.org/wikipedia/commons/thumb/6/66/TI85_graphing_calculator.jpg/50px-TI85_graphing_calculator.jpg
TI-85 , URL: /wiki/TI-85
","Yes","Only using exploits","No","No"
"
URL: /wiki/File:TI-86.jpg
//upload.wikimedia.org/wikipedia/commons/thumb/5/54/TI-86.jpg/50px-TI-86.jpg
TI-86 , URL: /wiki/TI-86
","Yes","Yes","No","No"
"
URL: /wiki/File:TI-89.png
//upload.wikimedia.org/wikipedia/commons/thumb/2/22/TI-89.png/50px-TI-89.png
TI-89 , URL: /wiki/TI-89
","Yes","Yes","No","No"
"
URL: /wiki/File:TI-89Titanium.png
//upload.wikimedia.org/wikipedia/commons/thumb/0/0d/TI-89Titanium.png/50px-TI-89Titanium.png
TI-89 Titanium , URL: /wiki/TI-89_Titanium
","Yes","Yes","No","No"
"
URL: /wiki/File:TI-92.png
//upload.wikimedia.org/wikipedia/commons/thumb/4/48/TI-92.png/80px-TI-92.png

URL: /wiki/File:TI-92-II_1.jpg
//upload.wikimedia.org/wikipedia/commons/thumb/b/b3/TI-92-II_1.jpg/80px-TI-92-II_1.jpg
TI-92, TI-92 II , URL: /wiki/TI-92_series
","Yes","Only using exploits","No","No"
"
URL: /wiki/File:Ti-92plus.jpg
//upload.wikimedia.org/wikipedia/commons/thumb/1/18/Ti-92plus.jpg/80px-Ti-92plus.jpg
TI-92 Plus , URL: /wiki/TI-92_series#TI-92_Plus
","Yes","Yes","No","No"
"
URL: /wiki/File:Voyage200.jpg
//upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Voyage200.jpg/80px-Voyage200.jpg
Voyage 200 , URL: /wiki/TI-92_series#Voyage_200
","Yes","Yes","No","No"
"
URL: /wiki/File:TI-Nspire_CAS_Touchpad.JPG
//upload.wikimedia.org/wikipedia/commons/thumb/d/de/TI-Nspire_CAS_Touchpad.JPG/50px-TI-Nspire_CAS_Touchpad.JPG
TI-Nspire, TI-Nspire CAS , URL: /wiki/TI-Nspire_series
","Yes","Only using exploits","Yes","No"
"
URL: /wiki/File:TI-nspire_CX_CAS.jpg
//upload.wikimedia.org/wikipedia/commons/thumb/4/4c/TI-nspire_CX_CAS.jpg/50px-TI-nspire_CX_CAS.jpg
TI-Nspire CX, TI-Nspire CX CAS , URL: /wiki/TI-Nspire#TI-Nspire_CX_and_TI-Nspire_CX_CAS
","Yes","Only using exploits","Yes","No"
"
URL: /wiki/File:TiNspireCXiiCAS.jpg
//upload.wikimedia.org/wikipedia/commons/thumb/b/ba/TiNspireCXiiCAS.jpg/50px-TiNspireCXiiCAS.jpg
TI-Nspire CX II, TI- Nspire CX CAS II , URL: /wiki/TI-Nspire_series#TI-Nspire_CX_II_and_TI-Nspire_CX_II_CAS
","Yes","Only using exploits","Yes","Yes[16]"
