"Licence and version","FSF , URL: /wiki/Free_Software_Foundation
","GPL (v3) compatibility , URL: /wiki/GPL_compatibility
","OSI , URL: /wiki/Open_Source_Initiative
","Debian , URL: /wiki/Debian_Project
","Fedora , URL: /wiki/Fedora_Project
"
"Academic Free License , URL: /wiki/Academic_Free_License
","Yes","No","Yes","No","Yes"
"Affero General Public License , URL: /wiki/Affero_General_Public_License
","Yes","Yes","Yes","Yes","Yes"
"Apache License , URL: /wiki/Apache_License
","Yes","No","Yes","Yes","Yes"
"Apache License , URL: /wiki/Apache_License
","Yes","GPLv3 only[46]","Yes","Yes","Yes"
"Apple Public Source License , URL: /wiki/Apple_Public_Source_License
","No[47]","No","Yes","No","No"
"Apple Public Source License , URL: /wiki/Apple_Public_Source_License
","Yes","No","Yes","No","Yes"
"Artistic License , URL: /wiki/Artistic_License
","No[note 1]","No","Yes","Yes","No"
"Artistic License , URL: /wiki/Artistic_License
","Yes","Yes","Yes","Yes","Yes"
"Beerware License , URL: /wiki/Beerware
","see "informal licence" section[48]","see "informal license" section[48]","No","No","Yes[49]"
"Original BSD license , URL: /wiki/BSD_licenses#4-clause_license_(original_"BSD_License")
","Yes","No","No[50]","Yes","Yes"
"Revised BSD license , URL: /wiki/BSD_licenses#3-clause_license_("BSD_License_2.0",_"Revised_BSD_License",_"New_BSD_License",_or_"Modified_BSD_License")
","Yes","Yes","Yes","Yes","Yes"
"Simplified BSD license , URL: /wiki/BSD_licenses#2-clause_license_("Simplified_BSD_License"_or_"FreeBSD_License")
","Yes","Yes","Yes","Yes","Yes"
"Zero-Clause BSD License , URL: /wiki/BSD_licenses#0-clause_license_("Free_Public_License-1.0.0",_"BSD_Zero_Clause_License",_or_"Zero-Clause_BSD_License")
","?","?","Yes[51]","?","?"
"Boost Software License , URL: /wiki/Boost_Software_License
","Yes","Yes","Yes","Yes","Yes"
"CeCILL , URL: /wiki/CeCILL
","Yes","Yes","Yes","Yes","Yes"
"Common Development and Distribution License , URL: /wiki/Common_Development_and_Distribution_License
","Yes","GPLv3 (GPLv2 disputed)[52][53][54][55][56][57]","Yes","Yes","Yes"
"Common Public License , URL: /wiki/Common_Public_License
","Yes","No","Yes","Yes","Yes"
"Creative Commons Zero , URL: /wiki/Creative_Commons_Zero
","Yes[58]","Yes[58]","No[59]","Partial[60][61]","Yes[62]"
"Creative Commons BY-SA 4.0 , URL: /wiki/CC_BY-SA
","Yes","GPLv3[63]","?","Yes","?"
"Cryptix General License , URL: /wiki/Cryptix_General_License
","Yes","Yes","Yes","Yes","Yes"
"Eclipse Public License , URL: /wiki/Eclipse_Public_License
","Yes","No","Yes","Yes","Yes"
"Educational Community License , URL: /wiki/Educational_Community_License
","Yes","Yes[64]","Yes","No","Yes"
"Eiffel Forum License , URL: /wiki/Eiffel_Forum_License
","Yes","Yes","Yes","Yes","Yes"
"European Union Public Licence , URL: /wiki/European_Union_Public_Licence
","Yes","Yes[22]","Yes","Yes","Yes"
"GNU Affero General Public License , URL: /wiki/GNU_Affero_General_Public_License
","Yes","Yes[25][65]","Yes","Yes","Yes"
"GNU General Public License , URL: /wiki/GNU_General_Public_License
","Yes","No[note 2][66]","Yes","Yes","Yes"
"GNU General Public License , URL: /wiki/GNU_General_Public_License
","Yes","Yes[note 3][66]","Yes","Yes","Yes"
"GNU Lesser General Public License , URL: /wiki/GNU_Lesser_General_Public_License
","Yes","Yes","Yes","Yes","Yes"
"GNU Free Documentation License , URL: /wiki/GNU_Free_Documentation_License
","Yes","No[67]","Yes[68]","No[69]","No"
"IBM Public License , URL: /wiki/IBM_Public_License
","Yes","No","Yes","Yes","Yes"
"Intel Open Source License , URL: /wiki/Intel_Open_Source_License
","Yes","Yes","Yes","No","No"
"ISC license , URL: /wiki/ISC_license
","Yes[70]","Yes","Yes","Yes","Yes"
"LaTeX Project Public License , URL: /wiki/LaTeX_Project_Public_License
","Yes","No","Yes","Yes","Yes"
"Microsoft Public License , URL: /wiki/Microsoft_Public_License
","Yes","No","Yes","No","Yes"
"Microsoft Reciprocal License , URL: /wiki/Microsoft_Reciprocal_License
","Yes","No","Yes","No","Yes"
"MIT license / X11 license , URL: /wiki/MIT_License
","Yes","Yes","Yes","Yes","Yes"
"Mozilla Public License , URL: /wiki/Mozilla_Public_License
","Yes","No","Yes","Yes","Yes"
"Mozilla Public License , URL: /wiki/Mozilla_Public_License
","Yes","Yes[note 4][71]","Yes","Yes","Yes"
"NASA Open Source Agreement , URL: /wiki/NASA_Open_Source_Agreement
","No","No","Yes","?","No"
"Netscape Public License , URL: /wiki/Netscape_Public_License
","Yes","No","No","No","Yes"
"Open Software License , URL: /wiki/Open_Software_License
","Yes","No","Yes","No","Yes"
"OpenSSL license , URL: /wiki/OpenSSL_license
","Yes","No","No","Yes","Yes"
"PHP License , URL: /wiki/PHP_License
","Yes","No","Yes","Yes","Yes"
"Python Software Foundation License , URL: /wiki/Python_Software_Foundation_License
","Yes","Yes","Yes","Yes","Yes"
"Q Public License , URL: /wiki/Q_Public_License
","Yes","No","Yes","No","Yes"
"Reciprocal Public License , URL: /wiki/Reciprocal_Public_License
","No","No","Yes","No","No"
