"null","null","null","null","null","null","null","null","null","null","null"
"Apache Avro","Apache Software Foundation","N/A","No","Apache Avro™ Specification","Yes","Partialg","N/A","Built-in","C, C#, C++, Java, PHP, Python, Ruby","N/A"
"Apache Parquet","Apache Software Foundation","N/A","No","Apache Parquet","Yes","No","No","N/A","Java, Python, C++","No"
"ASN.1","ISO, IEC, ITU-T","N/A","Yes","ISO/IEC 8824 / ITU-T X.680 (syntax) and ISO/IEC 8825 / ITU-T X.690 (encoding rules) series. X.680, X.681, and X.683 define syntax and semantics.","BER, DER, PER, OER, or custom via ECN","XER, JER, GSER, or custom via ECN","Yesf","Built-in","N/A","OER"
"Bencode","Bram Cohen (creator) BitTorrent, Inc. (maintainer)","N/A","De facto as BEP","Part of BitTorrent protocol specification","Except numbers and delimiters, being ASCII","No","No","No","No","No"
"Binn","Bernardo Ramos","JSON (loosely)","No","Binn Specification","Yes","No","No","No","No","Yes"
"BSON","MongoDB","JSON","No","BSON Specification","Yes","No","No","No","No","No"
"CBOR","Carsten Bormann, P. Hoffman","JSON (loosely)","Yes","RFC 8949","Yes","No","Yes, through tagging","CDDL","No","No"
"Comma-separated values (CSV)","RFC author: Yakov Shafranovich","N/A","A myriad of informal variants","RFC 4180 (among others)","No","Yes","No","No","No","No"
"Common Data Representation (CDR)","Object Management Group","N/A","Yes","General Inter-ORB Protocol","Yes","No","Yes","Yes","Ada, C, C++, Java, Cobol, Lisp, Python, Ruby, Smalltalk","N/A"
"D-Bus Message Protocol","freedesktop.org","N/A","Yes","D-Bus Specification","Yes","No","No","Partial (Signature strings)","Yes","N/A"
"Extensible Data Notation","Rich Hickey","N/A","Yes","edn-format","No","Yes","Yes","No","Clojure, C#, Python","N/A"
"Efficient XML Interchange (EXI)","W3C","XML, Efficient XML","Yes","Efficient XML Interchange (EXI) Format 1.0","Yes","XML","XPointer, XPath","XML Schema","DOM, SAX, StAX, XQuery, XPath","N/A"
"FlatBuffers","Google","N/A","No","Flatbuffers GitHub","Yes","Apache Arrow","Partial (internal to the buffer)","Yes","C++, Java, C#, Go, Python, Rust, JavaScript, PHP, C, Dart, Lua, TypeScript","Yes"
"Fast Infoset","ISO, IEC, ITU-T","XML","Yes","ITU-T X.891 and ISO/IEC 24824-1:2007","Yes","No","XPointer, XPath","XML schema","DOM, SAX, XQuery, XPath","N/A"
"FHIR","Health Level 7","REST basics","Yes","Fast Healthcare Interoperability Resources","Yes","Yes","Yes","Yes","Hapi for FHIR[1] JSON, XML, Turtle","No"
"Ion","Amazon","JSON","No","The Amazon Ion Specification","Yes","Yes","No","Ion schema","No","N/A"
"Java serialization","Oracle Corporation","N/A","Yes","Java Object Serialization","Yes","No","Yes","No","Yes","N/A"
"JSON","Douglas Crockford","JavaScript syntax","Yes","STD 90/RFC 8259 (ancillary: RFC 6901, RFC 6902), ECMA-404, ISO/IEC 21778:2017","No, but see BSON, Smile, UBJSON","Yes","JSON Pointer (RFC 6901), or alternately, JSONPath, JPath, JSPON, json:select(); and JSON-LD","Partial (JSON Schema Proposal, ASN.1 with JER, Kwalify, Rx, Itemscript Schema), JSON-LD","Partial (Clarinet, JSONQuery / RQL, JSONPath), JSON-LD","No"
"MessagePack","Sadayuki Furuhashi","JSON (loosely)","No","MessagePack format specification","Yes","No","No","No","No","Yes"
"Netstrings","Dan Bernstein","N/A","No","netstrings.txt","Except ASCII delimiters","Yes","No","No","No","Yes"
"OGDL","Rolf Veen","?","No","Specification","Binary specification","Yes","Path specification","Schema WD","","N/A"
"OPC-UA Binary","OPC Foundation","N/A","No","opcfoundation.org","Yes","No","Yes","No","No","N/A"
"OpenDDL","Eric Lengyel","C, PHP","No","OpenDDL.org","No","Yes","Yes","No","OpenDDL library","N/A"
"PHP serialization format","PHP Group","N/A","Yes","No","Yes","Yes","Yes","No","Yes","N/A"
"Pickle (Python)","Guido van Rossum","Python","De facto as PEPs","PEP 3154 – Pickle protocol version 4","Yes","No","Yes[2]","No","Yes","No"
"Property list","NeXT (creator) Apple (maintainer)","?","Partial","Public DTD for XML format","Yesa","Yesb","No","?","Cocoa, CoreFoundation, OpenStep, GnuStep","No"
