"","Native network encryption1","Brute-force protection , URL: /wiki/Brute-force_attack
","Enterprise directory compatibility","Password complexity rules2","Patch access3","Run unprivileged4","Audit","Resource limit","RBAC , URL: /wiki/Role-based_access_control
","Security Certification","Attribute-Based Access Control (ABAC) , URL: /wiki/Attribute-based_access_control
"
"4D , URL: /wiki/4th_Dimension_(software)
","Yes (with SSL)","?","Yes","?","Yes","Yes","?","?","?","?","?"
"Adaptive Server Enterprise , URL: /wiki/Adaptive_Server_Enterprise
","Yes (optional; to pay)","Yes","Yes (optional ?)","Yes","Partial (need to register; depend on which product)[163]","Yes","Yes","Yes","Yes","Yes (EAL4+ 1)","?"
"Advantage Database Server , URL: /wiki/Advantage_Database_Server
","Yes","No","No","No","Yes","Yes","No","No","Yes","?","?"
"DB2 , URL: /wiki/IBM_DB2
","Yes","?","Yes (LDAP, Kerberos...)","Yes","?","Yes","Yes","Yes","Yes","Yes (EAL4+6)","?"
"Empress Embedded Database , URL: /wiki/Empress_database
","?","?","No","No","Yes","Yes","Yes","No","Yes","No","?"
"EXASolution , URL: /wiki/EXASOL
","No","No","Yes (LDAP)","No","Yes","Yes","Yes","Yes","Yes","No","?"
"Firebird , URL: /wiki/Firebird_(database_server)
","Yes","Yes[164]","Yes (Windows trusted authenification)","Yes (by custom plugin)","Yes (no security page)[165]","Yes","Yes[166]","Yes","No7","?","?"
"HSQLDB , URL: /wiki/HSQLDB
","Yes","No","Yes","Yes","Yes","Yes","No","No","Yes","No","?"
"H2 , URL: /wiki/H2_(DBMS)
","Yes","Yes","?","No","?","Yes","?","Yes","Yes","No","?"
"Informix Dynamic Server , URL: /wiki/Informix_Dynamic_Server
","Yes","?","Yes10","?10","Yes","Yes","Yes","Yes","Yes","?","Yes"
"Linter SQL RDBMS , URL: /wiki/Linter_SQL_RDBMS
","Yes (with SSL)","Yes","Yes","Yes (length only)","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"MariaDB , URL: /wiki/MariaDB
","Yes (SSL)","No","Yes (with 5.2, but not on Windows servers)","Yes[167][168]","Yes[169]","Yes","?","?","?8","No","?"
"Microsoft SQL Server , URL: /wiki/Microsoft_SQL_Server
","Yes","?","Yes (Microsoft Active Directory)","Yes","Yes","Yes","Yes (From 2008)","Yes","Yes","Yes (EAL4+11)","?"
"Microsoft SQL Server Compact (Embedded Database) , URL: /wiki/SQL_Server_Compact
","No (not relevant, only file permissions)","No (not relevant)","No (not relevant)","No (not relevant)","Yes","Yes (file access)","Yes","Yes","No","?","?"
"Mimer SQL , URL: /wiki/Mimer_SQL
","Yes","?","?","?","Yes","Yes (depending on OS)","Yes","?","Yes","?","Yes"
"MySQL , URL: /wiki/MySQL
","Yes (SSL with 4.0)","No","Yes (with 5.5, but only in commercial edition)","No","Partial (no security page)[170]","Yes","?","?","?8","Yes","?"
"OpenBase SQL , URL: /w/index.php?title=OpenBase&action=edit&redlink=1
","Yes","?","Yes (Open Directory, LDAP)","No","?","?","?","?","?","?","?"
"OpenLink Virtuoso , URL: /wiki/OpenLink_Virtuoso
","Yes","Yes","Yes","Yes (optional)","Yes (optional)","Yes","Yes (optional)","Yes (optional)","Yes","No","Yes (optional)"
"Oracle , URL: /wiki/Oracle_Database
","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes (EAL21)","?"
"Pervasive PSQL , URL: /wiki/Pervasive_PSQL
","Yes","?","No","No","Yes","Yes","Yes 12","No","No","No","?"
"Polyhedra DBMS , URL: /wiki/Polyhedra_DBMS
","Yes (with SSL. Optional)","No","No","No","No","Yes","Yes 13","Yes","Yes 13","No","?"
"PostgreSQL , URL: /wiki/PostgreSQL
","Yes","Yes","Yes (LDAP, Kerberos...9)","Yes (with passwordcheck module)","Yes[171]","Yes","Yes (with pgaudit extension)[172]","Yes","Yes","Yes (EAL2+1)","?"
"Raima Database Manager , URL: /wiki/Raima_Database_Manager
","No","No","No","No","No","Yes","No","No","No","No","?"
"RDM Server , URL: /wiki/RDM_Server
","Yes","No","No","No","No","Yes","Yes","No","Yes","No","?"
"SAP HANA , URL: /wiki/SAP_HANA
","?","?","?","?","?","?","?","?","?","?","?"
"solidDB , URL: /wiki/SolidDB
","No","No","Yes","No","No","Yes","Yes","No","No","No","No"
"SQL Anywhere , URL: /wiki/SQL_Anywhere
","Yes","?","Yes (Kerberos)","Yes","?","Yes","Yes","No","Yes","Yes (EAL2+1 as Adaptive Server Anywhere)","?"
"SQLite , URL: /wiki/SQLite
","No (not relevant, only file permissions)","No (not relevant)","No (not relevant)","No (not relevant)","Partial (no security page)[173]","Yes (file access)","Yes","Yes","No","No","?"
"Teradata , URL: /wiki/Teradata
","Yes","No","Yes (LDAP, Kerberos...)","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes"
"","Native network encryption1","Brute-force protection","Enterprise directory compatibility","Password complexity rules2","Patch access3","Run unprivileged4","Audit","Resource limit","RBAC , URL: /wiki/Role-based_access_control
","Security Certification","Attribute-Based Access Control (ABAC) , URL: /wiki/Attribute-based_access_control
"
