"Product","Free","License"
"Apabi Reader , URL: /w/index.php?title=Apabi_Reader&action=edit&redlink=1
","Yes",""
"Blio , URL: /wiki/Blio
","Partial (voices cost)",""
"Bluefire Reader , URL: /wiki/Bluefire_Reader
","Partial (Cloudshelf edition is free)","Proprietary"
"BookFusion , URL: /w/index.php?title=BookFusion&action=edit&redlink=1
","Partial (Up to 25 books)","Proprietary"
"DL Reader , URL: /w/index.php?title=DL_Reader&action=edit&redlink=1
","Yes",""
"eBookMobi , URL: /w/index.php?title=EBookMobi&action=edit&redlink=1
","No",""
"Ebook Reader , URL: /w/index.php?title=Ebook_Reader&action=edit&redlink=1
","Yes","Proprietary"
"i2Reader , URL: /w/index.php?title=I2Reader&action=edit&redlink=1
","No",""
"Apple Books , URL: /wiki/Apple_Books
","Yes","Proprietary"
"Kindle , URL: /wiki/Amazon_Kindle#Kindle_applications
","Yes",""
"Kobo Reading App , URL: /wiki/Kobo_eReader
","Yes",""
"KyBook / KyBook 2","Yes","Proprietary, partially OS"
"MapleRead","Partial (CX edition is free)",""
"Marvin","Partial (ability to see more than one book in library cost)",""
"MegaReader , URL: /w/index.php?title=MegaReader&action=edit&redlink=1
","No",""
"ShuBook 2 , URL: /w/index.php?title=ShuBook_2&action=edit&redlink=1
","Partial",""
"SideBooks , URL: /w/index.php?title=SideBooks&action=edit&redlink=1
","Yes","Proprietary"
"Stanza , URL: /wiki/Lexcycle_Stanza
","Yes","Proprietary"
"uBooks XL , URL: /w/index.php?title=UBooks_XL&action=edit&redlink=1
","No",""
"iBouquiniste , URL: /w/index.php?title=IBouquiniste&action=edit&redlink=1
","No",""
