"v t e TLS and SSL","v t e TLS and SSL","v t e TLS and SSL"
"Protocols and technologies","Transport Layer Security / Secure Sockets Layer (TLS/SSL) Datagram Transport Layer Security (DTLS) Server Name Indication (SNI) Application-Layer Protocol Negotiation (ALPN) DNS-based Authentication of Named Entities (DANE) DNS Certification Authority Authorization (CAA) HTTPS HTTP Strict Transport Security (HSTS) HTTP Public Key Pinning (HPKP) OCSP stapling Opportunistic TLS Perfect forward secrecy","Transport Layer Security / Secure Sockets Layer (TLS/SSL) Datagram Transport Layer Security (DTLS) Server Name Indication (SNI) Application-Layer Protocol Negotiation (ALPN) DNS-based Authentication of Named Entities (DANE) DNS Certification Authority Authorization (CAA) HTTPS HTTP Strict Transport Security (HSTS) HTTP Public Key Pinning (HPKP) OCSP stapling Opportunistic TLS Perfect forward secrecy"
"Public-key infrastructure","Automated Certificate Management Environment (ACME) Certificate authority (CA) CA/Browser Forum Certificate policy Certificate revocation list (CRL) Domain-validated certificate (DV) Extended Validation Certificate (EV) Online Certificate Status Protocol (OCSP) Public key certificate Public-key cryptography Public key infrastructure (PKI) Root certificate Self-signed certificate","Automated Certificate Management Environment (ACME) Certificate authority (CA) CA/Browser Forum Certificate policy Certificate revocation list (CRL) Domain-validated certificate (DV) Extended Validation Certificate (EV) Online Certificate Status Protocol (OCSP) Public key certificate Public-key cryptography Public key infrastructure (PKI) Root certificate Self-signed certificate"
"See also","Domain Name System Security Extensions (DNSSEC) Internet Protocol Security (IPsec) Secure Shell (SSH)","Domain Name System Security Extensions (DNSSEC) Internet Protocol Security (IPsec) Secure Shell (SSH)"
"History","Export of cryptography from the United States Server-Gated Cryptography","Export of cryptography from the United States Server-Gated Cryptography"
"Implementations , URL: 
","Bouncy Castle BoringSSL Botan BSAFE cryptlib GnuTLS JSSE LibreSSL MatrixSSL mbed TLS NSS OpenSSL S2n SChannel SSLeay stunnel wolfSSL","Bouncy Castle BoringSSL Botan BSAFE cryptlib GnuTLS JSSE LibreSSL MatrixSSL mbed TLS NSS OpenSSL S2n SChannel SSLeay stunnel wolfSSL"
"Notaries","Certificate Transparency Convergence HTTPS Everywhere Perspectives Project","Certificate Transparency Convergence HTTPS Everywhere Perspectives Project"
"Vulnerabilities","Theory","Man-in-the-middle attack Padding oracle attack"
"Vulnerabilities","Cipher","Bar mitzvah attack"
"Vulnerabilities","Protocol","BEAST BREACH CRIME DROWN Logjam POODLE (in regards to SSL 3.0)"
"Vulnerabilities","Implementation","Certificate authority compromise Random number generator attacks FREAK goto fail Heartbleed Lucky Thirteen attack POODLE (in regards to TLS 1.0) Kazakhstan MITM attack"
