"","","","MSHTML , URL: /wiki/MSHTML
","EdgeHTML , URL: /wiki/EdgeHTML
","Gecko , URL: /wiki/Gecko_(software)
","WebKit , URL: /wiki/WebKit
","KHTML , URL: /wiki/KHTML
","Presto , URL: /wiki/Presto_(browser_engine)
",""
"Numbers[spec 11]","Numbers[spec 11]","Numbers[spec 11]","Numbers[spec 11]","Numbers[spec 11]","Numbers[spec 11]","Numbers[spec 11]","Numbers[spec 11]","Numbers[spec 11]",""
"CSS2","<number>","floating-point number , URL: /wiki/Floating-point_number
","3.0","12","1.0","85","Yes","1.0 , URL: #presto_float
",""
"CSS2","<length>","<number> followed by units","3.0","12","1.0","85","Yes","1.0 , URL: #presto_float
",""
"CSS2","<percentage>","<number> followed by %","3.0","12","1.0","85","Yes","1.0 , URL: #presto_float
",""
"CSS2","<integer>","integer , URL: /wiki/Integer
","3.0","12","1.0","85","Yes","1.0 , URL: #presto_float
",""
"css-values-3 , URL: https://www.w3.org/TR/css-values-3/
","<angle>","<number> angle-unit","9.0[t 1]","12","Yes","Partial , URL: #general_angle
","Partial , URL: #general_angle
","Partial , URL: #general_angle
",""
"css-values-3 , URL: https://www.w3.org/TR/css-values-3/
","<time>","<number> time-unit","9.0[t 1]","12","2.0[g 50]","Yes","Yes","2.5",""
"css-values-3 , URL: https://www.w3.org/TR/css-values-3/
","<frequency>","<number> frequency-unit","No","No","No","Yes","Yes","No",""
"css-values-3 , URL: https://www.w3.org/TR/css-values-3/
","<fraction>","Remaining space","No","No","No","No","No","No",""
"Strings","Strings","Strings","Strings","Strings","Strings","Strings","Strings","Strings",""
"CSS2","<string>","String","3.0","12","1.0","85","Yes","1.0",""
"CSS2","\code","Unicode escapes","6.0","12","1.0","85","Yes","1.0",""
"Functions","Functions","Functions","Functions","Functions","Functions","Functions","Functions","Functions",""
"CSS2","rect()","rectangle , URL: /wiki/Rectangle
","8.0 , URL: #trident_rect
","12","1.0","85","Yes","1.0",""
"CSS2","url()","Uniform Resource Identifier , URL: /wiki/Uniform_Resource_Identifier
","3.0","12","1.0","85","Yes","1.0",""
"CSS2","counter()","","8.0","12","1.0","85","Yes","1.0",""
"CSS2","attr()","Attribute identifier","8.0","12","1.0","85","Yes","1.0",""
"css-values-3 , URL: https://www.w3.org/TR/css-values-3/
","calc()","","9.0[t 1]","12","16.0[g 61]","Yes[w 36]","No","No",""
"css-values-3 , URL: https://www.w3.org/TR/css-values-3/
","toggle()","Toggling between values","No","No","No[g 62]","No","No","No",""
"css- grid-1 , URL: https://www.w3.org/TR/css-grid-1/
","repeat()","Repeat n times","No","No","32.0[g 63]","No","No","No",""
"Colors","Colors","Colors","Colors","Colors","Colors","Colors","Colors","Colors",""
"CSS2","HTML4 color keywords","web colors , URL: /wiki/Web_colors
","3.0","12","1.0","85","Yes","1.0",""
"CSS2","#rrggbb or #rgb","Hexadecimal , URL: /wiki/Hexadecimal
","3.0","12","1.0","85","Yes","1.0",""
"CSS2","rgb(r, g, b)","RGB , URL: /wiki/RGB_color_model
","4.0","12","1.0","85","Yes","1.0",""
"CSS2","system colors[spec 12]","28 predefined system colors","3.0","12","1.0","85","Yes","1.0",""
"css-color-3 , URL: https://www.w3.org/TR/css-color-3/
","SVG color keywords","","8.0","12","Yes","Yes","Yes","Yes",""
"css-color-3 , URL: https://www.w3.org/TR/css-color-3/
","currentColor","The value of the color property.","9.0[t 1]","12","1.8","528","Yes","2.1",""
"css-color-3 , URL: https://www.w3.org/TR/css-color-3/
","rgba(r, g, b, a)","RGBA , URL: /wiki/RGBA_color_space
","9.0[t 1]","12","1.9","525","4.0","2.2",""
"css-color-3 , URL: https://www.w3.org/TR/css-color-3/
","hsl(h, s, l)","HSL , URL: /wiki/HSL_color_space
","9.0[t 1]","12","1.5","525","3.5.5","2.1",""
"css-color-3 , URL: https://www.w3.org/TR/css-color-3/
","hsla(h, s, l, a)","HSLA , URL: /w/index.php?title=HSLA_color_space&action=edit&redlink=1
","9.0[t 1]","12","1.9","525","3.5.5","2.2",""
"css-color-3 , URL: https://www.w3.org/TR/css-color-3/
","transparent","transparency , URL: /wiki/Transparency_(optics)
","9.0 , URL: #trident_transparent
","12","1.9","525","4.0","Partial , URL: #presto_transparent
",""
"Image values","Image values","Image values","Image values","Image values","Image values","Image values","Image values","Image values",""
"CSS2","<url>","Image types","3.0","12","1.0","85","Yes","1.0",""
"css- images-3 , URL: https://www.w3.org/TR/css-images-3/
","<sprite>","Image types","No","No","No","No","No","No",""
"css- images-3 , URL: https://www.w3.org/TR/css-images-3/
","<image-list>","Image types","No","No","No","No","No","No",""
"css- images-3 , URL: https://www.w3.org/TR/css-images-3/
","<linear-gradient>","Image types","10.0[t 52]","12","16.0","Yes","No","Experimental , URL: #presto_-o-
",""
"css- images-3 , URL: https://www.w3.org/TR/css-images-3/
","<radial-gradient>","Image types","10.0[t 52]","12","16.0","Yes","No","Experimental , URL: #presto_-o-
",""
"css- images-3 , URL: https://www.w3.org/TR/css-images-3/
","linear-gradient()","Color gradients","10.0[t 52]","12","16.0","Yes","No","Experimental , URL: #presto_-o-
",""
"css- images-3 , URL: https://www.w3.org/TR/css-images-3/
","radial-gradient()","Color gradients","10.0[t 52]","12","16.0","Yes","No","Experimental , URL: #presto_-o-
",""
"css- images-3 , URL: https://www.w3.org/TR/css-images-3/
","repeating-linear-gradient()","Color gradients","10.0[t 52]","12","16.0","Yes","No","Experimental , URL: #presto_-o-
",""
"css- images-3 , URL: https://www.w3.org/TR/css-images-3/
","repeating-radial-gradient()","Color gradients","10.0[t 52]","12","16.0","Yes","No","Experimental , URL: #presto_-o-
",""
"css- images-4 , URL: https://www.w3.org/TR/css-images-4/
","conic-gradient()","","No","No","No","No","No","No",""
"css- images-4 , URL: https://www.w3.org/TR/css-images-4/
","repeating-conic-gradient()","","No","No","No","No","No","No",""
"css- images-4 , URL: https://www.w3.org/TR/css-images-4/
","element()","Reproduce element","No","No","Experimental , URL: #gecko_-moz-
","No","No","No",""
"css- images-4 , URL: https://www.w3.org/TR/css-images-4/
","cross-fade()","Transitioning between images","No","No","No[g 64]","No","No","No",""
"css- images-4 , URL: https://www.w3.org/TR/css-images-4/
","image-set()","Resolution negotiation","No","No","No","No","No","No",""
"Counter Styles[spec 13]","Counter Styles[spec 13]","Counter Styles[spec 13]","Counter Styles[spec 13]","Counter Styles[spec 13]","Counter Styles[spec 13]","Counter Styles[spec 13]","Counter Styles[spec 13]","Counter Styles[spec 13]",""
"css- counter- styles-3 , URL: https://www.w3.org/TR/css-counter-styles-3/
","symbols()","Anonymous Counter Styles","No","No","No","No","No","No",""
"Keywords","Keywords","Keywords","Keywords","Keywords","Keywords","Keywords","Keywords","Keywords",""
"CSS2","auto","Automatically calculated","6.0 , URL: #trident_auto
","12","1.0","85","Yes","1.0",""
"CSS2","inherit","Inherited from the parent","8.0","12","1.0","85","Yes","1.0",""
"css-values-3 , URL: https://www.w3.org/TR/css-values-3/
","initial","","No","13","19.0","125","No","No",""
"Units","Units","Units","Units","Units","Units","Units","Units","Units",""
"CSS2","px","Pixel , URL: /wiki/Pixel
","3.0","12","1.0","85","Yes","1.0",""
"CSS2","pt","Point , URL: /wiki/Point_(typography)
","3.0","12","1.0","85","Yes","1.0",""
"CSS2","pc","Pica , URL: /wiki/Pica_(typography)
","3.0","12","1.0","85","Yes","1.0",""
"CSS2","cm","Centimetre","3.0","12","1.0","85","Yes","1.0",""
"CSS2","mm","Millimetre","3.0","12","1.0","85","Yes","1.0",""
"CSS2","in","inch","3.0","12","1.0","85","Yes","1.0",""
"CSS2","em","em , URL: /wiki/Em_(typography)
","3.0","12","1.0","85","Yes","1.0",""
"CSS2","ex","ex , URL: /wiki/Ex_(typography)
","3.0","12","1.0","85","Yes","1.0",""
"CSS2","%","Percentage , URL: /wiki/Percent
","3.0","12","1.0","85","Yes","1.0",""
"css-values-3 , URL: https://www.w3.org/TR/css-values-3/
","deg","Degree , URL: /wiki/Degree_(angle)
","9.0[t 1]","12","1.9.1","Yes","Yes","2.5",""
"css-values-3 , URL: https://www.w3.org/TR/css-values-3/
","grad","Grad , URL: /wiki/Grad_(angle)
","9.0[t 1]","12","1.9.1","Yes","Yes","2.5",""
"css-values-3 , URL: https://www.w3.org/TR/css-values-3/
","rad","Radian , URL: /wiki/Radian
","9.0[t 1]","12","1.9.1","Yes","Yes","2.5",""
