"Audio player","Lossy compression , URL: /wiki/Lossy_compression
","Lossy compression , URL: /wiki/Lossy_compression
","Lossy compression , URL: /wiki/Lossy_compression
","Lossy compression , URL: /wiki/Lossy_compression
","Lossy compression , URL: /wiki/Lossy_compression
","Lossy compression , URL: /wiki/Lossy_compression
","Lossy compression , URL: /wiki/Lossy_compression
","Lossy compression , URL: /wiki/Lossy_compression
","Lossy compression , URL: /wiki/Lossy_compression
","Lossless compression , URL: /wiki/Lossless_compression
","Lossless compression , URL: /wiki/Lossless_compression
","Lossless compression , URL: /wiki/Lossless_compression
","Lossless compression , URL: /wiki/Lossless_compression
","Lossless compression , URL: /wiki/Lossless_compression
","Lossless compression , URL: /wiki/Lossless_compression
"
"Audio player","MP3 , URL: /wiki/MP3
","WMA , URL: /wiki/Windows_Media_Audio
","RealAudio , URL: /wiki/RealAudio
","Vorbis , URL: /wiki/Vorbis
","Musepack , URL: /wiki/Musepack
","AAC , URL: /wiki/Advanced_Audio_Coding
","Dolby AC-3 , URL: /wiki/Dolby_AC-3
","VQF , URL: /wiki/VQF
","Opus , URL: /wiki/Opus_(audio_format)
","APE , URL: /wiki/Monkey%27s_Audio
","FLAC , URL: /wiki/FLAC
","ALAC , URL: /wiki/Apple_Lossless
","SHN , URL: /wiki/Shorten_(file_format)
","WV , URL: /wiki/WavPack
","WMA L , URL: /wiki/Windows_Media_Audio
"
"AIMP , URL: /wiki/AIMP
","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes[b]","Yes","Yes","Yes","Yes","No","Yes","Yes"
"Amarok , URL: /wiki/Amarok_(audio)
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes"
"Audacious , URL: /wiki/Audacious_(software)
","Yes","Yes","No","Yes","Yes","Yes","Yes","?","Yes[d]","Yes","Yes","Yes","No","Yes","?"
"Audion , URL: /wiki/Audion_(software)
","Yes","No","No","Yes","No","No","No","?","?","No","No","No","No","No","?"
"Banshee , URL: /wiki/Banshee_(media_player)
","Yes","?","?","Yes","?","?","?","?","?","No","?","?","?","?","?"
"cmus , URL: /wiki/Cmus
","Yes","Yes[d]","No","Yes","Yes","Yes","Yes[d]","?","Yes[e]","Yes[d]","Yes","Yes[d]","Yes[d]","Yes","?"
"Cog , URL: /wiki/Cog_(software)
","Yes","No","No","Yes","Yes","Yes","No","?","?","Yes","Yes","Yes","Yes","Yes","?"
"Exaile , URL: /wiki/Exaile
","Yes[f]","Yes[f]","Yes[f]","Yes[f]","Yes[f]","Yes[f]","Yes[f]","?","Yes","Yes[f]","Yes[f]","Yes[f]","Yes[f]","Yes[f]","?"
"foobar2000 , URL: /wiki/Foobar2000
","Yes","Yes","No","Yes","Yes","Yes","Partial[a]","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
