"Name","Initial release","Latest release","Latest release","Programming language","Graphical toolkit","License","Notes"
"Name","Initial release","Version","Date","Programming language","Graphical toolkit","License","Notes"
"Cinnamon , URL: /wiki/Cinnamon_(software)
","2011","
URL: https://www.wikidata.org/wiki/Q1092551?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-12-31","C, JavaScript, Python","GTK","GPL","Forked from GNOME 3 with the intent to create a traditional desktop built on modern technologies."
"Deepin Desktop Environment , URL: /wiki/Deepin#DDE
","2015","
URL: https://www.wikidata.org/wiki/Q129145?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-01-18","C++","Qt","GPL","The desktop environment of Deepin."
"Enlightenment , URL: /wiki/Enlightenment_(software)
","1997","
URL: https://www.wikidata.org/wiki/Q692045?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-01-03","C","EFL","BSD license","Complete environment including centralized configuration of most settings."
"Equinox Desktop Environment , URL: /w/index.php?title=Equinox_Desktop_Environment&action=edit&redlink=1
","2003-01-06","
URL: https://www.wikidata.org/wiki/Q1323918?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2014-06-22","C++","FLTK","GPL, LGPL","Seldom used environment, has seen little activity in recent years."
"Étoilé","2006-02-22","
URL: https://www.wikidata.org/wiki/Q290639?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2012-04-11","Objective-C","GNUstep","MIT, BSD license","Has seen little activity for several years, the last sign of activity having been in 2014."
"GNOME , URL: /wiki/GNOME
","1999-03-03","
URL: https://www.wikidata.org/wiki/Q44316?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-01-11","C, C++, Vala, Python, JavaScript","GTK","GPL, LGPL","GNOME is one of the most popular environments. Major design changes with the 3.0 release sparked the creation of Cinnamon (a fork of GNOME 3), Unity (an alternative Gnome Desktop Session to GNOME Shell) and MATE (a fork of GNOME 2)."
"KDE Plasma 5 , URL: /wiki/KDE_Plasma_5
","1998-07-12","
URL: https://www.wikidata.org/wiki/Q17363870?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-03-08","C++, QML","Qt","LGPL","KDE has a strong and enthusiastic following. The project is largely community-centric, and encompass many other applications and frameworks, many built specifically for KDE."
"LXDE , URL: /wiki/LXDE
","2006","
URL: https://www.wikidata.org/wiki/Q47123?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-02-25","C","GTK","GPL, LGPL","LXDE, with its low resource footprint, is a favorite among developers of lighter-weight Linux distributions. Development has largely moved to LXQt, but it is still maintained."
"LXQt , URL: /wiki/LXQt
","2014-05-07","
URL: https://www.wikidata.org/wiki/Q18341825?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-11-05","C, C++","Qt","GPL, LGPL","Formed by a merger of LXDE-Qt and Razor-qt, this is a lightweight Qt-based desktop environment."
