"Package","License , URL: /wiki/License
","Windows , URL: /wiki/Microsoft_Windows
","OS X , URL: /wiki/OS_X
","Linux , URL: /wiki/Linux
","Market focus","Type","Structure"
"24SevenOffice , URL: /wiki/24SevenOffice
","Software as a Service , URL: /wiki/Software_as_a_Service
","Yes","Yes","Yes","Low to mid-market","ERP , URL: /wiki/Enterprise_resource_planning
CRM , URL: /wiki/Customer_relationship_management
email , URL: /wiki/Email
collaboration , URL: /wiki/Collaboration
Project management , URL: /wiki/Project_management
VoIP , URL: /wiki/VoIP
","Web-based"
"Acumatica , URL: /wiki/Acumatica
","Proprietary , URL: /wiki/Proprietary_software
Software as a service , URL: /wiki/Software_as_a_Service
","Yes","Yes","Yes","Mid-market","ERP , URL: /wiki/Enterprise_resource_planning
","Web-based"
"AME Accounting Software , URL: /wiki/AME_Accounting_Software
","Proprietary , URL: /wiki/Proprietary_software
","Yes","No","No","Low to mid-market","Payroll , URL: /wiki/Payroll
general ledger , URL: /wiki/General_ledger
accounts receivable , URL: /wiki/Accounts_receivable
accounts payable , URL: /wiki/Accounts_payable
Double-entry bookkeeping system , URL: /wiki/Double-entry_bookkeeping_system
","Stand-alone"
"Aplos Software , URL: /wiki/Aplos_Software
","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes","Yes","Low to mid-market nonprofit and faith-based organizations","Fund Accounting , URL: /wiki/Fund_Accounting
general ledger , URL: /wiki/General_ledger
accounts receivable , URL: /wiki/Accounts_receivable
accounts payable , URL: /wiki/Accounts_payable
Double-entry bookkeeping system , URL: /wiki/Double-entry_bookkeeping_system
nonprofit organization , URL: /wiki/Nonprofit_organization
online fundraising , URL: /wiki/Online_fundraising
","Web-based"
"Baan Corporation , URL: /wiki/Baan_Corporation
","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes","Yes","Mid to Low-market","ERP , URL: /wiki/Enterprise_resource_planning
","Stand-alone and web-based"
"CGram Enterprise , URL: /wiki/CGram_Software
","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes","Yes","Low to mid-market","Financials , URL: /wiki/Financials
ERP , URL: /wiki/Enterprise_resource_planning
CRM , URL: /wiki/Customer_relationship_management
Manufacturing , URL: /wiki/Manufacturing
Payroll , URL: /wiki/Payroll
Inventory control , URL: /wiki/Inventory_management_software
accounts receivable , URL: /wiki/Accounts_receivable
accounts payable , URL: /wiki/Accounts_payable
general ledger , URL: /wiki/General_ledger
","Stand-alone"
"Cheqbook , URL: /wiki/Cheqbook
","Software as a Service , URL: /wiki/Software_as_a_Service
","Yes","Yes","Yes","Low to mid-market","Double-entry bookkeeping system , URL: /wiki/Double-entry_bookkeeping_system
accounts receivable , URL: /wiki/Accounts_receivable
accounts payable , URL: /wiki/Accounts_payable
Reporting , URL: /wiki/Business_reporting
Business Intelligence , URL: /wiki/Business_Intelligence
general ledger , URL: /wiki/General_ledger
","Web-based"
"CODA , URL: /wiki/CODA_(company)
","Proprietary , URL: /wiki/Proprietary_software
","Yes","No","Yes","Mid-market","GL , URL: /wiki/General_ledger
AP , URL: /wiki/Accounts_payable
AR , URL: /wiki/Accounts_receivable
Analytics , URL: /wiki/Analytics
Integration , URL: /wiki/System_integration
","Stand-alone/Web Access"
"Comarch Altum , URL: /wiki/Comarch
","Proprietary , URL: /wiki/Proprietary_software
","Yes","No","No","Low to mid-market","ERP , URL: /wiki/Enterprise_resource_planning
GL , URL: /wiki/General_ledger
Bookkeeping , URL: /wiki/Bookkeeping
AP , URL: /wiki/Accounts_payable
AR , URL: /wiki/Accounts_receivable
Analytics , URL: /wiki/Analytics
Integration , URL: /wiki/System_integration
CRM , URL: /wiki/Customer_relationship_management
BI , URL: /wiki/Business_intelligence
e-commerce , URL: /wiki/E-commerce
Workflow , URL: /wiki/Workflow
Retail , URL: /wiki/Retail
POS , URL: /wiki/Point_of_sale
","Stand-alone / Web access"
"FinancialForce.com , URL: /wiki/FinancialForce.com
","Software as a Service , URL: /wiki/Software_as_a_Service
","Yes","Yes","Yes","Mid-market to enterprise","ERP , URL: /wiki/Enterprise_resource_planning
","Web-based"
"FlexAccount , URL: /wiki/FlexAccount
","Proprietary , URL: /wiki/Proprietary_software
","Yes","No","No","Mid- to high-end market","ERP , URL: /wiki/Enterprise_resource_planning
","Stand-alone and Web-based"
"FreeAgent , URL: /wiki/FreeAgent_(software)
","Software as a Service , URL: /wiki/Software_as_a_Service
","Yes","Yes","Yes","Freelancers , URL: /wiki/Freelancers
Microbusiness , URL: /wiki/Microbusiness
","Double-entry bookkeeping system , URL: /wiki/Double-entry_bookkeeping_system
","Web-based"
"FreshBooks , URL: /wiki/FreshBooks
","Software as a Service , URL: /wiki/Software_as_a_Service
","Yes","Yes","Yes","Small Businesses , URL: /wiki/Small_Businesses
","Cloud accounting specialist for small business owners.","Web-based"
"Gem Accounts , URL: /wiki/Gem_Accounts
","Software as a Service , URL: /wiki/Software_as_a_Service
","Yes","Yes","Yes","Low to mid-market","General ledger , URL: /wiki/General_ledger
chart of accounts , URL: /wiki/Chart_of_accounts
accounts receivable , URL: /wiki/Accounts_receivable
accounts payable , URL: /wiki/Accounts_payable
double-entry bookkeeping system , URL: /wiki/Double-entry_bookkeeping_system
","Web-based"
"inDinero , URL: /wiki/InDinero
","Software as a Service , URL: /wiki/Software_as_a_Service
","Yes","Yes","Yes","Small businesses , URL: /wiki/Small_businesses
Startup company , URL: /wiki/Startup_company
","Small business accounting , URL: /wiki/Accounting_software
invoices , URL: /wiki/Invoices
bookkeeping , URL: /wiki/Bookkeeping
tax return , URL: /wiki/Tax_return
invoices , URL: /wiki/Invoices
collaboration , URL: /wiki/Collaboration
","Web-based"
"invoiceit , URL: /wiki/Invoiceit
","Proprietary , URL: /wiki/Proprietary_software
","Yes","No","No","Low to mid-market","Small business accounting , URL: /wiki/Accounting_software
accounts receivable , URL: /wiki/Accounts_receivable
accounts payable , URL: /wiki/Accounts_payable
contact management system , URL: /wiki/Contact_manager
inventory management , URL: /wiki/Inventory_management_software
purchasing , URL: /wiki/Purchasing_process
quotations , URL: /wiki/Sales_quote
invoices , URL: /wiki/Invoices
scheduler , URL: /wiki/Appointment_scheduling_software
marketing , URL: /wiki/Account-based_marketing
","Stand-alone"
"Microsoft Dynamics AX , URL: /wiki/Microsoft_Dynamics_AX
","Proprietary , URL: /wiki/Proprietary_software
","Yes","No","No","Midsize to high-end enterprises","ERP , URL: /wiki/Enterprise_resource_planning
CRM , URL: /wiki/Customer_relationship_management
SCM , URL: /wiki/Supply_chain_management
e-commerce , URL: /wiki/E-commerce
business intelligence , URL: /wiki/Business_intelligence
","Multi-User/Location, Terminal Server"
"Microsoft Dynamics GP , URL: /wiki/Microsoft_Dynamics_GP
","Proprietary , URL: /wiki/Proprietary_software
","Yes","No","No","SME , URL: /wiki/Small_and_medium_enterprises
","ERP , URL: /wiki/Enterprise_resource_planning
Double-entry bookkeeping system , URL: /wiki/Double-entry_bookkeeping_system
Payroll , URL: /wiki/Payroll
general ledger , URL: /wiki/General_ledger
accounts receivable , URL: /wiki/Accounts_receivable
accounts payable , URL: /wiki/Accounts_payable
","Multi-User/Location, Terminal Server, Remote Access, Web Access, Mobile Access, Cloud Hostable"
"Microsoft Dynamics 365 Business Central , URL: /wiki/Microsoft_Dynamics_365_Business_Central
","Software as a Service , URL: /wiki/Software_as_a_Service
","Yes","Yes","Yes","SME , URL: /wiki/Small_and_medium_enterprises
","ERP , URL: /wiki/Enterprise_resource_planning
CRM , URL: /wiki/Customer_relationship_management
Double-entry bookkeeping system , URL: /wiki/Double-entry_bookkeeping_system
Payroll , URL: /wiki/Payroll
general ledger , URL: /wiki/General_ledger
Accounts Receivable , URL: /wiki/Accounts_Receivable
Accounts Payable , URL: /wiki/Accounts_Payable
","Web-based"
"Microsoft Dynamics SL , URL: /wiki/Microsoft_Dynamics_SL
","Proprietary , URL: /wiki/Proprietary_software
","Yes","No","No","SME , URL: /wiki/Small_and_medium_enterprises
","Project Management, Project Accounting, Reporting & Analysis Services","Multi-User/Location, Terminal Server, Web Access"
"MYOB AccountRight , URL: /wiki/MYOB_(company)
","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes","No","Low- to high-end market","Small business and commercial accounting. Payroll and POS","Stand-alone"
