"Rule or Term","Baseball , URL: /wiki/Baseball
","Fastpitch softball , URL: /wiki/Fastpitch_softball
","softball , URL: /wiki/Softball
","Baseball5 , URL: /wiki/Baseball5
"
"Length of Game","innings , URL: /wiki/Inning
Little League , URL: /wiki/Little_League
","7 innings (5 in certain college games)","7 innings (5 in certain college games)","5 innings"
"Equipment","Equipment","Equipment","Equipment","Equipment"
"Ball , URL: /wiki/Baseball_(ball)
","","","",""
"Ball , URL: /wiki/Baseball_(ball)
","9 inches (230 mm) in circumference","baseball , URL: /wiki/Baseball_(object)
","often same as fastpitch softball, special 14 or 16 inches (360 or 410 millimetres) balls rarely used, less dense than a baseball","207–211 mm (8.1–8.3 in)[1] in circumference"
"Bat , URL: /wiki/Baseball_bat
","No longer than 42 inches (1,100 mm). Must be made of wood at the professional level; may be made of aluminum in high school and college.","No longer than 34 inches (860 mm). Most commonly made of composite materials, also aluminum, though wooden bats may be used","No longer than 34 inches (860 mm). Most commonly made of composite materials, also aluminum, though wooden bats may be used","N/A"
"Field","Field","Field","Field","Field"
"Layout diagram","","","",""
"Baselines","90 feet (27 m)","60 feet (18 m)","Typically 60 or 65 feet (18 or 20 metres); longer distances in some levels","13 metres (42.65 ft)[2]"
"Double first base","Little League , URL: /wiki/Little_League
","ISF , URL: /wiki/International_Softball_Federation
ASA , URL: /wiki/Amateur_Softball_Association
","Allowed. Runner reaches safety base in foul territory, fielders make play at regular 1st base","Yes"
"Outfield fence","home plate , URL: /wiki/Home_plate
Little League , URL: /wiki/Little_League
","250|ft|m|abbr=on}","Constant distance from home plate, although some less organized leagues have no fences.","Constant distance from home plate (fair territory is an 18 m (59 ft)-square and the fence is along two sides of the square.)[2]"
"Pitching distance","60 feet 6 inches (18.44 m)","Varies by level: 40 feet (12 m) (women's amateur), 43 feet (13 m) (women's high school (some states still play at 40), college and international) or 46 feet (14 m) (men)","Varies, typically 46 feet (14 m)","N/A"
"Pitcher's area","Raised sloping mound, radius of 9 feet (2.7 m), maximum height 10 inches (25 cm)","Flat circle, radius of 8 feet (2.4 m), marked with a white chalk circle","Pitching rubber only","N/A"
"Players","Players","Players","Players","Players"
"Fielders","Nine","Nine (before 1946, ten)","Ten (either a rover or shortfielder, or a left center and right center fielder)","Five"
"Extra player","In some leagues, one designated hitter (DH) may bat in place of a fielder (usually only in place of the pitcher, but may bat for any defensive player under United States high school rules. Under U.S. collegiate rules, the starting pitcher may also be named the DH—P/DH on the lineup card—and be substituted for as if he were two different players.)","One designated player (DP) may bat in place of a fielder.","Some leagues allow an arbitrary number of extra players, up to the entire roster.","No"
"Substitution","No player substituted for may return to the game, including the replaced player if the DH takes a defensive position. EXCEPTION: Under high school rules in the United States, a player may be substituted for and return to the game once (this does not include "courtesy runners" for the pitcher and catcher). A pitcher who leaves the game may return, but only as a fielder (not the pitcher or DH).","Free defensive substitutions, provided each player occupies the same position in the batting order. Except in high school, if the DP takes a defensive position, the replaced player cannot return to the game.","Free defensive substitutions, provided each player occupies the same position in the batting order.","A starting player substituted for may return to the game, but a substitute who has left the game may not return."
"Batter","Batter","Batter","Batter","Batter"
"Bunting , URL: /wiki/Bunt_(baseball)
","Allowed.","Allowed.","Not allowed; batter is out if contact made.","Allowed (but the ball has to travel at least 3 metres (9.8 ft) on its first bounce, and has to reach the outfield fence before settling.)[2]"
"Foul ball , URL: /wiki/Foul_ball
","Batter is not out unless bunting.","Batter is not out unless bunting.","Batter is generally out. In many recreational leagues, a batter is allowed one foul ball with two strikes, with the second being an automatic out.","Batter is out (on a foul ball in any situation)"
"Hit by pitch , URL: /wiki/Hit_by_pitch
","Awarded first base unless swing, pitch in strike zone, or no attempt made to avoid being hit.","Awarded first base unless swing, pitch in strike zone, or attempt made to intentionally be hit, although this is rarely called by the umpire.","Not awarded first base.","N/A"
"Runner","Runner","Runner","Runner","Runner"
"Base stealing , URL: /wiki/Stolen_base
","Allowed at any time the ball is live (i.e. when "Time" is not called).","Allowed once the ball leaves the pitcher's hand; runners may not leave base if the pitcher has the ball within the circle.","Generally not allowed, although some levels may permit stealing after a pitched ball crosses the plate or touches the ground.","Not allowed"
"Taking a lead from base , URL: /wiki/List_of_baseball_jargon_(L)#lead
","Same rules as for base stealing.","Same rules as for base stealing.","Runner is usually permitted to take a lead after the ball leaves the pitcher's hand, but must return to base between pitches if the ball is not put into play. Runner can be called out for taking a lead before the pitch.","Not allowed"
"Pitching","Pitching","Pitching","Pitching","Pitching"
"Delivery","Any method; in practice, usually overhand.","Underhand; no speed or arc restrictions.","Underhand; must travel in an arc and within certain height restrictions (a common range is between 6 and 12 feet (1.8 and 3.7 m) above the ground). Umpire can call a pitch "illegal" while in flight.","N/A"
"Illegal pitch","Most infractions punished as a balk. In United States high school baseball, the ball is automatically dead, and all runners advance one base. At the college and professional levels the ball is not automatically dead. If the batter hits a balk pitch and all runners advance at least one base, the balk is ignored, otherwise the balk is enforced.","The ball remains live. If the batter reaches base successfully and all runners advance, no penalty; otherwise, the play is negated, the pitch attempt is automatically a ball and runners advance one base.","The ball remains live. If the batter does not swing, the pitch is automatically a ball.","N/A"
