"Audio compression format , URL: /wiki/Audio_compression_format
","ACM , URL: /wiki/Audio_Compression_Manager
","DirectShow , URL: /wiki/DirectShow
","QuickTime , URL: /wiki/QuickTime
","GStreamer , URL: /wiki/GStreamer
","FFmpeg , URL: /wiki/FFmpeg
","Media Foundation , URL: /wiki/Media_Foundation
"
"8SVX , URL: /wiki/8SVX
","ffdshow , URL: /wiki/Ffdshow
","ffdshow , URL: /wiki/Ffdshow
","Perian , URL: /wiki/Perian
","GStreamer FFmpeg plug-in , URL: /wiki/GStreamer_FFmpeg_plug-in
","Yes","ffdshow , URL: /wiki/Ffdshow
"
"AAC , URL: /wiki/Advanced_Audio_Coding
","Yes","ffdshow , URL: /wiki/Ffdshow
","Yes","GStreamer FFmpeg plug-in , URL: /wiki/GStreamer_FFmpeg_plug-in
","Yes","Yes"
"AC3 , URL: /wiki/Dolby_AC-3
","Yes","ffdshow , URL: /wiki/Ffdshow
","Perian , URL: /wiki/Perian
","GStreamer FFmpeg plug-in , URL: /wiki/GStreamer_FFmpeg_plug-in
","Yes","Yes"
"ALS , URL: /wiki/Audio_Lossless_Coding
","?","?","?","?","?","?"
"AMR , URL: /wiki/Adaptive_Multi-Rate_audio_codec
","No","No","Yes [48] [49]","GStreamer Ugly Plug-ins , URL: /w/index.php?title=GStreamer_Ugly_Plug-ins&action=edit&redlink=1
","Yes","Yes"
"ALAC , URL: /wiki/Apple_Lossless_Audio_Codec
","Yes","ffdshow , URL: /wiki/Ffdshow
","Yes","GStreamer FFmpeg plug-in , URL: /wiki/GStreamer_FFmpeg_plug-in
","Yes","Yes"
"aptX , URL: /wiki/AptX
","?","?","?","?","Yes","?"
"ATRAC3 , URL: /wiki/ATRAC3
","ffdshow , URL: /wiki/Ffdshow
","ffdshow , URL: /wiki/Ffdshow
","Perian , URL: /wiki/Perian
","GStreamer FFmpeg plug-in , URL: /wiki/GStreamer_FFmpeg_plug-in
","Yes","ffdshow , URL: /wiki/Ffdshow
"
"ATRAC3plus , URL: /wiki/ATRAC3plus
","No","No","No","No","Yes","ffdshow , URL: /wiki/Ffdshow
"
"CELT , URL: /wiki/CELT
","?","?","?","?","?","?"
"Cook Codec , URL: /wiki/Cook_Codec
","ffdshow , URL: /wiki/Ffdshow
","ffdshow , URL: /wiki/Ffdshow
","Perian , URL: /wiki/Perian
","GStreamer FFmpeg plug-in , URL: /wiki/GStreamer_FFmpeg_plug-in
","Yes","ffdshow , URL: /wiki/Ffdshow
"
"DCA aka DTS , URL: /wiki/DTS_(sound_system)
","ffdshow , URL: /wiki/Ffdshow
","ffdshow , URL: /wiki/Ffdshow
","Perian , URL: /wiki/Perian
","GStreamer FFmpeg plug-in , URL: /wiki/GStreamer_FFmpeg_plug-in
","Yes","ffdshow , URL: /wiki/Ffdshow
"
