"Audio player","ReplayGain , URL: /wiki/ReplayGain
","Tag mass , URL: /wiki/Tag_editor
","Tag flexible[featurenotes 5]","Time stretch , URL: /wiki/Audio_timescale-pitch_modification
","Pitch shift , URL: /wiki/Audio_timescale-pitch_modification#Pitch_scaling
","A-B repeat","Bookmark","Auto resume","Shutdown on play complete","Archive ability"
"AIMP , URL: /wiki/AIMP
","Yes","Yes[featurenotes 6]","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"Amarok , URL: /wiki/Amarok_(audio)
","Yes","Yes","Yes","No","No","Yes[featurenotes 7]","Yes","Yes","No","No"
"Audacious , URL: /wiki/Audacious_(software)
","Yes","No","No","Yes","Yes","Yes","No","Yes","No","No"
"Audion , URL: /wiki/Audion_(software)
","?","?","?","?","?","?","?","?","?","?"
"cmus , URL: /wiki/Cmus
","Yes","No","No","No","No","No","No","Yes","No","No"
"Cog , URL: /wiki/Cog_(software)
","?","?","?","?","?","?","?","?","?","?"
"Clementine , URL: /wiki/Clementine_(software)
","Yes","Yes","No","No","No","?","No","No","No","No"
"Exaile , URL: /wiki/Exaile
","Yes","Yes","Yes[18]","No","No","Yes[a]","Yes[a]","Yes","Yes[a]","No"
"foobar2000 , URL: /wiki/Foobar2000
","Yes","Yes","Yes","Yes[a]","Yes[a]","Yes[a]","Partial[a]","Yes","Partial[a]","Yes"
"iTunes , URL: /wiki/ITunes
","Yes","Yes","No","No","No","No","Yes","Yes","No","No"
"JRiver Media Center , URL: /wiki/JRiver_Media_Center
","Yes","Yes","Yes","Yes","Yes","Yes[featurenotes 8]","Yes","Yes","Yes","No"
"JuK , URL: /wiki/JuK
","?","?","?","?","?","?","?","?","?","?"
"MediaMonkey , URL: /wiki/MediaMonkey
","Yes","Yes","Yes","Partial[a]","Partial[a]","Partial[a]","Partial[a]","Yes","Yes","?"
"MPXPLAY , URL: /wiki/MPXPLAY
","?","?","?","?","?","?","?","?","?","?"
"MusicBee , URL: /wiki/MusicBee
","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes"
"Musicmatch Jukebox , URL: /wiki/Musicmatch_Jukebox
","?","Partial[featurenotes 9]","?","No","No","?","?","?","?","?"
"musikCube , URL: /wiki/MusikCube
","?","?","?","?","?","?","?","?","?","?"
"Quod Libet , URL: /wiki/Quod_Libet_(software)
","Yes","Yes","Yes","Partial[featurenotes 10]","Partial[featurenotes 10]","No","Yes","Yes","No","No"
"Rhapsody , URL: /wiki/Rhapsody_(online_music_service)
","?","?","?","?","?","?","?","?","?","?"
"Rhythmbox , URL: /wiki/Rhythmbox
","Yes","Yes","No","No","No","No","No","Yes","No","No"
"Sayonara Player , URL: /wiki/Sayonara_Player
","Yes","Yes","No","No","No","?","Yes","Yes","?","?"
"Sonique , URL: /wiki/Sonique_(media_player)
","No","No","?","Yes","Yes","No","No","No","No","?"
"Spotify , URL: /wiki/Spotify
","No","No","No","No","No","No","No","Yes","No","No"
"Winamp , URL: /wiki/Winamp
","Yes","Yes","?","No","Yes","?","Yes","?","No","?"
"XMMS , URL: /wiki/XMMS
","Partial","Yes","?","No","No","No","No","Yes","No","No"
"XMPlay , URL: /wiki/Xmplay
","Yes","No","No","No","No","No","Yes","Yes","No","Yes"
"Zinf , URL: /wiki/Zinf
","?","?","?","?","?","?","?","?","No","?"
"Audio player","ReplayGain","Tag mass","Tag flexible","Time stretch","Pitch shift","A-B repeat","Bookmark","Auto resume","Shutdown on play complete","Archive ability"
