"Client","Developer","Initial release","Latest release","Latest release","License , URL: /wiki/Software_license
","Copy files over 2 GB[1]"
"Client","Developer","Initial release","Version","Date","License , URL: /wiki/Software_license
","Copy files over 2 GB[1]"
"AbsoluteTelnet , URL: /wiki/AbsoluteTelnet
","Celestial Software","1996","9.49","2012-07-02","Proprietary , URL: /wiki/Proprietary_software
","Yes"
"Beyond Compare , URL: /wiki/Beyond_Compare
","Scooter Software","1996","4.4.1","2021-12-20","Proprietary , URL: /wiki/Proprietary_software
","Yes"
"Commander One , URL: /wiki/Commander_One
","Eltima Software","2015","
URL: https://www.wikidata.org/wiki/Q21043313?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-09-10","Proprietary , URL: /wiki/Proprietary_software
","Yes"
"CrossFTP Pro , URL: /wiki/CrossFTP
","CrossFTP Software","2006","1.98.7","2020-05-23","Proprietary , URL: /wiki/Proprietary_software
","Yes"
"CuteFTP , URL: /wiki/CuteFTP
","Alex Kunadze , URL: /wiki/Alex_Kunadze
Globalscape , URL: /wiki/Globalscape
","1994","macOS: 3.1.3 Windows: 9.3.0","2014-05-02 2018-07-11","Proprietary , URL: /wiki/Proprietary_software
","Yes"
"Directory Opus , URL: /wiki/Directory_Opus
","GPSoftware","1990","11.10","2014-12-19","Proprietary , URL: /wiki/Proprietary_software
","Yes"
"FlashFXP , URL: /wiki/FlashFXP
","OpenSight Software, LLC","1999","5.4.0.3970","2017-04-01","Proprietary , URL: /wiki/Proprietary_software
","Yes"
"SmartFTP , URL: /wiki/SmartFTP
","SmartSoft Ltd","1998","6.0.2155.0","2015-07-23","Proprietary , URL: /wiki/Proprietary_software
","Yes"
"Total Commander , URL: /wiki/Total_Commander
","Christian Ghisler","1993","
URL: https://www.wikidata.org/wiki/Q80201?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png

URL: https://www.wikidata.org/wiki/Q80201?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-10-18 2021-06-10","Proprietary , URL: /wiki/Proprietary_software
","Yes"
"WebDrive , URL: /wiki/WebDrive
","South River Technologies, Inc.","1998","2017","2017-06-16","Proprietary , URL: /wiki/Proprietary_software
","Yes"
"WS_FTP , URL: /wiki/WS_FTP
","Ipswitch, Inc.","1996","12.7","2018-11-27","Proprietary , URL: /wiki/Proprietary_software
","Yes"
"Yummy FTP , URL: /wiki/Yummy_FTP
","Yummy Software","2004","1.9.0","2018-05-10","Proprietary , URL: /wiki/Proprietary_software
Setapp , URL: /wiki/Setapp
","?"
